SA4_CODE_2021,Netherlands_C11_P,Netherlands_C16_M,Netherlands_C16_F,Netherlands_C16_P,Netherlands_C21_M,Netherlands_C21_F,Netherlands_C21_P,New_Zealand_C11_M,New_Zealand_C11_F,New_Zealand_C11_P,New_Zealand_C16_M,New_Zealand_C16_F,New_Zealand_C16_P,New_Zealand_C21_M,New_Zealand_C21_F,New_Zealand_C21_P,Pakistan_C11_M,Pakistan_C11_F,Pakistan_C11_P,Pakistan_C16_M,Pakistan_C16_F,Pakistan_C16_P,Pakistan_C21_M,Pakistan_C21_F,Pakistan_C21_P,Philippines_C11_M,Philippines_C11_F,Philippines_C11_P,Philippines_C16_M,Philippines_C16_F,Philippines_C16_P,Philippines_C21_M,Philippines_C21_F,Philippines_C21_P,Poland_C11_M,Poland_C11_F,Poland_C11_P,Poland_C16_M,Poland_C16_F,Poland_C16_P,Poland_C21_M,Poland_C21_F,Poland_C21_P,Singapore_C11_M,Singapore_C11_F,Singapore_C11_P,Singapore_C16_M,Singapore_C16_F,Singapore_C16_P,Singapore_C21_M,Singapore_C21_F,Singapore_C21_P,South_Africa_C11_M,South_Africa_C11_F,South_Africa_C11_P,South_Africa_C16_M,South_Africa_C16_F,South_Africa_C16_P,South_Africa_C21_M,South_Africa_C21_F,South_Africa_C21_P,Sri_Lanka_C11_M,Sri_Lanka_C11_F,Sri_Lanka_C11_P,Sri_Lanka_C16_M,Sri_Lanka_C16_F,Sri_Lanka_C16_P,Sri_Lanka_C21_M,Sri_Lanka_C21_F,Sri_Lanka_C21_P,Taiwan_C11_M,Taiwan_C11_F,Taiwan_C11_P,Taiwan_C16_M,Taiwan_C16_F,Taiwan_C16_P,Taiwan_C21_M,Taiwan_C21_F,Taiwan_C21_P,Thailand_C11_M,Thailand_C11_F,Thailand_C11_P,Thailand_C16_M,Thailand_C16_F,Thailand_C16_P,Thailand_C21_M,Thailand_C21_F,Thailand_C21_P,Unitd_Kingdom_C11_M,Unitd_Kingdom_C11_F,Unitd_Kingdom_C11_P,Unitd_Kingdom_C16_M,Unitd_Kingdom_C16_F,Unitd_Kingdom_C16_P,Unitd_Kingdom_C21_M,Unitd_Kingdom_C21_F,Unitd_Kingdom_C21_P,Unit_Sts_Amer_C11_M,Unit_Sts_Amer_C11_F,Unit_Sts_Amer_C11_P,Unit_Sts_Amer_C16_M,Unit_Sts_Amer_C16_F,Unit_Sts_Amer_C16_P,Unit_Sts_Amer_C21_M,Unit_Sts_Amer_C21_F,Unit_Sts_Amer_C21_P,Vietnam_C11_M,Vietnam_C11_F,Vietnam_C11_P,Vietnam_C16_M,Vietnam_C16_F,Vietnam_C16_P,Vietnam_C21_M,Vietnam_C21_F,Vietnam_C21_P,Born_elsewhere_C11_M,Born_elsewhere_C11_F,Born_elsewhere_C11_P,Born_elsewhere_C16_M,Born_elsewhere_C16_F,Born_elsewhere_C16_P,Born_elsewhere_C21_M,Born_elsewhere_C21_F,Born_elsewhere_C21_P,Country_birt_ns_C11_M,Country_birt_ns_C11_F,Country_birt_ns_C11_P,Country_birt_ns_C16_M,Country_birt_ns_C16_F,Country_birt_ns_C16_P,Country_birt_ns_C21_M,Country_birt_ns_C21_F,Country_birt_ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
111,849,387,383,765,368,379,754,1847,1827,3674,1992,1958,3951,2278,2123,4406,83,62,142,225,105,331,448,201,651,263,882,1150,407,1136,1546,568,1456,2024,229,335,563,185,289,476,180,290,469,73,95,171,98,152,252,119,152,265,495,510,1007,550,566,1117,787,833,1617,157,147,299,194,186,383,222,194,418,31,58,93,66,133,196,50,101,147,77,243,324,163,378,545,204,561,766,5383,5275,10654,5448,5302,10757,5855,5718,11570,456,478,935,524,593,1116,617,750,1367,111,148,261,221,307,530,313,456,770,3576,3522,7099,3663,3808,7473,4235,4602,8835,8166,7805,15971,8531,8757,17289,7883,7866,15757,167924,174677,342601,176033,183073,359104,191024,199494,390519
112,841,386,413,800,361,439,795,2236,2424,4662,2277,2540,4822,2518,2712,5234,14,16,29,31,24,56,38,24,58,131,534,662,186,746,932,273,939,1216,61,68,126,58,82,139,67,102,170,47,60,108,55,65,118,68,93,166,353,368,723,437,435,871,586,601,1187,41,43,87,49,50,98,68,67,131,12,17,23,29,43,72,26,52,78,67,213,280,85,287,373,130,438,566,5425,5568,10993,5312,5325,10639,5617,5781,11398,518,526,1046,486,543,1033,649,746,1391,43,61,99,54,80,140,75,141,212,1770,1825,3595,1987,2141,4129,2920,3287,6204,6270,6131,12406,10697,11163,21857,9944,10129,20067,110590,117023,227615,116257,123343,239599,124435,132624,257061
113,285,132,117,245,112,105,218,760,676,1430,766,690,1458,780,717,1493,82,57,137,140,103,240,203,127,327,147,307,455,397,517,917,536,711,1249,30,28,64,23,21,48,23,14,35,22,22,43,23,29,52,18,37,57,249,209,455,257,250,502,325,319,640,75,72,147,120,78,201,136,101,247,12,29,41,142,186,324,88,139,223,20,70,90,37,102,141,61,172,230,1257,1212,2470,1215,1183,2402,1160,1197,2358,99,93,192,95,129,225,108,148,262,50,38,86,62,46,106,79,62,143,1082,1001,2087,1207,1112,2316,1462,1378,2836,4119,3943,8061,6807,6790,13599,6056,5742,11799,74868,75250,150120,77730,78208,155932,81361,82302,163656
114,653,289,309,601,280,279,558,812,915,1728,915,987,1907,1033,1101,2135,8,3,11,16,12,27,56,29,89,76,266,344,122,377,493,251,571,826,71,85,153,76,95,174,78,113,189,34,44,75,42,54,98,56,64,123,168,209,374,210,249,457,305,351,657,26,24,50,27,47,73,62,76,138,12,19,35,27,30,56,26,53,80,30,72,99,57,127,187,88,228,319,4226,4346,8571,4246,4394,8637,4508,4631,9136,201,237,438,228,265,493,309,366,674,31,46,78,70,73,141,56,92,150,1243,1217,2464,1341,1401,2745,1638,1731,3368,4053,3858,7909,5702,5801,11500,4907,4936,9843,66880,70128,137003,72085,75277,147359,78909,82094,161006
115,671,321,275,593,301,258,560,1615,1568,3178,1620,1576,3194,1640,1570,3213,292,271,562,445,424,868,1013,967,1984,1024,1410,2435,1175,1607,2784,1623,2218,3839,249,314,561,225,296,521,255,330,589,382,450,832,415,481,898,533,580,1114,1538,1634,3171,1700,1725,3429,1963,2034,3988,1283,1375,2660,1507,1607,3117,1935,1998,3939,267,359,627,317,391,709,364,464,822,90,172,257,129,278,413,157,385,547,5128,4826,9953,4790,4505,9299,4658,4381,9037,454,517,970,547,644,1196,586,668,1250,264,307,566,313,380,691,423,527,954,3755,3884,7638,4002,4219,8225,4947,5253,10202,3559,3531,7092,4255,4331,8582,3113,3097,6211,104017,106395,210413,112396,115347,227741,130838,133529,264371
116,631,251,242,493,228,207,432,3758,3701,7463,4080,3991,8075,4272,4193,8462,1388,1208,2596,2196,1927,4122,3304,2925,6232,8853,10581,19437,9859,12123,21981,11287,14104,25390,494,631,1128,408,529,940,377,507,883,208,238,449,278,275,557,376,371,747,851,917,1768,862,931,1796,1068,1104,2171,1822,1784,3602,2718,2386,5097,3228,3030,6256,65,99,162,119,170,288,169,244,410,140,344,485,182,443,630,249,637,891,3810,3650,7464,3407,3211,6612,3117,2854,5977,359,347,700,425,406,826,473,460,926,426,500,923,434,566,999,567,767,1329,11128,11464,22594,11497,11955,23450,12768,13260,26029,7263,6954,14221,9185,9455,18639,10586,10318,20903,150740,152786,303525,168936,170703,339638,200107,200894,400997
117,552,378,306,684,361,263,629,4270,3457,7725,4230,3436,7662,4522,3494,8014,201,105,300,307,131,442,413,175,584,1168,1630,2799,1501,2014,3518,1845,2414,4267,352,464,819,402,469,873,430,547,977,626,653,1283,706,762,1473,743,773,1516,804,641,1445,964,791,1753,1284,980,2270,295,229,521,336,274,609,424,347,773,429,502,929,661,942,1602,711,839,1551,1709,2510,4217,3026,4732,7760,2864,4551,7417,7849,5358,13204,8870,6218,15087,9962,6938,16902,1372,1213,2584,1654,1617,3266,1813,1782,3602,1861,2098,3961,2030,2473,4504,2110,2752,4864,10545,10001,20548,12766,12195,24965,15498,14608,30111,16175,12997,29178,18803,15818,34624,10924,9047,19970,136854,127690,264542,161062,154483,315551,170509,160839,331340
118,549,303,325,628,309,325,631,3217,3219,6430,3017,3105,6125,2889,2849,5745,102,62,162,177,78,257,144,83,221,507,1008,1516,680,1212,1888,721,1376,2096,556,721,1272,478,671,1152,467,663,1132,581,633,1215,551,657,1209,504,623,1121,3147,3250,6399,3288,3387,6677,3527,3670,7201,187,195,377,214,214,430,200,191,390,244,324,569,239,336,574,211,312,523,310,578,889,333,689,1020,262,721,989,8392,7579,15968,9047,8316,17364,9962,9270,19237,1224,1354,2578,1379,1597,2976,1564,1856,3422,343,419,763,455,509,964,384,580,962,9771,10753,20524,11255,12573,23832,11918,13871,25788,11875,11206,23083,11475,12132,23605,6271,6316,12591,121605,127943,249544,129507,137529,267031,126084,135328,261410
119,422,184,188,365,176,156,336,4002,3968,7967,3935,3823,7760,3562,3431,6999,1663,1130,2800,3290,1889,5183,3532,2057,5589,2270,3746,6014,3075,4858,7931,3737,5785,9525,495,630,1116,473,556,1032,448,542,993,390,457,844,435,543,972,499,564,1063,590,618,1206,598,600,1199,656,654,1312,405,404,808,431,448,884,457,446,901,310,445,758,526,746,1270,575,758,1334,484,1087,1570,776,1718,2490,894,2129,3027,4170,3688,7856,3885,3262,7147,3866,3090,6957,437,459,889,555,516,1068,621,616,1236,7405,8831,16233,8553,10419,18971,9789,12244,22034,19163,19993,39160,21808,22054,43862,24009,24383,48395,16653,15595,32250,17145,17363,34503,16679,15992,32672,258323,265290,523610,282752,288666,571417,301606,303505,605118
120,411,221,173,390,200,173,374,2496,2573,5068,2381,2392,4775,2314,2204,4517,187,137,326,355,219,571,428,287,709,1008,1702,2708,1294,2084,3376,1555,2463,4021,349,453,804,326,436,757,284,398,684,307,404,709,346,455,805,427,544,971,561,581,1143,596,625,1223,657,720,1377,1078,1178,2254,1111,1123,2235,1058,1109,2166,280,355,632,516,670,1182,644,762,1401,360,682,1047,622,1214,1841,655,1364,2013,5434,4621,10059,5597,4649,10246,5625,4613,10240,614,675,1286,731,796,1527,882,938,1822,1216,1568,2782,1568,2064,3634,1874,2584,4455,6409,6974,13378,6971,7564,14532,7728,8500,16225,8907,8086,16993,9625,9739,19361,6430,6262,12689,127947,135613,263561,142432,150861,293303,148502,156267,304771
121,1226,610,521,1135,538,481,1020,4336,4562,8899,4147,4338,8484,3898,3923,7816,203,191,392,359,315,671,465,399,869,1180,1846,3026,1565,2480,4041,1900,3080,4974,456,658,1110,467,670,1138,548,765,1316,858,1070,1926,986,1179,2171,1123,1378,2499,3786,3947,7733,3709,3900,7608,3818,4005,7821,645,691,1337,778,865,1648,921,1021,1941,898,1176,2070,1128,1493,2624,1156,1577,2730,415,912,1326,590,1263,1847,704,1485,2188,13588,11862,25448,13391,11536,24931,13162,10974,24141,1866,1967,3833,1970,2059,4029,2089,2160,4246,434,636,1070,615,926,1536,763,1212,1975,7790,8984,16769,8819,10130,18951,9864,11522,21386,9321,9268,18596,9724,10451,20182,5644,6229,11870,180118,194545,374664,194785,210574,405354,204179,219868,424045
122,1192,569,639,1204,567,639,1200,3052,2910,5970,3083,2945,6027,2931,2805,5737,40,30,69,50,24,75,69,33,103,479,883,1361,574,1050,1626,607,1223,1831,185,261,443,194,302,499,228,370,600,201,227,428,259,264,524,304,337,639,1529,1486,3017,1763,1708,3469,2031,1975,4009,88,85,173,95,95,185,88,96,183,84,133,220,69,133,202,82,137,221,160,438,601,190,531,719,197,608,804,11266,10748,22016,11821,11230,23052,12448,11693,24147,1025,1164,2198,1177,1280,2461,1359,1594,2958,159,207,363,189,266,450,202,334,536,5062,5736,10801,6090,7075,13163,7201,8513,15716,5506,5222,10733,6450,6851,13305,3903,4100,8000,116425,121213,237639,123508,129370,252876,128929,134623,263554
123,512,255,223,479,214,184,404,2298,2515,4812,2651,2875,5525,2799,2949,5744,374,271,643,670,543,1213,1061,872,1934,1556,2381,3928,1868,2703,4566,2304,3407,5709,287,353,641,287,347,637,300,361,662,62,76,134,97,95,195,104,123,231,624,675,1302,647,701,1351,674,715,1389,274,283,557,373,386,763,421,441,859,33,58,93,49,81,132,47,95,139,168,356,522,216,484,700,320,741,1055,5274,5283,10558,4869,4922,9791,4518,4568,9086,243,211,458,286,252,540,312,316,624,308,374,678,425,565,994,591,847,1443,5907,6278,12183,6636,6943,13574,7667,8242,15906,5840,6144,11986,7556,8111,15672,6794,7038,13835,115625,120138,235766,128722,133341,262065,146172,151122,297292
124,1200,515,519,1034,447,439,881,2466,2435,4899,2724,2748,5469,2933,2912,5845,263,227,488,374,319,700,579,490,1075,1357,2066,3418,1721,2517,4238,2332,3384,5718,251,300,556,231,332,566,227,304,536,100,127,226,105,144,255,147,180,321,490,573,1062,512,612,1128,584,644,1228,404,395,800,450,448,897,572,585,1161,51,66,116,64,81,146,68,96,165,104,264,370,161,413,570,213,624,839,7758,7818,15579,7154,7238,14386,6702,6619,13320,405,395,800,409,431,841,478,509,987,134,202,333,241,332,568,286,422,707,4925,5058,9988,5432,5637,11072,6102,6465,12560,7261,6869,14131,8641,8912,17558,7893,8208,16098,141281,146774,288049,150470,156462,306933,163198,168862,332056
125,469,214,185,394,165,128,301,3171,3047,6215,3200,3000,6199,2801,2685,5485,1596,1122,2716,4142,2180,6322,4538,2923,7463,2597,3890,6488,3134,4613,7741,3695,5371,9060,452,639,1087,395,526,926,374,467,832,381,423,804,394,497,891,478,584,1059,533,602,1133,530,575,1110,577,599,1178,3222,3123,6338,4403,3376,7779,3720,3361,7082,346,453,796,763,794,1555,760,900,1659,357,709,1065,462,1026,1491,554,1273,1825,3533,3086,6613,3193,2643,5838,2794,2309,5099,418,350,769,504,428,926,540,471,1015,4547,5331,9880,4702,5615,10310,4962,6220,11181,14309,14427,28730,14829,14904,29733,16152,16264,32414,13107,11822,24926,14007,13573,27576,15728,13934,29662,198302,196412,394710,227574,220818,448392,251582,241931,493515
126,305,152,134,283,150,125,277,1191,1141,2328,1210,1076,2282,1246,1034,2278,176,127,303,326,238,571,552,417,970,758,1123,1880,1047,1480,2528,1416,2007,3422,194,247,441,187,197,391,189,229,421,302,380,677,396,441,843,478,501,983,498,505,998,539,547,1084,620,621,1244,857,850,1709,908,890,1799,906,907,1814,379,465,839,507,643,1147,649,810,1460,149,348,492,218,479,694,275,675,948,2818,2465,5282,2677,2305,4988,2687,2256,4944,365,427,791,424,438,859,473,522,992,413,549,966,567,764,1329,745,1040,1783,3239,3591,6830,3844,4133,7972,4618,5052,9666,3343,3247,6589,3675,3819,7495,3143,3253,6397,79212,83633,162845,88834,93282,182120,98378,103659,202038
127,332,145,161,301,114,133,251,2635,2622,5260,3097,3095,6187,3329,3260,6588,493,493,983,859,751,1610,1610,1386,2992,2401,3237,5637,2636,3696,6332,3215,4405,7615,605,751,1358,510,644,1154,479,597,1066,120,123,244,134,137,273,183,191,373,301,334,631,326,346,670,417,442,862,354,334,681,387,360,750,426,425,850,82,120,197,107,176,280,140,216,356,680,971,1648,843,1218,2058,916,1429,2342,2260,2233,4498,2111,2012,4124,2061,1955,4015,221,213,430,259,250,510,351,304,654,14075,16617,30689,15916,19454,35371,18081,22450,40534,22347,23980,46327,23935,25941,49877,27705,30077,57782,10527,10294,20823,13306,13332,26644,12635,12108,24745,178212,182132,360343,200613,205344,405963,234934,239498,474430
128,583,257,236,500,229,227,453,1638,1692,3333,1659,1595,3247,1623,1569,3192,49,43,94,55,54,107,45,51,99,277,635,918,380,802,1179,421,959,1377,144,210,359,163,245,408,221,324,549,117,154,275,126,159,277,146,176,320,610,658,1265,581,631,1211,682,732,1420,68,68,136,71,74,144,80,89,169,41,79,116,35,87,122,49,110,159,66,252,317,106,326,430,147,455,602,4943,4672,9614,4858,4544,9396,5177,4663,9834,334,381,721,328,433,761,396,518,919,154,232,386,154,256,415,236,353,590,3217,3456,6674,3626,4054,7677,4343,5134,9473,4255,3912,8161,4533,4755,9284,3259,3180,6437,102849,107415,210272,106414,111467,217877,112258,117352,229604
197,0,0,0,0,0,0,0,0,0,5,6,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,13,14,9,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,17,0,0,0,9,8,10,3,15,25,0,0,0,3,0,4,10,22,37,0,0,0,58,57,115,174,240,419,0,0,0
199,42,27,16,48,22,17,37,250,165,416,186,137,319,105,92,194,12,5,16,22,10,34,6,3,14,25,32,56,35,54,86,26,32,50,10,9,19,7,9,20,3,3,14,10,11,23,4,13,16,3,6,10,36,26,68,43,32,78,26,28,55,9,5,15,5,3,11,5,7,12,7,18,26,37,38,75,13,34,43,7,18,23,14,24,38,0,14,12,387,302,688,322,272,599,211,160,367,48,57,104,45,38,85,33,30,64,44,39,87,38,35,73,19,18,34,325,233,559,323,251,580,199,197,393,991,523,1518,1382,866,2246,2087,1460,3545,7588,5327,12915,7353,4938,12288,6375,4997,11371
