SA4_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
213,332176,336570,668748,152620,90673,243295,48173,78208,126384,12729,15057,27785,14350,13809,28164,227870,197759,425630,84528,120206,204738,6.3,7,6.6,68.6,58.8,63.6,64.3,54.7,59.4,25728,25381,51105,4991,10231,15223,54066,65324,119386,29504,34271,63781,55971,31229,87198,2568,3556,6124,4249,5743,9988,62785,40533,103319,334777,338703,673480,60631,60224,120852,204574,209952,414528,164029,163825,327855
214,122334,132541,254875,52701,28623,81325,16485,35322,51807,4553,6639,11186,3203,2725,5931,76941,73303,150249,38276,51579,89856,4.2,3.7,3.9,62.9,55.3,58.9,60.3,53.3,56.6,4128,5206,9337,2053,4609,6664,14372,21182,35556,11511,17101,28609,32980,16317,49295,963,1819,2787,1769,2876,4648,35709,21016,56724,122330,129628,251957,17425,18681,36110,81098,85799,166897,51482,55577,107064
215,63831,64712,128539,26388,14169,40561,7310,15960,23264,2290,2780,5071,1677,1231,2904,37663,34136,71797,20902,25532,46440,4.4,3.6,4,59,52.8,55.9,56.4,50.9,53.6,960,1303,2262,588,1645,2234,3775,7429,11204,3795,6405,10196,15659,8800,24465,618,1058,1678,727,992,1721,17007,10849,27859,61191,62117,123300,8447,8869,17316,42438,42415,84853,23546,24850,48398
216,55482,57259,112743,22744,12266,35011,6251,14490,20739,2115,2484,4599,1468,1077,2543,32579,30316,62894,18556,22753,41305,4.5,3.5,4,58.7,52.9,55.8,56.1,51.1,53.5,964,1332,2300,586,1531,2115,3531,6621,10156,3397,5894,9292,14318,7579,21898,500,863,1365,643,921,1565,15464,9364,24828,54174,54923,109100,7893,8464,16356,36746,36831,73578,22028,23605,45632
217,51875,54393,106267,22371,11506,33872,6824,15161,21984,2163,2618,4780,1049,864,1914,32396,30152,62553,16011,20838,36849,3.2,2.9,3.1,62.5,55.4,58.9,60.4,53.8,57.1,1124,1622,2745,688,1666,2353,4139,7449,11588,3460,5817,9278,13818,7612,21430,490,857,1347,629,891,1517,14938,9359,24291,51167,52616,103779,6925,7389,14314,35603,36083,71688,19714,21289,41006
297,36,6,38,7,0,8,0,0,0,0,0,0,0,0,0,7,0,15,0,0,0,0,0,0,28.6,25,28.2,28.6,25,28.2,0,0,0,0,0,0,3,0,3,4,0,4,4,0,4,0,0,0,0,0,0,4,0,4,7,0,7,0,0,0,5,0,5,7,0,9
299,4576,3373,7946,621,302,919,281,367,646,125,103,231,298,191,485,1324,961,2281,1218,1228,2447,22.6,19.6,0,28.9,28.4,0,22.4,22.9,0,114,129,239,35,69,98,337,365,701,161,208,372,614,336,949,54,54,112,50,41,90,715,435,1148,847,576,1426,2008,1884,3889,538,340,876,2171,2008,4180
301,94193,101156,195353,43849,27507,71355,11991,24809,36799,4150,6456,10601,3005,2348,5356,62995,61118,124111,27342,36055,63396,4.8,3.8,4.3,66.9,60.4,63.5,63.7,58.1,60.8,3814,4280,8097,1489,3156,4635,11800,17111,28913,8898,12854,21750,26834,13663,40497,1098,1541,2646,1532,2400,3930,29472,17602,47073,95278,99875,195148,16116,17113,33221,60513,62914,123424,45087,48521,93606
302,88597,95851,184450,42735,29527,72261,12442,22836,35281,4259,6456,10712,3092,2527,5613,62525,61344,123873,22331,30814,53140,4.9,4.1,4.5,70.6,64,67.2,67.1,61.4,64.1,5738,6205,11943,2040,3643,5683,16594,22153,38743,8724,10851,19574,18810,10494,29306,948,1170,2117,1333,1863,3191,21088,13530,34617,86205,91280,177481,17339,18575,35918,52237,55749,107988,45522,48609,94131
303,147481,155320,302801,67938,46047,113991,23792,38427,62219,6972,9650,16622,5965,4941,10913,104668,99075,203741,36473,50309,86779,5.7,5,5.4,71,63.8,67.3,66.9,60.6,63.7,15045,15222,30267,3496,6120,9620,34505,41227,75731,13450,15948,29398,23342,12589,35928,1373,1632,3012,1823,2690,4515,26540,16911,43451,141692,147254,288948,31744,32615,64358,83953,88365,172320,79819,82454,162278
304,73781,79104,152886,34535,22220,56751,10909,19896,30808,3757,5736,9499,2728,2222,4957,51933,50078,102019,19527,26859,46388,5.3,4.4,4.9,70.4,63.3,66.7,66.7,60.5,63.5,10426,9418,19843,2297,3968,6267,18893,22417,41311,6634,8083,14722,10229,5730,15961,668,821,1484,900,1434,2337,11804,7984,19786,74007,77475,151483,15088,15840,30926,45602,48337,93940,39171,40955,80127
305,125263,128533,253794,62287,46701,108990,19965,31007,50975,6425,9229,15655,4728,4006,8738,93408,90946,184353,24461,31018,55484,5.1,4.4,4.7,74.6,70.8,72.6,70.8,67.6,69.2,15356,15539,30901,3926,6458,10388,36843,41422,78266,10858,12543,23400,15048,8741,23788,1037,1119,2156,1319,1867,3183,17398,11721,29121,97681,99159,196841,37909,40169,78076,48184,49064,97251,82023,85158,167183
306,101817,104950,206767,39888,27091,66980,14000,26628,40631,3969,4087,8055,3934,3111,7045,61796,60920,122714,29429,34636,64068,6.4,5.1,5.7,60.7,58,59.3,56.8,55.1,55.9,2648,3637,6284,1202,2750,3952,9093,15523,24607,7632,11294,18923,27706,14711,42420,1367,1840,3213,1470,1992,3464,30543,18547,49095,92659,94314,186975,19503,20949,40455,59033,59200,118229,47139,50463,97597
307,51552,52074,103622,22749,12716,35461,5193,12352,17546,1908,1949,3852,1382,1138,2524,31231,28151,59387,15166,19284,34451,4.4,4,4.2,60.6,54.1,57.3,57.9,51.9,54.9,569,879,1448,376,920,1302,2977,6002,8979,2832,4569,7395,13071,7933,21002,708,1078,1783,753,977,1727,14531,9991,24519,48673,48667,97341,8675,9153,17832,33159,32286,65445,20960,22535,43493
