LGA_CODE_2021,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
LGA16400,2207,115,7,2327,8,0,0,0,8,5,0,5,14,0,0,14,24,5,0,0,31,0,0,0,30,0,0,33,36,5,0,0,42,5,0,5,48,0,0,46,1866,247,67,27,2219,32,5,35,2253,111,7,2374,406,59,19,8,492,20,0,20,520,102,3,621,4,0,0,4,11,0,0,0,11,0,16,25,2274,306,88,51,2716,51,3,53,2776,221,20,3020,478,66,19,15,570,11,0,11,586,26,0,606,638,87,17,3,747,5,4,15,759,41,3,802,37,14,8,4,59,0,0,0,59,4,0,67,13,5,0,17,30,0,0,0,30,0,0,32,1162,171,41,35,1406,19,4,20,1430,69,9,1510,7,0,0,0,15,0,0,0,16,0,0,16,11,0,0,5,16,0,0,0,16,0,0,15,23,0,0,4,24,0,0,0,33,0,0,29,1183,171,43,37,1437,21,4,23,1457,71,9,1542,189,39,10,5
LGA16490,2665,58,6,2731,16,0,0,0,16,0,0,0,20,0,0,21,24,4,3,0,33,0,0,0,33,3,0,37,47,4,3,0,51,0,0,0,53,4,0,56,2360,242,68,31,2701,16,0,17,2718,63,6,2790,304,30,9,4,344,5,0,6,345,34,0,384,0,0,0,0,0,0,0,0,0,0,6,11,2663,272,73,37,3049,24,3,21,3068,100,11,3185,862,77,28,7,968,8,3,8,982,35,0,1022,480,55,13,6,550,4,0,4,557,18,3,575,38,3,3,4,49,0,0,0,49,0,0,47,3,0,0,6,15,0,0,0,15,0,0,17,1383,137,41,20,1586,9,3,11,1596,55,4,1659,19,0,0,0,19,0,0,0,20,0,0,20,14,0,0,0,9,0,0,0,16,0,0,17,28,0,0,0,27,7,0,7,35,0,0,36,1414,137,41,20,1610,17,3,17,1632,55,4,1697,123,11,6,0
LGA16550,4366,158,9,4531,30,8,0,0,28,5,0,5,37,6,0,38,43,13,0,0,60,4,0,4,58,0,0,60,73,13,0,0,91,6,0,6,94,5,3,103,3611,609,131,38,4394,57,10,68,4459,166,7,4635,655,107,29,24,818,7,3,14,834,106,0,941,4,0,0,5,12,0,0,0,12,0,12,25,4271,721,164,72,5222,65,17,82,5299,272,19,5598,1139,156,39,5,1334,22,9,28,1359,86,0,1446,835,167,33,4,1035,14,3,21,1049,34,0,1091,95,23,20,0,135,0,0,0,135,8,0,140,0,0,0,16,17,0,0,0,17,0,0,20,2072,342,88,19,2525,36,6,46,2564,135,4,2704,19,5,0,0,21,5,0,5,26,0,0,31,23,6,0,0,30,3,0,7,33,0,0,38,38,12,0,0,54,12,0,11,62,0,0,63,2111,353,91,27,2576,47,11,54,2630,133,3,2766,335,63,16,7
LGA16610,684,26,0,714,0,0,0,0,0,0,0,0,6,0,0,3,5,0,0,0,6,0,0,0,6,0,0,6,8,0,0,0,11,0,0,0,8,0,0,8,537,108,18,17,687,7,0,7,695,27,0,724,113,31,8,16,160,0,0,0,160,34,0,200,0,0,0,0,0,0,0,0,0,0,0,3,651,141,28,28,847,7,0,11,858,62,4,928,146,24,3,0,170,4,0,4,177,21,0,194,180,37,5,3,230,0,0,0,228,15,0,248,9,0,0,0,10,0,0,0,8,0,0,14,0,0,0,4,3,0,0,0,3,0,0,3,332,67,11,11,415,4,0,4,418,34,0,455,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,4,0,0,0,4,0,0,3,337,67,11,11,414,4,0,4,422,35,0,457,77,15,8,0
LGA16700,4358,201,19,4580,73,4,0,0,83,14,0,14,92,8,0,97,84,8,0,0,92,14,0,14,107,0,0,112,160,7,0,0,176,25,0,25,198,7,0,209,3536,645,198,44,4427,129,3,132,4558,208,19,4789,885,189,56,27,1157,23,10,39,1192,224,4,1422,6,4,0,15,27,0,0,0,27,0,21,48,4429,837,255,83,5607,150,15,169,5777,436,53,6263,985,139,31,4,1163,29,0,29,1193,64,0,1263,707,149,39,0,898,17,0,14,907,51,4,961,76,26,33,6,140,0,0,0,140,9,3,152,8,0,0,7,20,0,0,0,20,7,0,20,1775,322,106,16,2217,46,0,45,2262,124,7,2394,36,5,0,0,39,0,0,0,41,7,0,43,37,3,0,0,42,6,0,5,48,3,0,51,70,9,0,0,81,8,0,11,91,7,0,98,1844,325,108,20,2298,55,0,55,2352,130,7,2490,363,78,19,9
LGA16900,2547,98,12,2666,8,0,0,0,16,0,0,0,15,0,0,17,13,9,0,6,28,0,0,0,24,9,0,30,17,8,7,6,36,5,0,5,41,7,0,48,2020,357,145,40,2562,24,5,26,2592,104,12,2712,412,95,45,14,561,19,0,19,584,105,0,691,6,0,0,5,3,0,0,0,3,0,15,12,2432,450,192,57,3132,45,5,49,3182,215,22,3424,523,81,41,0,648,8,0,8,655,28,0,679,585,125,36,8,752,0,0,0,757,32,0,786,95,26,23,0,141,0,0,0,141,14,0,150,3,4,0,12,20,0,0,0,20,0,3,23,1206,230,96,21,1559,6,0,6,1569,72,6,1642,3,3,0,0,3,0,0,0,9,0,0,9,20,5,0,0,22,0,0,0,23,3,0,26,22,9,0,0,28,6,0,6,32,3,0,28,1227,240,99,21,1588,11,0,11,1594,74,6,1677,215,53,21,4
LGA16950,2804,168,3,2973,9,4,0,0,16,8,0,12,20,4,0,26,46,5,0,0,54,6,0,5,57,0,0,58,56,10,0,0,71,12,0,13,83,4,0,88,2286,454,74,36,2851,29,10,42,2888,176,3,3061,467,106,22,20,613,26,0,33,644,141,0,787,5,3,0,4,11,0,0,0,11,0,10,20,2764,558,95,55,3474,58,12,66,3541,314,12,3876,589,98,25,3,709,6,7,14,720,52,0,776,687,140,22,8,854,12,5,13,871,40,0,911,42,9,8,0,56,0,0,0,56,3,0,61,3,0,0,13,15,0,0,0,15,0,0,23,1325,248,55,23,1643,19,10,28,1667,101,6,1771,4,4,3,0,14,0,0,0,15,0,0,19,13,0,0,0,12,9,0,11,29,4,0,32,22,6,3,0,30,9,4,13,42,9,0,48,1349,249,56,26,1674,28,16,37,1711,108,6,1819,222,60,15,8
LGA17000,974,22,3,1004,4,0,0,0,9,0,0,0,9,0,0,9,7,0,0,0,14,0,0,0,14,0,0,14,14,0,0,0,16,0,0,0,16,0,0,20,847,83,41,16,985,8,4,8,991,26,3,1024,201,9,13,5,234,0,3,0,240,12,0,250,6,0,0,0,6,0,0,0,6,0,0,3,1056,95,54,22,1219,7,7,12,1233,41,3,1282,215,13,7,0,237,6,0,6,240,0,0,244,275,26,10,5,314,0,3,3,317,4,0,322,13,0,6,0,20,0,0,0,20,5,0,24,0,0,0,7,8,0,0,0,8,0,0,10,508,34,20,11,577,8,3,7,578,12,5,597,0,0,0,0,9,0,0,0,8,0,0,8,9,0,0,0,9,0,0,0,9,0,0,9,9,0,0,0,15,0,0,0,15,0,0,15,519,37,23,11,592,5,3,9,598,12,5,614,90,14,6,7
LGA17040,665,21,5,693,5,0,0,0,5,0,0,0,5,0,0,5,3,0,0,0,3,0,0,0,6,0,0,6,13,0,0,0,13,0,0,0,11,0,0,11,580,77,7,7,672,0,0,0,676,21,5,707,90,19,6,0,113,0,0,0,113,28,0,142,0,0,0,0,0,0,0,0,0,0,0,0,669,99,11,6,792,0,0,0,790,48,5,845,195,15,6,0,217,0,0,0,211,25,0,238,194,26,4,3,225,0,0,0,225,5,0,232,3,0,3,0,7,0,0,0,7,0,0,7,3,0,0,0,3,0,0,0,3,0,0,6,389,45,10,5,458,0,0,0,454,30,4,487,3,0,0,0,3,0,0,0,3,0,0,3,4,0,0,0,4,0,0,0,4,0,0,4,8,0,0,0,8,0,0,0,8,0,0,8,397,45,10,5,462,0,0,0,464,30,4,497,49,14,0,0
LGA17080,487,13,0,502,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,3,0,0,3,6,0,0,0,6,3,0,3,15,0,0,15,425,50,11,7,492,5,0,5,500,13,0,512,55,14,3,0,74,0,6,3,75,24,0,98,0,0,0,0,0,0,0,0,0,0,3,6,482,59,14,13,565,7,5,14,575,40,9,624,121,16,0,0,135,0,0,0,141,6,0,147,150,17,0,0,167,4,0,4,166,4,0,177,7,0,0,0,5,0,0,0,5,0,0,6,4,0,0,0,0,0,0,0,0,0,0,4,274,30,5,4,311,9,0,9,316,17,0,333,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,278,30,7,4,311,3,0,3,320,17,0,338,32,3,0,0
LGA17100,1113,70,5,1193,24,0,3,0,26,3,0,3,28,3,0,32,29,5,0,0,32,4,3,5,37,0,0,39,47,3,3,5,55,4,3,11,64,7,0,74,882,179,62,23,1143,31,6,38,1182,80,5,1269,350,80,36,9,472,16,0,21,490,137,7,642,8,3,0,8,16,0,0,0,17,0,19,35,1242,264,99,34,1635,48,8,56,1692,214,36,1945,245,30,12,0,288,8,3,11,298,19,0,317,181,74,11,0,265,0,5,6,270,16,0,284,20,12,15,0,52,0,0,0,55,9,0,58,4,0,0,7,10,0,0,0,8,0,0,15,449,115,41,6,612,8,5,17,630,39,6,676,10,0,0,0,12,4,0,4,16,5,0,20,6,8,0,0,8,0,0,3,15,0,0,15,17,8,0,0,24,6,0,4,28,5,0,32,469,121,44,9,638,14,8,22,656,49,6,709,129,50,11,5
LGA17150,9684,319,24,10026,41,4,3,0,50,3,0,3,58,0,0,60,73,8,3,3,92,4,0,4,90,6,0,99,117,17,11,3,142,9,0,9,151,6,0,154,7937,1283,433,81,9733,88,16,100,9832,328,24,10182,1185,227,87,24,1523,28,9,41,1559,186,6,1752,8,3,5,15,28,0,0,0,28,0,25,54,9129,1507,521,118,11277,112,30,138,11419,512,56,11989,2143,291,92,6,2539,22,0,21,2567,121,0,2687,2225,445,109,9,2788,19,7,26,2814,97,7,2915,258,84,51,3,399,5,0,8,406,11,5,425,14,4,0,20,39,0,0,0,39,0,5,45,4640,825,259,39,5761,45,11,53,5818,236,9,6068,24,5,0,0,32,5,0,5,33,0,0,33,44,5,0,0,52,0,0,0,50,7,0,53,71,16,0,0,82,3,0,3,87,4,0,91,4702,838,258,39,5848,51,11,65,5904,242,9,6160,638,107,40,19
LGA17200,2454,138,7,2598,31,3,4,0,42,4,0,4,45,6,0,52,33,10,0,0,36,0,3,3,39,4,5,47,63,14,4,0,82,4,3,3,85,10,5,97,1959,398,108,14,2480,45,15,58,2537,149,12,2691,393,93,19,6,513,16,8,22,535,164,0,697,10,8,0,5,16,0,0,0,16,0,12,32,2360,494,137,20,3009,58,23,78,3088,311,21,3421,496,82,24,0,607,14,6,21,619,44,0,665,296,78,10,0,392,3,0,3,397,28,0,425,38,4,13,0,56,0,0,0,56,4,0,64,0,3,0,3,3,0,0,0,6,0,0,4,836,177,48,4,1062,20,9,27,1082,76,0,1161,10,0,3,0,19,3,0,8,18,0,0,20,13,0,0,0,15,3,0,3,19,3,0,14,25,0,3,0,26,3,0,8,34,4,0,40,860,170,47,4,1084,21,10,34,1122,78,0,1201,160,43,5,8
LGA17310,2123,68,3,2194,17,4,0,0,22,0,3,4,24,0,0,24,26,6,0,0,35,6,0,3,34,3,0,40,46,6,0,0,52,4,6,7,62,3,0,66,1890,181,54,20,2154,26,12,37,2183,68,3,2262,303,24,7,10,347,10,4,16,364,82,0,442,5,4,0,0,4,0,0,0,4,0,4,10,2203,212,62,26,2502,37,10,54,2555,152,12,2715,609,64,20,0,696,3,0,8,701,28,0,729,545,57,10,5,616,6,0,6,618,24,0,644,24,6,0,0,32,3,0,3,31,0,0,36,4,6,0,11,22,0,0,0,22,0,0,22,1185,127,35,15,1362,11,0,15,1375,52,0,1432,6,3,0,0,11,0,0,5,11,0,0,15,14,0,0,0,13,0,0,0,13,0,0,13,24,3,0,0,28,0,0,5,27,0,0,30,1208,130,31,15,1386,16,7,14,1408,55,0,1459,129,19,6,5
LGA17350,223,6,0,227,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,6,6,0,0,0,6,0,0,0,6,0,0,6,206,21,0,4,225,0,0,0,224,6,0,227,27,0,0,4,28,0,0,0,28,4,0,33,0,3,0,0,3,0,0,0,3,0,0,3,231,23,0,3,256,0,0,0,257,9,0,267,58,8,0,0,61,0,0,0,61,0,0,66,75,0,0,0,83,0,0,0,83,0,0,84,3,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,133,9,5,0,153,0,0,0,153,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,9,5,0,153,0,0,0,153,6,0,150,13,0,0,0
LGA17400,113,7,0,121,0,0,0,0,0,4,0,4,3,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,4,0,5,7,5,0,7,96,13,0,3,116,4,4,7,127,12,0,133,9,8,0,0,24,3,0,3,25,22,0,50,0,0,0,0,0,0,0,0,0,0,0,0,110,23,0,0,141,8,4,10,147,29,0,182,36,4,0,0,37,0,0,0,37,3,0,43,32,3,0,0,39,0,0,0,39,3,0,44,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,70,6,0,3,78,0,0,0,78,3,0,85,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,72,6,0,3,82,0,0,0,82,6,0,89,11,4,0,0
LGA17420,9708,327,26,10063,120,15,4,0,140,28,0,28,166,4,0,171,124,25,0,0,161,12,9,20,186,9,0,193,245,44,5,9,297,44,9,51,354,16,0,366,8244,1152,371,104,9862,169,23,200,10063,341,26,10430,1755,281,113,53,2198,40,4,42,2242,339,3,2585,23,6,0,31,55,0,0,0,55,4,41,98,10019,1433,479,188,12119,210,29,240,12354,686,70,13113,2712,284,86,8,3093,55,7,61,3153,121,3,3271,1803,343,77,6,2236,30,3,32,2265,77,6,2348,261,63,59,4,380,9,0,9,383,15,0,399,20,8,3,21,45,0,0,0,45,0,9,57,4790,690,220,47,5753,87,13,98,5849,207,14,6077,71,6,0,0,80,7,0,7,85,0,0,84,72,24,4,0,98,11,0,10,111,4,0,116,149,29,4,0,175,17,0,19,196,5,0,201,4937,720,227,47,5930,100,14,117,6044,220,14,6278,982,138,52,22
LGA17550,2900,123,10,3036,12,4,0,0,18,0,0,0,18,0,0,22,51,6,0,0,59,9,8,14,69,6,0,76,56,15,0,0,76,4,8,16,91,9,0,98,2293,518,97,30,2936,35,24,57,2989,131,12,3134,433,89,11,25,560,12,0,14,569,89,0,664,6,0,0,3,8,0,0,0,8,5,17,33,2730,605,116,60,3500,49,27,74,3573,230,29,3831,577,122,28,3,728,6,0,6,741,45,0,788,811,166,19,3,1004,10,6,15,1024,39,3,1065,46,10,14,0,72,0,0,0,76,4,0,81,8,0,0,3,14,0,0,0,19,6,3,26,1444,304,66,17,1826,16,7,29,1856,96,13,1966,13,5,0,0,13,0,0,0,13,4,0,19,27,3,0,0,30,4,0,4,32,0,0,34,31,7,0,0,39,4,0,4,42,8,0,55,1474,313,65,17,1868,15,10,29,1898,105,17,2014,198,53,12,13
LGA17620,497,17,0,512,0,0,4,0,5,3,0,3,11,0,0,11,9,0,0,0,9,0,0,0,9,0,0,14,10,0,4,0,19,3,0,3,19,0,0,24,446,38,17,5,509,5,0,3,514,18,0,532,90,18,4,7,116,7,0,7,119,14,0,135,4,0,0,0,4,0,0,0,4,0,0,8,537,55,19,13,627,12,0,9,632,34,0,674,135,11,5,0,147,0,0,0,147,6,0,154,122,15,8,0,143,4,0,4,149,10,0,163,10,0,0,0,10,0,0,0,10,0,0,10,0,0,0,3,3,0,0,0,3,0,0,3,264,22,9,3,304,4,0,4,304,15,0,322,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,4,0,0,0,9,0,0,9,269,22,9,3,311,4,0,8,313,15,0,332,35,3,4,0
LGA17640,305,11,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,262,37,3,4,302,0,0,0,302,16,0,317,32,12,0,3,49,0,0,7,52,14,0,69,0,0,0,0,0,0,0,0,0,0,0,0,292,48,3,9,352,0,0,7,355,32,0,387,53,12,0,0,66,0,0,0,66,3,0,71,62,14,7,0,81,0,0,0,81,5,0,86,4,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,3,0,0,0,3,0,0,3,123,23,6,5,158,0,0,0,158,9,0,162,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,4,0,0,0,4,0,0,4,128,23,6,5,156,0,0,0,156,9,0,164,17,0,0,0
LGA17650,208,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,172,30,8,0,202,3,0,4,208,0,0,214,15,10,0,0,25,0,0,0,25,5,0,35,0,0,0,0,0,0,0,0,0,0,0,0,183,40,8,0,231,3,0,4,233,7,0,244,74,7,4,0,82,0,0,0,82,0,0,82,62,0,0,0,67,0,0,0,67,0,0,64,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,136,8,4,0,150,0,0,0,150,3,0,157,6,0,0,0,6,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,4,0,0,7,141,8,4,0,153,0,0,0,156,4,0,157,11,5,0,0
LGA17750,2463,69,5,2538,13,3,0,0,14,3,0,3,17,0,0,15,15,6,0,0,22,4,3,9,31,5,0,33,25,8,0,0,37,13,3,13,50,6,0,52,2156,241,39,28,2474,30,11,37,2512,68,5,2586,348,75,14,16,455,18,11,24,476,100,3,580,4,0,0,3,5,0,0,0,5,4,11,16,2508,323,55,50,2936,40,21,60,2996,174,13,3184,728,73,9,5,814,3,0,3,815,25,0,840,599,53,9,8,670,3,0,3,671,14,0,687,27,4,14,0,43,0,0,0,43,5,0,47,0,0,0,3,5,0,0,0,5,0,0,7,1357,136,28,15,1527,9,0,12,1541,45,0,1588,10,0,0,0,10,3,0,3,11,0,0,11,4,3,0,0,10,0,0,0,10,4,0,18,15,3,0,0,18,7,0,7,25,4,0,25,1370,134,28,15,1548,14,4,17,1565,48,0,1616,174,27,5,5
LGA17850,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,4,0,3,94,0,4,4,100,0,0,100,17,0,0,0,19,0,0,0,19,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,103,5,0,3,117,0,4,4,119,0,0,121,24,0,0,0,24,0,0,0,24,0,0,24,21,4,0,0,19,0,0,0,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,4,0,0,54,0,0,0,50,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,4,0,0,54,0,0,0,50,0,0,50,7,0,0,0
LGA17900,86,6,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,77,10,0,0,88,0,0,4,89,6,0,91,12,5,0,4,18,0,0,0,18,12,0,29,0,0,0,0,0,0,0,0,0,0,0,0,86,18,3,4,105,0,0,4,109,19,0,125,18,4,0,0,22,0,0,0,22,8,0,28,12,6,0,0,19,0,0,0,19,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,11,0,0,43,0,0,0,43,8,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,4,0,0,0,0,0,0,4,4,4,0,0,4,30,11,0,0,40,0,4,4,48,8,0,55,5,3,0,7
LGA17950,92,3,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,3,0,92,0,0,0,92,3,0,90,16,0,0,0,14,0,0,0,14,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,99,0,3,0,104,0,0,0,104,12,0,118,40,0,0,0,40,0,0,0,40,0,0,40,23,5,0,0,29,0,0,0,29,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,5,0,0,67,0,0,0,67,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,5,0,0,67,0,0,0,67,0,0,67,3,0,0,0
