LGA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
LGA53010,5,0,0,0,0,0,0,0,0,8,4,0,0,4,3,0,0,0,0,18,15,0,12,7,3,0,0,9,0,62,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,55,24,17,14,20,4,0,21,4,161
LGA53080,0,3,0,0,0,0,0,0,0,9,0,0,3,4,0,0,0,0,0,13,6,5,15,9,0,9,5,7,0,51,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,11,21,26,21,20,9,7,9,13,3,123
LGA53150,38,51,21,13,27,20,4,3,0,179,53,35,21,27,36,8,5,8,0,197,91,26,144,58,44,32,13,28,4,436,6,0,5,7,5,8,0,13,0,44,9,9,8,17,16,5,0,5,0,67,3,14,5,0,4,0,0,0,0,21,8,16,6,3,5,4,0,0,10,61,653,1440,251,234,287,136,38,85,28,3156
LGA53220,18,21,33,20,8,7,27,15,0,138,29,35,62,30,29,8,57,13,12,274,68,53,909,66,77,16,351,128,28,1694,4,12,25,13,13,7,27,31,6,129,0,3,9,4,9,6,24,10,0,64,0,0,0,0,0,0,0,0,0,8,11,6,12,14,5,3,28,12,12,112,228,462,1139,191,182,60,567,264,65,3158
LGA53290,52,37,20,32,29,13,14,4,0,196,82,52,42,63,71,16,23,21,4,373,246,79,600,188,174,81,224,188,32,1809,22,4,17,16,38,21,20,33,9,181,22,3,11,19,25,12,11,8,0,105,8,11,4,4,3,0,3,9,4,45,28,10,13,12,14,11,20,36,16,163,681,750,740,372,438,174,335,329,79,3899
LGA53360,18,14,7,13,7,8,0,5,0,67,21,24,18,15,19,6,0,10,0,107,55,40,189,60,57,19,26,58,6,503,4,8,8,6,12,6,4,13,0,46,4,3,0,5,5,4,0,3,0,23,0,0,3,0,0,0,0,4,0,12,4,4,9,7,5,12,0,12,4,55,160,236,262,164,127,67,33,134,24,1206
LGA53430,138,261,104,98,93,25,10,23,15,772,188,179,142,180,131,59,19,37,14,948,248,168,867,320,189,97,120,179,34,2218,15,21,17,43,22,28,15,22,3,186,32,30,17,47,54,24,13,20,0,242,30,40,9,16,13,9,7,8,0,128,25,44,27,42,22,14,5,16,34,229,2078,5939,1467,1251,1057,464,262,443,167,13128
LGA53570,26,12,3,17,15,0,12,12,0,106,29,19,6,20,21,0,4,15,4,126,88,17,236,25,63,18,88,68,11,620,7,0,0,6,11,4,5,10,0,40,16,5,4,5,7,4,7,12,0,55,7,0,0,0,0,0,6,9,0,24,10,5,5,3,3,4,8,28,10,80,267,184,275,96,152,49,138,222,31,1406
LGA53640,9,4,0,3,0,0,0,0,0,17,17,5,3,0,4,0,3,0,0,30,29,5,39,10,7,7,18,16,6,125,3,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,15,107,39,56,17,19,9,24,32,0,307
LGA53710,0,0,0,0,7,0,0,0,0,13,7,0,0,5,0,0,0,0,0,12,21,5,26,15,9,4,11,10,0,102,3,0,3,0,0,0,0,0,0,10,3,0,0,0,3,0,0,0,0,7,0,3,0,0,0,0,0,0,0,3,5,0,0,0,7,0,0,3,0,14,64,34,36,25,25,6,15,16,0,226
LGA53780,280,434,397,310,315,116,167,160,25,2207,457,492,702,971,662,272,378,297,41,4268,881,508,4528,1894,1229,668,1219,1167,181,12269,34,37,123,170,176,206,131,216,12,1106,73,59,123,225,198,92,96,128,13,1014,40,80,74,75,68,31,61,45,5,478,71,118,145,140,105,65,109,126,159,1039,3524,9107,7232,5439,4593,2127,2855,2914,638,38424
LGA53800,126,172,62,83,68,29,29,30,13,600,169,192,116,345,202,56,42,59,14,1201,423,251,1925,773,541,275,459,460,70,5177,43,18,48,89,98,111,52,94,6,566,38,15,32,61,60,31,20,49,0,319,11,21,16,15,9,8,13,20,5,116,31,49,29,47,37,28,26,44,38,324,1259,2827,2323,1678,1207,611,665,823,162,11550
LGA53920,4,3,3,4,0,0,0,0,0,18,7,3,0,3,8,0,0,0,0,24,23,12,42,40,17,6,14,22,10,181,0,3,4,4,6,3,0,3,3,27,0,0,0,4,3,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,4,6,0,8,6,0,3,7,5,32,81,128,53,90,38,5,22,39,24,482
LGA53990,53,101,64,61,50,21,23,26,6,410,116,122,134,171,132,40,43,65,13,834,297,172,1792,584,427,201,486,371,79,4407,27,9,42,44,68,53,37,70,8,354,20,13,32,69,43,21,28,30,3,258,3,8,14,3,5,6,8,28,3,83,32,22,20,26,14,21,33,46,27,240,850,1664,2211,1118,910,411,701,785,148,8799
LGA54060,16,14,6,8,9,4,4,9,3,66,15,9,11,20,12,7,4,7,0,80,38,15,175,40,28,21,46,39,6,406,0,0,0,0,11,6,0,8,3,40,0,0,3,4,6,0,0,3,0,15,3,4,3,0,3,3,0,0,0,13,10,0,5,7,0,0,0,6,3,40,128,150,199,94,77,44,68,78,23,851
LGA54130,6,0,0,0,0,0,3,0,0,17,10,0,3,0,4,3,4,0,0,24,33,9,38,10,11,5,11,26,0,129,8,0,0,0,6,0,0,3,0,15,7,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,3,0,7,4,0,0,0,0,0,0,7,0,13,112,40,46,9,29,10,24,46,0,319
LGA54170,765,1231,540,601,725,200,101,133,42,4347,1007,1058,804,1160,1050,389,146,201,59,5877,1845,1009,7239,2317,1914,946,1073,1206,266,17814,88,51,128,206,222,184,61,159,13,1105,200,141,169,273,462,148,64,108,19,1585,115,153,84,80,93,42,20,36,10,633,138,227,111,187,195,113,56,100,148,1273,9119,19774,10105,6687,7308,2833,1798,2359,795,60775
LGA54200,186,307,182,183,217,66,59,47,10,1242,331,302,291,375,382,102,113,78,29,2005,708,386,2841,943,786,346,670,471,118,7266,36,17,72,81,110,89,57,102,4,571,45,37,58,103,144,35,46,46,11,528,27,38,41,22,31,13,9,7,0,189,57,57,63,52,76,26,52,34,65,479,2522,5017,3869,2275,2452,866,1130,935,303,19375
LGA54280,62,85,39,46,58,10,29,19,6,343,129,121,122,170,134,49,78,44,13,853,350,174,2108,367,374,136,631,247,69,4449,26,17,59,56,69,37,64,59,6,383,21,14,35,40,47,22,55,23,6,263,13,9,17,10,10,10,7,6,0,79,14,26,35,33,30,22,56,45,36,298,976,2059,2584,916,905,340,1030,507,146,9454
LGA54310,55,76,79,42,49,15,15,13,7,353,111,100,144,137,122,29,36,35,4,729,342,155,1796,252,356,91,386,246,81,3702,16,11,52,26,72,31,33,37,4,286,17,18,24,27,31,13,29,20,0,181,8,11,15,3,8,5,11,12,0,72,23,22,34,20,26,7,26,26,27,206,939,1537,2356,674,824,258,580,476,148,7794
LGA54340,13,13,6,7,5,0,0,3,0,37,12,16,9,19,5,5,3,3,0,71,49,21,136,51,42,27,22,54,8,414,3,0,9,6,7,3,3,15,0,53,5,0,5,4,8,0,0,17,0,45,3,0,0,0,0,0,0,4,0,14,3,6,3,9,4,4,0,19,8,52,116,186,178,120,79,49,42,133,17,924
LGA54410,3,8,0,3,0,0,0,0,0,14,6,0,0,4,0,0,0,3,0,17,27,0,33,20,11,6,13,11,0,122,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,10,57,45,35,35,18,9,21,18,5,244
LGA54480,10,0,0,0,0,0,0,0,0,9,4,0,0,3,0,0,0,6,0,13,18,0,5,3,4,5,4,8,0,47,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,4,74,14,7,9,8,4,13,17,0,142
LGA54550,26,3,3,4,3,0,0,0,0,48,12,0,4,7,5,0,0,7,0,40,43,6,54,9,10,4,10,33,0,168,5,0,0,3,0,6,0,7,0,19,7,0,0,0,0,0,4,3,0,15,0,0,0,0,0,0,0,4,0,5,4,0,3,3,0,3,3,7,0,32,173,89,70,42,32,21,36,69,0,527
LGA54620,7,4,0,4,3,0,0,0,0,18,3,0,0,5,3,0,0,8,0,20,29,0,19,14,0,0,13,11,0,87,3,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,4,0,8,77,18,28,20,18,8,16,20,4,209
LGA54690,3,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,8,13,0,7,0,3,0,3,3,0,35,3,0,0,3,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,6,27,9,3,13,7,4,12,6,0,84
LGA54760,6,5,0,0,0,0,0,0,0,13,8,3,0,6,6,0,0,3,0,18,26,0,11,5,4,0,5,17,0,78,3,0,0,3,0,0,0,3,0,14,4,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,12,76,41,19,20,13,8,15,24,5,208
LGA54830,80,118,115,107,95,42,58,38,4,651,192,209,232,439,270,81,112,104,12,1654,354,232,2101,887,553,289,583,474,82,5554,23,17,60,89,82,79,60,108,3,526,25,30,51,92,75,32,42,55,6,401,10,22,32,26,14,14,22,20,0,163,14,32,49,45,46,26,65,61,46,387,1196,2936,3034,2259,1654,778,1155,1098,210,14317
LGA54900,10,0,0,0,0,0,3,0,0,23,12,0,3,3,6,0,0,8,0,43,51,3,39,11,8,7,18,15,3,151,0,0,4,0,0,0,3,0,0,8,9,0,0,0,5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,10,6,3,0,0,0,0,8,0,27,137,47,56,26,33,8,28,35,6,377
LGA54970,0,3,5,0,0,0,4,0,0,18,4,4,8,6,4,0,9,0,0,30,9,5,62,8,3,0,40,7,4,137,0,0,0,6,0,0,5,0,0,17,5,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,8,6,0,19,28,59,81,17,12,3,78,20,8,295
LGA55040,0,0,0,3,3,0,0,0,0,13,8,4,5,13,8,0,10,3,0,49,19,0,86,12,16,6,33,19,0,195,0,0,4,0,0,0,5,3,0,19,0,0,0,0,0,0,3,3,0,9,0,0,0,0,0,0,0,0,0,3,0,0,4,4,0,0,3,0,3,13,41,47,107,37,35,8,72,41,7,394
LGA55110,227,297,205,249,219,80,69,53,21,1420,361,378,357,663,344,201,145,143,32,2625,833,445,3992,1697,865,590,1169,885,182,10669,44,24,107,148,113,121,78,160,8,804,56,41,74,151,133,78,82,76,7,696,36,47,40,36,37,24,20,22,3,259,65,68,91,107,87,69,73,87,83,720,2505,4838,5147,3637,2273,1364,1788,1607,384,23539
LGA55180,34,34,18,19,11,13,6,10,0,139,54,22,18,50,26,9,4,17,0,207,176,34,341,158,90,44,80,121,29,1074,10,6,12,9,28,19,11,27,0,117,23,3,13,13,19,10,12,17,0,111,7,4,0,4,0,0,0,5,0,28,22,6,6,7,10,14,6,25,9,106,483,436,424,311,215,123,129,282,45,2448
LGA55250,3,5,0,0,0,0,0,0,0,17,0,3,4,4,0,6,0,0,0,22,18,7,57,10,3,3,22,14,0,122,0,0,3,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,16,46,51,73,27,14,13,25,26,7,276
LGA55320,418,682,256,259,422,168,55,80,37,2377,523,519,398,499,543,249,82,97,22,2945,895,452,2486,929,824,421,333,428,105,6863,52,35,64,104,111,123,32,79,10,613,98,102,82,135,218,88,45,44,11,827,68,143,34,43,55,22,13,24,10,416,78,140,68,74,115,62,20,52,107,712,6587,16362,4239,3356,4666,1919,859,1232,530,39745
LGA55390,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,10,3,0,40,0,3,0,29,4,0,78,0,0,5,4,0,0,6,4,0,12,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,10,26,54,3,9,0,36,14,3,157
LGA55460,4,5,0,3,8,0,0,0,0,25,6,7,8,16,11,5,4,3,0,58,48,13,150,40,32,5,41,39,3,361,8,0,8,3,5,3,3,7,0,42,5,0,0,3,5,3,9,4,0,27,0,0,0,0,0,0,3,0,0,8,5,3,4,7,4,6,4,3,0,31,127,151,170,94,85,23,62,67,14,797
LGA55530,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,7,13,0,9,0,0,0,4,11,0,44,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,40,9,12,9,9,6,9,9,0,95
LGA55600,15,0,0,0,3,0,0,3,0,30,21,5,0,6,6,0,0,0,0,43,45,12,71,31,28,12,24,29,6,262,0,0,5,3,4,0,0,3,0,22,0,0,0,5,0,0,9,0,0,18,4,0,0,0,0,0,0,0,0,5,9,0,3,0,0,3,7,9,0,29,136,109,85,63,57,28,39,47,10,580
LGA55670,11,0,0,0,0,0,0,0,0,8,5,0,0,4,0,0,0,0,0,11,18,6,7,5,8,4,7,3,5,57,0,0,0,0,3,0,0,0,0,6,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,10,51,25,13,17,17,9,7,9,5,145
LGA55740,34,49,13,35,32,16,3,8,0,190,36,33,30,34,26,20,9,15,0,198,57,21,102,57,37,27,15,34,9,348,0,5,7,6,4,0,5,7,0,28,9,4,3,4,12,5,0,0,0,39,4,21,3,3,9,0,0,0,0,45,5,9,5,5,4,6,0,7,7,48,706,1668,219,302,297,167,53,128,60,3596
LGA55810,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,3,0,0,11,8,4,14,0,5,0,8,5,0,46,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,27,19,10,11,4,16,11,3,114
LGA55880,0,0,0,0,0,0,0,0,0,3,7,0,0,3,0,0,0,0,0,14,18,0,16,7,0,3,0,6,0,53,6,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,47,13,19,13,4,3,4,13,3,118
LGA55950,5,5,0,0,0,0,0,0,0,9,4,0,0,5,0,0,0,0,0,7,16,0,25,0,3,4,7,8,0,65,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,42,26,28,3,11,9,9,7,4,138
LGA56090,136,265,105,118,149,49,23,30,11,880,217,197,174,239,205,70,48,48,15,1225,491,280,1907,599,497,209,382,295,84,4741,20,15,48,53,60,44,28,51,3,321,42,33,39,72,81,41,40,30,4,378,13,27,12,12,28,10,9,10,0,113,36,43,36,55,40,22,25,20,42,308,1717,3598,2489,1480,1412,548,596,547,213,12597
LGA56160,3,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,3,3,0,5,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,6,4,0,0,0,5,0,29
LGA56230,54,46,19,48,29,6,15,12,6,236,79,57,61,96,62,22,21,19,3,429,177,108,939,315,196,102,276,184,40,2332,15,6,31,31,28,32,28,36,3,213,13,14,18,21,21,7,24,21,3,148,8,9,8,8,3,0,3,3,4,50,16,7,23,25,15,17,22,26,14,155,489,709,1142,617,405,211,399,341,73,4387
LGA56300,4,11,6,5,3,0,6,0,4,38,6,9,3,9,3,3,0,5,0,36,23,0,46,11,12,3,10,22,0,133,0,0,0,0,0,0,0,5,0,12,0,0,0,0,5,0,0,5,0,9,0,0,0,0,0,0,0,0,0,3,3,0,0,5,0,0,10,0,0,15,83,80,61,41,37,7,25,43,9,375
LGA56370,11,0,0,0,0,0,0,0,0,15,4,0,3,0,0,0,0,0,0,5,21,0,15,0,0,3,4,5,0,61,0,0,3,0,0,0,0,3,0,6,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,9,53,28,21,11,16,8,7,21,5,154
LGA56460,20,16,13,17,4,6,0,3,0,79,26,13,7,37,19,9,4,4,0,121,72,23,180,82,61,36,43,47,6,547,7,0,7,9,9,8,7,5,0,50,3,4,4,9,4,0,0,9,0,34,9,0,0,0,0,0,0,6,0,11,6,4,4,13,6,0,0,17,6,54,203,311,224,189,128,65,69,111,17,1320
LGA56580,99,147,36,34,64,34,7,3,3,424,72,62,42,44,60,39,7,14,3,338,100,45,158,101,65,38,18,36,6,560,5,3,3,9,9,7,0,7,0,53,13,17,3,13,25,12,0,4,0,87,20,38,8,8,10,0,0,6,0,83,17,40,3,12,9,6,0,4,13,105,1831,4782,383,466,809,333,76,123,119,8922
LGA56620,0,3,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,5,12,3,0,5,0,0,0,5,0,28,3,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,52,0,11,5,0,4,3,0,108
LGA56730,21,31,11,26,12,8,8,0,0,122,38,37,26,57,32,12,12,12,0,232,123,62,423,173,115,72,123,101,16,1200,11,5,12,24,29,19,5,24,0,132,13,0,6,15,17,17,12,12,0,94,3,5,5,5,8,0,0,4,0,28,15,10,6,24,12,9,12,11,23,122,336,537,514,390,266,157,183,186,48,2613
LGA56790,21,4,8,5,0,4,3,3,0,50,9,7,7,17,12,0,0,6,0,53,59,10,82,42,19,11,41,49,10,330,4,4,0,6,5,0,0,0,0,27,4,0,0,4,0,0,0,4,0,21,0,0,0,0,3,0,0,0,0,11,16,5,4,0,5,0,5,13,6,51,143,123,105,86,62,27,58,82,18,704
LGA56860,3,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,10,0,3,4,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,7,5,8,9,0,3,0,0,52
LGA56930,14,7,4,0,0,3,0,3,0,29,7,3,3,5,0,4,0,0,0,27,17,6,11,4,0,0,3,0,0,33,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,4,4,0,0,0,0,0,0,0,11,4,4,0,0,0,0,0,0,0,14,157,260,15,25,48,20,3,4,10,552
LGA57000,3,0,0,0,0,0,0,0,0,8,4,0,0,3,6,0,0,3,0,13,19,0,23,4,4,0,13,11,4,71,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,24,19,14,14,0,14,21,4,150
LGA57080,121,149,87,63,75,45,21,28,8,587,165,165,191,240,120,58,52,93,15,1105,199,132,502,242,154,113,95,117,14,1575,17,13,16,45,35,27,14,26,0,185,25,15,16,28,37,22,9,15,0,162,22,67,14,26,14,12,0,17,5,176,31,44,18,22,19,10,7,23,40,223,1876,5802,1275,1405,1354,594,344,724,182,13565
LGA57140,10,0,0,0,3,0,0,4,0,18,6,0,0,3,8,0,0,0,0,13,17,10,28,12,4,0,8,12,3,90,4,0,0,0,0,0,0,3,0,11,9,0,0,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,46,37,36,24,19,7,11,23,6,211
LGA57210,22,27,9,15,17,6,4,8,3,111,26,13,17,33,17,9,8,7,0,120,99,16,160,86,55,39,50,80,10,593,7,3,4,3,11,8,4,15,0,67,16,0,3,6,9,0,8,8,0,53,3,0,0,0,0,0,0,4,5,16,14,5,6,4,3,5,0,7,4,55,286,247,210,165,141,74,83,161,24,1402
LGA57280,41,49,50,27,32,10,15,18,0,235,80,70,95,87,86,18,34,41,3,522,188,121,1285,146,203,57,325,168,75,2556,16,0,32,20,42,20,30,27,3,187,15,14,19,17,23,14,22,14,0,138,4,0,19,0,7,8,4,8,0,45,11,5,20,10,11,7,27,27,38,158,542,944,1634,420,527,162,484,347,133,5194
LGA57350,4,0,3,0,0,0,0,0,0,10,3,0,0,6,0,0,0,0,0,18,20,0,14,13,0,4,6,6,0,67,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,53,26,18,27,9,5,7,7,0,155
LGA57420,12,9,3,4,0,0,0,0,0,26,17,5,3,14,12,4,5,5,4,63,31,4,101,16,17,4,42,17,8,242,0,0,0,0,3,4,3,0,0,13,7,0,0,0,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,5,3,8,0,0,0,10,3,0,30,122,93,124,45,52,17,73,40,21,582
LGA57490,387,507,362,414,344,117,113,125,41,2405,704,729,728,1261,777,305,236,207,57,5001,1518,926,7483,3187,1767,890,1724,1538,315,19349,95,47,191,252,232,235,165,280,10,1497,126,80,153,283,217,135,128,124,9,1262,46,88,55,67,56,29,32,36,16,429,65,100,139,206,140,79,95,137,141,1112,4366,8197,9647,6746,4401,2102,2702,2720,670,41553
LGA57630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,5,5,5,26
LGA57700,91,119,72,83,97,29,37,21,8,555,182,135,153,316,230,68,72,50,10,1211,420,177,2026,590,534,211,502,368,90,4916,15,14,39,38,76,44,36,48,4,319,39,15,50,69,65,30,37,29,6,338,11,26,19,13,11,6,20,12,3,119,30,32,30,40,36,18,37,31,52,295,1149,1852,2522,1413,1301,481,820,624,210,10372
LGA57770,0,0,0,0,0,3,0,0,0,16,10,4,5,11,4,0,3,7,0,37,19,7,52,4,10,6,11,9,4,125,0,0,0,0,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,4,6,0,0,0,3,14,50,52,60,39,27,18,16,45,12,317
LGA57840,186,272,95,103,131,62,34,30,8,920,235,219,147,228,223,112,42,64,20,1297,289,184,822,360,318,177,132,167,40,2483,9,9,26,54,50,36,12,19,0,218,35,30,25,33,66,35,7,14,5,249,26,51,9,24,33,8,3,16,3,173,29,76,20,34,33,24,9,17,48,304,2905,8196,1564,1528,1934,835,400,583,256,18200
LGA57910,876,1274,644,726,714,346,196,303,66,5140,1199,1328,1243,1714,1347,624,368,525,100,8451,1699,1027,6553,2590,1848,1017,1119,1447,299,17592,93,88,156,240,271,213,93,175,12,1352,218,186,179,377,429,191,104,174,20,1870,141,251,89,133,134,68,49,104,23,1004,173,295,220,265,219,132,114,208,242,1865,12451,31927,11287,9894,9700,4585,3157,4841,1278,89123
LGA57980,63,117,25,34,48,18,10,7,4,326,78,67,50,60,70,26,4,19,0,366,71,41,157,86,75,42,33,55,11,565,5,0,8,17,9,18,0,13,0,70,26,15,12,18,26,14,0,8,0,112,11,36,6,4,5,3,0,4,6,72,19,35,6,10,23,12,0,3,8,107,1248,4305,400,494,681,296,86,199,85,7801
LGA58050,379,558,412,461,474,152,208,129,25,2802,801,775,805,1422,922,416,364,322,71,5894,1644,915,7135,2909,2083,1044,1886,1445,295,19360,119,60,169,224,277,237,173,269,24,1546,150,88,176,342,314,154,133,156,27,1547,62,118,96,73,100,45,68,54,9,627,115,112,139,206,176,110,124,135,192,1310,5453,10436,9936,7466,6170,2844,3540,3116,822,49776
LGA58190,3,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,7,8,4,5,8,3,4,0,6,0,31,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,5,9,10,6,3,10,0,87
LGA58260,3,0,0,0,0,0,0,0,0,11,8,0,0,3,5,0,0,0,0,19,13,0,15,3,4,0,3,5,3,55,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,41,21,17,16,15,0,9,12,3,132
LGA58330,12,11,3,11,17,3,0,8,0,64,17,21,24,28,26,11,4,4,0,138,73,39,183,68,44,25,80,35,13,561,0,3,0,7,7,4,0,9,0,37,0,3,5,10,15,0,3,6,0,40,0,6,4,0,7,0,0,0,0,13,3,4,4,9,11,4,9,7,6,55,169,233,234,155,148,48,110,81,28,1198
