LGA_CODE_2021,C11_PI_S_R225_274,C11_PI_S_R275_349,C11_PI_S_R350_449,C11_PI_S_R450_549,C11_PI_S_R550_649,C11_PI_S_R650more,C11_PI_S_R_NS,C11_PI_S_R_Tot,C11_AI_NS_R1_74,C11_AI_NS_R75_99,C11_AI_NS_R100_149,C11_AI_NS_R150_199,C11_AI_NS_R200_224,C11_AI_NS_R225_274,C11_AI_NS_R275_349,C11_AI_NS_R350_449,C11_AI_NS_R450_549,C11_AI_NS_R550_649,C11_AI_NS_R650more,C11_AI_NS_R_NS,C11_AI_NS_R_Tot,C11_Tot_R1_74,C11_Tot_R75_99,C11_Tot_R100_149,C11_Tot_R150_199,C11_Tot_R200_224,C11_Tot_R225_274,C11_Tot_R275_349,C11_Tot_R350_449,C11_Tot_R450_549,C11_Tot_R550_649,C11_Tot_R650more,C11_Tot_R_NS,C11_Tot_R_Tot,C16_Neg_Ni_inc_R1_74,C16_Neg_Ni_inc_R75_99,C16_Neg_Ni_inc_R100_149,C16_Neg_Ni_inc_R150_199,C16_Neg_Ni_inc_R200_224,C16_Neg_Ni_inc_R225_274,C16_Neg_Ni_inc_R275_349,C16_Neg_Ni_inc_R350_449,C16_Neg_Ni_inc_R450_549,C16_Neg_Ni_inc_R550_649,C16_Neg_Ni_inc_R650more,C16_Neg_Ni_inc_R_NS,C16_Neg_Ni_inc_R_Tot,C16_1_149_R1_74,C16_1_149_R75_99,C16_1_149_R100_149,C16_1_149_R150_199,C16_1_149_R200_224,C16_1_149_R225_274,C16_1_149_R275_349,C16_1_149_R350_449,C16_1_149_R450_549,C16_1_149_R550_649,C16_1_149_R650more,C16_1_149_R_NS,C16_1_149_R_Tot,C16_150_299_R1_74,C16_150_299_R75_99,C16_150_299_R100_149,C16_150_299_R150_199,C16_150_299_R200_224,C16_150_299_R225_274,C16_150_299_R275_349,C16_150_299_R350_449,C16_150_299_R450_549,C16_150_299_R550_649,C16_150_299_R650more,C16_150_299_R_NS,C16_150_299_R_Tot,C16_300_399_R1_74,C16_300_399_R75_99,C16_300_399_R100_149,C16_300_399_R150_199,C16_300_399_R200_224,C16_300_399_R225_274,C16_300_399_R275_349,C16_300_399_R350_449,C16_300_399_R450_549,C16_300_399_R550_649,C16_300_399_R650more,C16_300_399_R_NS,C16_300_399_R_Tot,C16_400_499_R1_74,C16_400_499_R75_99,C16_400_499_R100_149,C16_400_499_R150_199,C16_400_499_R200_224,C16_400_499_R225_274,C16_400_499_R275_349,C16_400_499_R350_449,C16_400_499_R450_549,C16_400_499_R550_649,C16_400_499_R650more,C16_400_499_R_NS,C16_400_499_R_Tot,C16_500_649_R1_74,C16_500_649_R75_99,C16_500_649_R100_149,C16_500_649_R150_199,C16_500_649_R200_224,C16_500_649_R225_274,C16_500_649_R275_349,C16_500_649_R350_449,C16_500_649_R450_549,C16_500_649_R550_649,C16_500_649_R650more,C16_500_649_R_NS,C16_500_649_R_Tot,C16_650_799_R1_74,C16_650_799_R75_99,C16_650_799_R100_149,C16_650_799_R150_199,C16_650_799_R200_224,C16_650_799_R225_274,C16_650_799_R275_349,C16_650_799_R350_449,C16_650_799_R450_549,C16_650_799_R550_649,C16_650_799_R650more,C16_650_799_R_NS,C16_650_799_R_Tot,C16_800_999_R1_74,C16_800_999_R75_99,C16_800_999_R100_149,C16_800_999_R150_199,C16_800_999_R200_224,C16_800_999_R225_274,C16_800_999_R275_349,C16_800_999_R350_449,C16_800_999_R450_549,C16_800_999_R550_649,C16_800_999_R650more,C16_800_999_R_NS,C16_800_999_R_Tot,C16_1000_1249_R1_74,C16_1000_1249_R75_99,C16_1000_1249_R100_149,C16_1000_1249_R150_199,C16_1000_1249_R200_224,C16_1000_1249_R225_274,C16_1000_1249_R275_349,C16_1000_1249_R350_449,C16_1000_1249_R450_549,C16_1000_1249_R550_649,C16_1000_1249_R650more,C16_1000_1249_R_NS,C16_1000_1249_R_Tot,C16_1250_1499_R1_74,C16_1250_1499_R75_99,C16_1250_1499_R100_149,C16_1250_1499_R150_199,C16_1250_1499_R200_224,C16_1250_1499_R225_274,C16_1250_1499_R275_349,C16_1250_1499_R350_449,C16_1250_1499_R450_549,C16_1250_1499_R550_649,C16_1250_1499_R650more,C16_1250_1499_R_NS,C16_1250_1499_R_Tot,C16_1500_1999_R1_74,C16_1500_1999_R75_99,C16_1500_1999_R100_149,C16_1500_1999_R150_199,C16_1500_1999_R200_224,C16_1500_1999_R225_274,C16_1500_1999_R275_349,C16_1500_1999_R350_449,C16_1500_1999_R450_549,C16_1500_1999_R550_649,C16_1500_1999_R650more,C16_1500_1999_R_NS,C16_1500_1999_R_Tot,C16_2000_2499_R1_74,C16_2000_2499_R75_99,C16_2000_2499_R100_149,C16_2000_2499_R150_199,C16_2000_2499_R200_224,C16_2000_2499_R225_274,C16_2000_2499_R275_349,C16_2000_2499_R350_449,C16_2000_2499_R450_549,C16_2000_2499_R550_649,C16_2000_2499_R650more,C16_2000_2499_R_NS,C16_2000_2499_R_Tot,C16_2500_2999_R1_74,C16_2500_2999_R75_99,C16_2500_2999_R100_149,C16_2500_2999_R150_199,C16_2500_2999_R200_224,C16_2500_2999_R225_274,C16_2500_2999_R275_349,C16_2500_2999_R350_449,C16_2500_2999_R450_549,C16_2500_2999_R550_649
LGA10800,0,0,0,0,0,0,0,14,4,0,3,0,0,0,0,0,0,0,0,3,12,41,36,97,85,43,53,26,5,3,0,8,42,429,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,3,7,0,12,15,0,0,0,0,0,0,0,0,24,0,3,10,16,3,3,0,0,0,0,0,0,33,6,0,0,5,4,5,0,0,0,0,0,0,22,4,0,9,11,13,7,0,0,0,0,0,0,41,3,0,9,10,6,10,4,0,0,0,0,0,39,3,3,10,16,3,7,0,0,0,0,0,3,37,0,0,11,5,0,3,3,0,0,0,0,0,32,4,0,5,13,7,12,0,0,0,0,0,15,49,0,0,0,4,0,9,7,0,0,0,0,6,29,3,0,0,3,0,3,0,0,0,0
LGA10850,7,0,0,0,0,0,0,37,0,6,3,4,0,0,0,0,0,0,0,7,18,26,49,98,168,69,66,41,10,4,0,5,25,553,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,5,4,3,0,0,0,0,3,23,0,0,13,4,5,7,4,4,0,0,0,0,37,0,5,13,20,9,5,3,0,0,0,0,3,65,0,0,9,10,11,9,9,0,0,0,0,3,42,0,0,3,9,9,16,9,3,0,0,0,0,51,0,0,3,5,15,17,9,0,0,0,0,3,55,0,0,0,0,11,13,5,3,0,0,0,0,34,0,0,4,8,6,12,10,3,0,0,0,0,41,3,0,0,5,6,21,17,3,0,0,0,6,64,0,0,0,0,5,10,12,5,0,0,0,0,43,5,0,0,4,0,0,10,6,0,0
LGA10900,42,102,65,31,12,3,10,317,4,0,11,15,9,4,15,4,0,0,4,30,95,54,72,310,472,443,966,1537,875,233,51,54,173,5244,0,0,0,0,0,6,13,26,3,0,4,5,60,0,0,0,3,3,7,7,0,4,0,0,8,33,7,15,14,25,9,19,16,13,3,0,0,9,128,5,0,20,59,18,30,23,22,8,0,0,10,200,5,0,39,93,37,72,74,54,7,0,0,15,411,0,0,15,46,39,77,103,90,21,6,3,7,410,5,5,6,22,26,74,113,145,28,8,5,11,441,0,0,3,16,16,55,128,167,35,8,0,9,445,5,0,5,11,11,36,133,223,52,4,4,12,497,0,0,12,14,14,25,88,203,66,16,3,10,461,0,5,5,10,9,29,116,322,121,25,10,14,665,0,0,5,8,8,13,57,203,123,21,11,9,460,0,0,0,0,3,3,19,64,75,21
LGA10950,3,0,0,0,0,0,0,14,0,4,4,4,0,0,0,0,0,0,0,3,13,29,19,70,80,32,22,7,4,3,0,0,23,300,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,9,5,6,0,0,0,0,0,0,0,15,0,0,14,4,0,0,0,0,0,0,0,0,31,0,0,3,3,0,0,0,0,0,0,0,0,14,0,0,3,6,6,0,0,0,0,0,0,0,21,0,0,9,5,4,4,0,0,0,0,0,0,23,0,0,0,12,5,5,0,0,0,0,0,0,23,6,3,0,4,0,3,3,0,0,0,0,0,23,6,3,0,3,9,10,7,0,0,0,0,0,34,3,0,5,3,4,3,6,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
LGA11150,0,0,0,0,0,0,6,40,4,3,4,4,0,0,0,0,0,0,0,0,12,91,35,66,76,18,6,3,3,0,0,5,24,330,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,0,0,3,8,0,0,0,0,0,0,0,0,13,0,0,7,3,0,0,0,0,0,0,0,3,15,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,3,8,4,0,0,0,0,0,0,0,21,0,0,0,15,4,4,0,0,0,0,0,0,29,6,0,6,3,0,0,0,0,0,0,0,0,28,5,0,3,7,4,0,3,0,0,0,0,3,31,10,0,5,4,5,4,0,0,0,0,0,5,28,5,0,5,0,8,6,4,0,0,0,0,0,32,7,0,0,0,0,0,3,0,0,0
LGA11200,0,0,0,0,0,0,0,24,8,0,0,0,0,0,0,0,0,0,0,0,10,91,45,74,20,0,0,0,0,0,0,3,35,269,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,14,4,0,0,0,0,0,0,0,0,0,19,4,8,11,4,0,0,0,0,0,0,0,0,26,0,25,3,0,0,0,0,0,0,0,0,3,33,0,9,0,7,3,0,0,0,0,0,0,0,25,0,15,5,0,0,0,0,0,0,0,0,0,22,3,11,8,4,0,0,0,0,0,0,0,0,29,3,6,3,0,0,0,0,0,0,0,0,0,18,3,0,7,3,0,0,0,0,0,0,0,5,20,16,9,7,6,0,4,0,0,0,0,3,0,41,5,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
LGA11250,11,5,0,0,0,3,9,93,0,0,17,22,0,4,0,0,0,0,0,15,56,90,56,406,502,177,104,67,19,8,5,24,81,1535,0,0,0,8,0,0,0,0,0,0,0,0,10,0,3,0,7,0,5,0,0,0,0,0,0,16,0,7,17,33,7,4,4,0,0,0,0,3,81,3,11,26,41,17,16,8,0,0,0,0,4,122,7,4,37,63,26,19,5,5,0,0,0,12,180,0,5,17,58,30,30,4,5,0,0,0,5,151,3,5,10,60,30,14,15,3,0,0,0,4,138,0,0,12,38,28,24,9,0,0,0,6,0,118,3,0,10,31,34,23,21,4,0,0,4,3,136,8,4,4,14,25,21,13,0,0,0,0,0,97,14,6,10,28,20,37,28,9,0,0,0,6,161,10,5,10,20,10,29,21,9,0,0,0,8,116,3,3,8,6,9,11,14,7,0,0
LGA11300,6,16,83,70,30,35,23,278,6,3,0,0,9,4,4,27,10,4,5,15,78,56,130,127,119,76,232,389,1152,898,307,229,164,3867,0,5,4,7,10,14,13,26,70,75,119,29,373,6,0,5,3,0,4,6,5,4,7,20,5,59,7,3,24,9,6,3,3,9,26,19,21,5,116,9,7,66,8,6,5,19,13,12,3,13,5,165,0,0,55,22,8,10,11,16,25,15,12,5,193,0,0,9,17,9,14,17,22,42,18,34,13,209,0,4,10,20,11,15,17,38,60,32,28,16,242,0,0,9,10,8,12,30,51,84,41,40,4,282,0,0,5,8,7,13,36,69,115,61,67,20,402,0,0,0,7,3,10,20,63,103,64,55,7,343,0,0,8,4,9,10,26,122,200,106,99,20,606,0,0,4,3,0,9,25,82,225,122,91,11,567,0,0,0,0,6,6,8,51,108,82
LGA11350,16,46,100,53,33,16,12,306,0,0,8,3,4,3,0,9,4,6,5,24,76,37,55,169,264,212,305,585,996,442,195,193,134,3578,0,0,4,7,4,3,0,3,9,4,4,5,41,0,0,4,3,0,0,4,3,3,3,4,3,29,0,3,12,14,5,17,14,12,8,3,0,13,93,0,6,14,41,16,13,23,24,10,3,0,10,158,0,3,17,74,28,43,48,48,25,9,10,11,320,0,0,4,34,30,40,40,61,34,26,14,13,298,0,4,6,18,22,31,52,66,41,15,12,8,280,0,0,4,8,9,14,50,75,49,26,15,9,265,0,3,4,9,7,20,48,102,67,41,36,3,341,0,0,3,7,10,8,26,98,68,36,25,9,296,0,0,3,4,4,3,20,82,86,52,43,3,306,3,0,0,0,4,3,14,50,58,57,51,8,252,0,0,0,0,3,0,3,14,23,30
LGA11400,4,8,0,0,0,0,6,51,0,0,5,9,0,4,0,0,0,0,0,8,25,65,36,163,221,74,72,42,21,3,3,3,55,761,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,5,6,3,11,3,3,0,0,0,0,0,0,0,25,0,0,9,13,7,4,8,0,0,0,0,0,40,14,3,11,25,10,8,3,0,0,0,4,5,81,5,0,4,18,12,11,9,0,0,0,0,3,65,3,3,16,19,8,8,3,4,0,0,0,4,66,3,4,10,12,6,16,17,0,0,0,0,7,80,0,0,6,9,12,7,10,3,0,0,0,3,47,3,0,5,9,6,12,7,9,0,0,0,4,55,7,0,7,10,9,22,22,9,0,0,0,4,86,0,0,9,8,7,13,7,4,0,0,0,7,60,0,0,0,0,0,4,8,0,0,0
LGA11450,21,54,52,72,12,5,7,242,0,7,4,3,4,5,8,10,4,0,0,19,64,50,127,108,121,93,197,623,1116,558,115,40,107,3267,0,0,5,0,0,3,5,10,15,11,0,12,68,0,0,3,6,0,0,5,4,3,0,4,3,26,9,5,19,5,4,3,4,15,16,0,0,0,76,5,4,40,3,6,4,14,10,13,0,0,6,108,3,6,47,11,8,7,14,30,26,8,0,7,170,0,5,12,7,8,16,23,44,36,15,5,7,185,0,4,11,19,13,15,24,100,57,19,0,8,270,3,0,5,10,11,9,34,101,81,22,6,13,301,0,0,5,10,0,17,34,147,121,46,8,6,400,0,0,0,9,11,6,18,126,158,45,9,4,393,0,0,8,0,4,21,45,217,315,83,10,15,722,0,0,0,0,6,20,18,151,321,137,23,16,687,0,0,0,3,4,13,15,80,208,96
