LGA_CODE_2021,Med_age_persns_C2011,Med_age_persns_C2016,Med_age_persns_C2021,Med_mortg_rep_mon_C2011,Med_mortg_rep_mon_C2016,Med_mortg_rep_mon_C2021,Med_person_inc_we_C2011,Med_person_inc_we_C2016,Med_person_inc_we_C2021,Med_rent_weekly_C2011,Med_rent_weekly_C2016,Med_rent_weekly_C2021,Med_Famly_inc_we_C2011,Med_Famly_inc_we_C2016,Med_Famly_inc_we_C2021,Avg_num_p_per_brm_C2011,Avg_num_p_per_brm_C2016,Avg_num_p_per_brm_C2021,Med_tot_hh_inc_wee_C2011,Med_tot_hh_inc_wee_C2016,Med_tot_hh_inc_wee_C2021,Average_hh_size_C2011,Average_hh_size_C2016,Average_hh_size_C2021
LGA12850,36,36,39,1800,1800,2000,369,439,485,280,350,390,1065,1263,1482,1,1.1,1,1021,1222,1390,3.2,3.3,3.2
LGA12870,46,49,51,1300,1300,1300,460,559,646,180,210,250,1062,1299,1592,0.8,0.7,0.7,861,1017,1187,2.3,2.3,2.2
LGA12900,41,42,42,1127,1148,1283,460,571,718,155,190,230,1015,1326,1691,0.8,0.8,0.7,832,1069,1259,2.4,2.4,2.4
LGA12930,37,37,38,2167,2167,2474,565,640,792,370,450,450,1552,1816,2209,1,1,1,1356,1654,1991,2.8,2.9,2.8
LGA12950,44,45,46,975,1083,1083,419,537,632,135,171,200,930,1199,1384,0.8,0.7,0.7,771,998,1149,2.4,2.4,2.3
LGA13010,46,47,50,1083,1083,1083,395,478,528,160,200,220,917,1111,1324,0.8,0.7,0.7,733,838,934,2.3,2.2,2.1
LGA13310,41,42,41,1517,1517,1733,516,625,749,190,260,320,1282,1505,1939,0.8,0.8,0.7,980,1196,1466,2.4,2.4,2.4
LGA13340,43,44,44,1200,1213,1300,479,600,723,160,190,220,1174,1439,1833,0.8,0.8,0.8,943,1168,1420,2.5,2.5,2.5
LGA13450,36,37,37,1517,1495,1473,531,674,837,186,230,290,1290,1555,2006,0.8,0.8,0.8,1064,1331,1738,2.7,2.7,2.7
LGA13550,40,40,37,1300,1473,1476,485,618,780,195,250,300,1200,1586,2001,0.8,0.8,0.7,936,1253,1557,2.5,2.5,2.5
LGA13660,45,48,50,867,981,997,387,489,541,130,165,200,904,1178,1308,0.8,0.8,0.7,725,910,1029,2.3,2.3,2.3
LGA13800,36,38,39,2037,2080,2200,622,728,860,290,370,400,1597,1916,2272,0.8,0.8,0.8,1385,1668,1980,2.8,2.8,2.8
LGA13850,44,46,48,999,982,894,441,587,700,130,155,175,987,1344,1622,0.7,0.7,0.7,801,1075,1236,2.4,2.3,2.2
LGA13910,42,44,45,1200,1200,1213,438,538,657,175,215,250,1018,1261,1552,0.8,0.7,0.7,796,976,1175,2.4,2.4,2.4
LGA14000,39,40,41,2400,2400,2600,691,793,958,410,500,495,2154,2372,2825,0.9,0.9,0.9,1848,2121,2417,2.9,2.9,2.8
LGA14100,42,43,46,3110,3033,4000,821,977,1210,400,500,540,2716,3301,4116,0.9,0.9,0.8,2181,2467,2998,2.6,2.7,2.6
LGA14170,36,36,38,2540,2600,3000,811,957,1207,395,480,500,2135,2498,3155,1,1,1,1703,2048,2340,2.3,2.4,2.3
LGA14220,40,42,43,1192,1198,1210,423,501,619,175,220,260,955,1174,1445,0.8,0.8,0.8,786,946,1163,2.5,2.4,2.4
LGA14300,39,40,41,1170,1200,1257,473,600,742,160,210,260,1144,1410,1796,0.8,0.8,0.7,902,1139,1398,2.5,2.5,2.4
LGA14350,45,47,48,1300,1300,1301,386,474,550,195,250,300,902,1107,1347,0.8,0.8,0.8,749,894,1085,2.4,2.4,2.4
LGA14400,45,47,48,2000,2000,2194,563,683,827,305,400,485,1525,1820,2202,0.8,0.8,0.7,1234,1509,1834,2.5,2.5,2.5
LGA14500,41,41,42,3033,3000,3500,814,942,1117,600,650,630,2680,3046,3447,0.8,0.9,0.8,2508,2640,3038,2.9,2.9,2.9
LGA14550,45,50,52,1083,1100,1224,377,460,520,180,210,250,880,1076,1311,0.8,0.8,0.8,717,832,983,2.4,2.2,2.2
LGA14600,40,40,41,867,900,878,439,548,644,120,160,180,976,1267,1576,0.8,0.8,0.7,837,1027,1218,2.5,2.4,2.4
LGA14650,41,42,42,1733,1733,1950,520,609,759,260,330,375,1396,1610,2050,0.8,0.8,0.8,1117,1313,1623,2.5,2.5,2.5
LGA14700,37,36,37,2708,2600,2980,970,1149,1424,421,520,540,2639,2971,3619,0.9,1,1,2180,2376,2801,2.5,2.5,2.4
LGA14750,36,40,38,1300,1300,1300,479,607,745,168,200,250,1188,1456,1815,0.8,0.8,0.8,969,1190,1417,2.5,2.5,2.5
LGA14850,40,43,44,1473,1430,1517,469,550,685,230,270,310,1123,1351,1719,0.8,0.8,0.8,907,1067,1319,2.4,2.4,2.4
LGA14870,42,45,46,1430,1387,1500,450,510,632,175,233,270,1193,1328,1658,0.8,0.8,0.7,894,984,1196,2.4,2.3,2.3
LGA14900,33,33,34,2167,2123,2200,510,584,694,300,380,400,1401,1663,2001,1,1,0.9,1298,1550,1819,3.2,3.2,3.2
LGA14920,44,45,47,1127,1153,1133,432,533,620,160,198,230,988,1287,1479,0.8,0.7,0.7,801,1032,1165,2.4,2.3,2.3
LGA14950,44,46,46,993,1000,1192,452,585,639,135,166,200,1057,1408,1636,0.8,0.7,0.7,865,1114,1295,2.5,2.5,2.5
LGA15050,36,36,36,1733,1733,1829,562,644,802,260,320,370,1553,1664,2088,0.8,0.8,0.8,1291,1415,1766,2.7,2.7,2.7
LGA15240,49,52,54,1303,1324,1500,396,476,564,210,260,315,912,1108,1341,0.8,0.7,0.7,754,887,1060,2.3,2.2,2.2
LGA15270,41,42,42,1517,1690,1733,449,547,703,220,280,330,1205,1433,1966,0.8,0.8,0.8,930,1131,1486,2.4,2.4,2.4
LGA15300,35,38,38,1300,1300,1300,559,669,816,150,180,210,1256,1480,1919,0.8,0.8,0.8,1047,1240,1524,2.5,2.5,2.5
LGA15350,40,42,45,3200,3000,3870,1118,1295,1487,481,570,590,2839,3671,4502,0.9,0.9,0.9,2468,2522,2892,2.3,2.4,2.3
LGA15520,47,49,49,1300,1300,1408,446,558,653,180,220,260,1026,1333,1593,0.7,0.7,0.7,829,1061,1260,2.3,2.3,2.4
LGA15560,41,41,45,1025,900,869,488,659,782,140,155,190,1073,1461,1790,0.8,0.8,0.7,880,1197,1401,2.5,2.5,2.3
LGA15650,34,35,37,1733,1733,1517,619,640,769,240,250,300,1699,1665,2019,0.8,0.8,0.7,1401,1346,1628,2.6,2.5,2.5
LGA15700,49,51,52,1226,1300,1368,377,467,525,200,250,300,853,1080,1309,0.8,0.8,0.8,700,835,976,2.3,2.3,2.2
LGA15750,39,40,40,1300,1395,1343,520,632,778,150,210,250,1247,1531,1944,0.8,0.8,0.8,979,1242,1498,2.5,2.5,2.4
LGA15800,42,44,44,1000,1007,1000,454,575,651,140,180,200,1012,1349,1524,0.8,0.7,0.7,805,1030,1184,2.4,2.3,2.3
LGA15850,39,42,41,1083,1100,1200,492,586,717,150,200,240,1082,1358,1721,0.8,0.8,0.7,853,1078,1308,2.5,2.5,2.5
LGA15900,37,37,37,1776,1768,1987,563,660,852,280,340,400,1530,1778,2264,0.8,0.8,0.8,1165,1368,1760,2.4,2.4,2.4
LGA15950,36,37,38,2756,2600,3000,1216,1386,1593,481,580,580,2767,3210,3743,1,1,1,2205,2360,2524,2,2,2
LGA15990,39,40,41,2800,2800,3124,779,916,1109,465,575,625,2188,2528,3131,0.9,0.9,0.9,1812,2178,2592,2.6,2.7,2.7
LGA16100,41,45,47,1517,1452,1560,527,611,759,190,230,280,1266,1509,1869,0.8,0.7,0.7,993,1239,1441,2.5,2.4,2.3
LGA16150,36,37,37,1625,1629,1700,582,667,842,230,272,330,1471,1655,2133,0.8,0.8,0.7,1161,1295,1665,2.5,2.5,2.5
LGA16200,39,41,41,1300,1300,1300,456,554,700,153,200,250,1127,1412,1790,0.8,0.8,0.7,881,1088,1336,2.5,2.4,2.4
LGA16260,35,34,35,2167,2167,2383,620,722,908,360,450,450,1652,1933,2298,1,1,1,1455,1759,2051,2.7,2.8,2.6
LGA16350,34,34,35,1993,2000,2167,623,728,866,300,370,400,1582,1858,2188,0.9,0.8,0.8,1398,1658,1903,2.9,2.9,2.8
LGA16380,47,48,49,1647,1671,1733,447,540,647,250,320,375,1008,1300,1576,0.8,0.8,0.7,837,1042,1263,2.3,2.3,2.3
LGA16400,42,45,47,1733,1733,1733,498,571,671,250,310,370,1246,1431,1714,0.8,0.8,0.7,999,1180,1372,2.5,2.5,2.4
LGA16490,37,38,38,2080,2100,2167,838,933,1159,290,310,355,2076,2303,2801,0.8,0.8,0.8,1694,1882,2295,2.6,2.6,2.6
LGA16550,35,34,37,2600,2600,3033,718,834,1121,450,550,550,2066,2421,3009,1,1,1,1578,1916,2305,2.4,2.5,2.4
LGA16610,42,44,46,1300,1300,1341,407,491,609,213,250,295,956,1191,1431,0.8,0.8,0.8,789,953,1137,2.4,2.4,2.4
LGA16700,36,36,37,2310,2200,2600,635,738,967,370,460,460,1841,2106,2519,1,1,1,1466,1786,2098,2.6,2.7,2.5
LGA16900,37,39,39,1900,1846,2114,479,579,729,255,350,420,1345,1562,1977,0.8,0.8,0.8,1127,1343,1647,2.7,2.7,2.6
LGA16950,46,48,48,1500,1517,1733,426,511,634,220,280,350,984,1226,1537,0.7,0.7,0.7,822,992,1250,2.3,2.3,2.3
LGA17000,35,36,37,2000,1950,1917,641,684,819,265,290,338,1930,1981,2315,0.8,0.8,0.8,1695,1682,2016,2.7,2.7,2.7
LGA17040,41,43,43,1343,1300,1500,561,675,835,195,240,300,1279,1569,2092,0.8,0.8,0.8,981,1200,1593,2.4,2.3,2.4
LGA17080,42,45,45,1300,1300,1300,478,577,685,165,190,230,1189,1418,1683,0.8,0.8,0.8,923,1120,1306,2.4,2.3,2.4
LGA17100,33,32,33,2200,2167,2300,558,682,869,400,475,460,1596,1894,2301,1.1,1.1,1.1,1421,1781,2105,2.9,3,2.7
LGA17150,39,40,41,2400,2427,2620,718,837,1018,375,450,500,2014,2312,2758,0.9,0.9,0.9,1674,1979,2288,2.7,2.7,2.7
LGA17200,32,32,34,2518,2499,2700,888,953,1241,470,570,550,2274,2524,3057,1.1,1.2,1.1,1639,1926,2212,1.9,2,1.9
LGA17310,39,40,39,1428,1500,1517,516,633,755,210,270,300,1181,1446,1821,0.8,0.8,0.7,958,1180,1416,2.5,2.5,2.4
LGA17350,44,46,47,1083,1148,1100,418,546,656,145,180,230,978,1329,1623,0.8,0.8,0.7,782,1033,1203,2.4,2.4,2.3
LGA17400,48,53,55,1083,1079,1083,377,454,490,160,190,240,865,1015,1206,0.8,0.7,0.7,690,767,885,2.3,2.1,2.1
LGA17420,37,38,38,2600,2500,3000,737,827,1033,462,570,580,2257,2464,2990,0.8,0.8,0.8,2124,2363,2831,3.1,3.2,3.1
LGA17550,45,47,47,1733,1733,1872,442,539,658,300,340,400,1045,1332,1663,0.8,0.8,0.8,845,1064,1296,2.4,2.4,2.4
LGA17620,39,41,42,1600,1688,1560,552,630,751,195,240,270,1391,1589,1914,0.8,0.8,0.7,1071,1242,1429,2.4,2.4,2.4
LGA17640,46,48,49,1417,1400,1540,492,609,753,175,220,277,1197,1498,1906,0.7,0.7,0.7,946,1161,1465,2.4,2.4,2.4
LGA17650,42,46,47,1278,1346,1333,480,552,677,170,210,250,1138,1342,1708,0.8,0.8,0.7,934,1058,1346,2.5,2.4,2.4
LGA17750,34,35,35,1525,1517,1517,586,696,839,230,270,300,1419,1682,2060,0.8,0.8,0.7,1149,1354,1638,2.5,2.5,2.5
LGA17850,45,48,50,1040,1083,1056,457,577,690,135,175,200,1081,1329,1583,0.7,0.7,0.7,835,1054,1224,2.3,2.3,2.2
LGA17900,41,43,44,850,750,858,386,464,556,120,150,180,955,1039,1362,0.9,0.9,0.8,703,806,1001,2.3,2.3,2.2
LGA17950,42,43,45,867,899,1045,496,649,744,125,150,200,1117,1468,1743,0.7,0.7,0.7,890,1104,1321,2.4,2.4,2.4
LGA18020,45,49,50,901,923,922,379,479,559,130,173,200,867,1103,1387,0.8,0.7,0.7,692,878,1068,2.4,2.3,2.3
LGA18050,35,35,35,3000,3000,3500,973,1151,1442,500,630,670,2494,2917,3709,1,1,1,1912,2308,2854,2.3,2.4,2.3
LGA18100,47,51,52,900,910,953,384,492,575,120,150,198,879,1193,1398,0.7,0.7,0.7,720,904,1046,2.3,2.2,2.2
LGA18200,41,44,43,1192,1200,1300,474,555,717,150,175,200,1087,1308,1765,0.8,0.8,0.8,887,1052,1392,2.5,2.4,2.5
LGA18250,37,37,39,2900,2877,3299,858,946,1145,500,590,571,2478,2671,3235,1,1,1,1997,2271,2556,2.6,2.7,2.6
LGA18350,45,47,48,1842,1842,2167,548,645,794,270,350,430,1347,1639,2096,0.7,0.7,0.7,1094,1335,1673,2.5,2.4,2.4
LGA18400,36,37,37,2141,2167,2363,617,738,877,280,375,415,1661,2032,2350,0.8,0.8,0.8,1478,1871,2151,3,3,3
LGA18450,38,39,39,1950,1950,2167,489,584,754,250,330,390,1426,1710,2151,0.9,0.8,0.8,1101,1339,1682,2.5,2.6,2.5
LGA18500,38,39,41,3200,3200,3900,1146,1365,1619,550,669,695,2833,3626,4561,0.9,0.9,0.9,2395,2687,3192,2.3,2.3,2.3
LGA18710,40,42,43,2000,2000,2167,755,869,1050,250,300,350,1916,2214,2701,0.8,0.8,0.8,1621,1879,2289,2.7,2.7,2.7
LGA19399,43,41,45,816,1083,1300,562,717,900,100,150,263,1136,1427,1927,0.8,0.8,0.8,946,1270,1638,2.4,2.5,2.5
LGA19499,37,39,39,0,0,0,349,405,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,64,58,56,0,0,0,490,540,1649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,48,49,49,1300,1300,1473,462,562,731,180,210,275,1074,1322,1769,0.7,0.7,0.7,830,1002,1340,2.3,2.2,2.3
LGA20260,45,46,46,1040,1022,1083,479,556,685,160,200,245,1059,1263,1651,0.8,0.7,0.7,843,991,1252,2.3,2.3,2.2
LGA20570,37,38,39,1311,1350,1477,512,590,743,205,250,297,1271,1489,1871,0.8,0.8,0.7,988,1160,1429,2.4,2.4,2.4
LGA20660,39,39,40,1900,1950,2167,618,728,915,300,350,399,1730,2033,2521,0.8,0.8,0.8,1394,1655,2027,2.6,2.6,2.5
LGA20740,46,50,51,1300,1315,1500,472,507,626,230,250,300,1070,1192,1485,0.7,0.7,0.7,856,922,1163,2.2,2.2,2.2
LGA20830,40,42,41,1404,1465,1600,511,585,726,210,260,320,1273,1462,1874,0.8,0.8,0.7,1025,1196,1495,2.5,2.5,2.5
LGA20910,42,44,45,2486,2500,3000,758,897,1098,400,461,520,2427,2765,3361,0.8,0.8,0.8,1826,2145,2487,2.6,2.6,2.5
LGA21010,46,49,51,1200,1192,1300,465,537,654,175,200,250,1070,1232,1548,0.7,0.7,0.7,830,946,1192,2.3,2.2,2.2
LGA21110,38,38,40,2400,2500,3000,772,869,1071,370,414,451,2505,2652,3186,0.9,0.9,0.9,1893,2083,2376,2.6,2.6,2.5
LGA21180,35,35,37,1600,1599,1700,429,487,611,270,300,346,1195,1358,1674,0.9,0.9,0.9,1106,1263,1506,2.9,3,2.9
LGA21270,48,51,52,716,693,734,405,473,618,110,140,158,959,1110,1468,0.7,0.7,0.7,741,839,1088,2.3,2.2,2.2
LGA21370,42,45,47,1300,1300,1300,469,561,668,180,210,250,1098,1349,1630,0.8,0.8,0.7,886,1081,1264,2.4,2.4,2.4
LGA21450,34,34,34,1733,1733,1868,592,680,831,285,320,361,1479,1700,2097,0.8,0.8,0.8,1302,1497,1874,2.8,2.8,2.8
LGA21610,33,34,34,1733,1733,1950,572,640,783,297,340,380,1450,1655,2045,0.9,0.9,0.9,1342,1554,1918,3,3.1,3.1
LGA21670,48,50,52,867,975,1018,381,452,503,160,200,235,862,1001,1260,0.8,0.7,0.7,685,775,904,2.2,2.2,2.1
LGA21750,42,45,45,1249,1300,1300,497,574,704,180,220,265,1161,1362,1721,0.8,0.8,0.7,914,1057,1277,2.4,2.3,2.3
LGA21830,43,46,48,1083,1083,1083,480,542,689,150,190,225,1147,1301,1669,0.8,0.7,0.7,911,1043,1263,2.5,2.4,2.3
LGA21890,36,36,37,1900,1950,2080,534,650,879,300,340,381,1439,1784,2369,0.9,0.9,0.9,1177,1423,1829,2.5,2.5,2.4
LGA22110,47,50,52,1257,1293,1300,436,506,603,185,230,268,990,1192,1417,0.8,0.7,0.7,798,935,1110,2.3,2.2,2.2
LGA22170,37,38,39,1647,1621,1800,568,660,805,266,310,356,1396,1649,2098,0.8,0.8,0.8,1140,1331,1653,2.5,2.5,2.5
LGA22250,47,49,51,986,977,1000,422,498,590,135,160,195,966,1188,1417,0.7,0.7,0.7,763,908,1071,2.3,2.2,2.2
LGA22310,37,37,38,2149,2143,2400,679,780,1021,340,395,436,1925,2248,2806,0.9,0.9,0.9,1445,1741,2133,2.5,2.5,2.5
LGA22410,43,47,49,1170,1083,1083,463,536,640,170,192,220,1175,1362,1599,0.8,0.7,0.7,900,1043,1214,2.3,2.3,2.2
LGA22490,39,39,39,1500,1550,1733,538,628,783,220,277,338,1386,1630,2125,0.8,0.8,0.8,1215,1448,1899,2.8,2.8,2.9
LGA22620,38,39,40,1300,1387,1417,513,604,739,205,255,295,1245,1452,1865,0.8,0.8,0.7,991,1184,1448,2.5,2.4,2.4
LGA22670,35,35,36,1517,1600,1785,396,475,618,254,300,346,1050,1260,1605,1,1,1,953,1168,1453,2.8,2.9,2.9
LGA22750,39,40,39,1517,1517,1733,517,600,769,240,285,346,1341,1576,2051,0.8,0.8,0.8,1049,1244,1592,2.4,2.4,2.4
LGA22830,38,39,39,1300,1300,1300,510,588,712,190,220,260,1207,1417,1759,0.8,0.8,0.8,980,1163,1400,2.5,2.5,2.5
LGA22910,46,50,52,1213,1300,1421,451,532,666,200,250,295,1069,1287,1697,0.8,0.8,0.7,846,996,1281,2.3,2.2,2.2
LGA22980,47,50,50,761,780,750,439,497,644,130,150,180,987,1217,1569,0.8,0.7,0.7,786,907,1159,2.3,2.2,2.2
LGA23110,38,38,39,1788,1900,2167,582,704,913,284,330,380,1567,1921,2453,0.9,0.9,0.8,1286,1567,1972,2.6,2.6,2.5
LGA23190,40,42,41,1192,1200,1200,530,617,772,170,200,240,1206,1408,1850,0.8,0.7,0.7,946,1110,1381,2.4,2.3,2.3
LGA23270,33,33,33,1706,1650,1806,477,529,665,288,321,369,1309,1473,1852,0.9,0.9,0.9,1214,1379,1703,3.1,3.1,3.1
LGA23350,44,46,47,1387,1400,1517,540,641,777,190,225,275,1327,1540,1954,0.8,0.8,0.7,1063,1265,1511,2.5,2.4,2.4
LGA23430,39,40,41,1950,1993,2167,598,704,878,300,360,402,1625,1938,2406,0.8,0.9,0.8,1292,1537,1914,2.5,2.5,2.5
LGA23670,38,39,40,1733,1733,2000,598,664,797,305,356,400,1610,1820,2194,0.8,0.8,0.8,1401,1561,1884,2.8,2.7,2.7
LGA23810,39,41,42,1200,1200,1213,468,544,654,165,200,236,1237,1415,1679,0.8,0.8,0.7,943,1078,1260,2.4,2.3,2.3
LGA23940,50,51,52,758,809,867,378,467,554,115,150,170,881,1116,1394,0.8,0.8,0.8,688,826,1039,2.2,2.2,2.2
LGA24130,41,42,43,1733,1733,2000,593,702,865,250,320,390,1659,1932,2403,0.8,0.8,0.8,1397,1638,2059,2.7,2.7,2.7
LGA24210,42,43,43,2000,2050,2400,572,629,756,369,420,462,1713,1895,2252,0.8,0.8,0.8,1467,1642,1920,2.8,2.8,2.7
LGA24250,45,48,49,1300,1352,1500,487,580,716,190,260,320,1140,1338,1705,0.7,0.7,0.7,890,1062,1325,2.3,2.3,2.3
LGA24330,34,33,35,2000,2000,2100,577,703,965,280,331,376,1525,1913,2494,1,1,0.9,1258,1551,1998,2.5,2.5,2.4
LGA24410,38,38,39,1733,1800,2000,611,696,851,290,341,385,1615,1895,2306,0.8,0.8,0.8,1308,1544,1867,2.6,2.6,2.6
LGA24600,28,28,30,2167,2000,1963,711,642,959,400,450,396,1962,2062,2368,1.1,1.1,1,1352,1354,1678,2,2,1.8
LGA24650,32,33,33,1733,1704,1800,610,658,786,270,301,360,1486,1683,2051,0.9,0.9,0.8,1363,1542,1887,3,3,3.1
LGA24780,39,40,40,1262,1200,1283,463,555,694,175,220,265,1093,1340,1700,0.8,0.8,0.8,879,1064,1341,2.5,2.4,2.4
LGA24850,37,37,36,1588,1582,1733,547,648,789,210,270,328,1368,1620,2012,0.8,0.8,0.8,1170,1391,1719,2.7,2.7,2.7
LGA24900,44,47,48,1200,1235,1300,437,524,629,170,200,250,1000,1283,1505,0.8,0.8,0.7,827,1014,1192,2.4,2.4,2.3
LGA24970,38,37,38,2000,2000,2383,520,569,754,350,396,436,1549,1809,2223,0.8,0.9,0.8,1321,1512,1901,2.7,2.7,2.7
LGA25060,38,38,39,2000,2000,2188,628,744,954,300,350,386,1777,2098,2625,0.9,0.9,0.9,1376,1635,2011,2.5,2.5,2.4
LGA25150,39,40,39,1517,1559,1733,540,635,802,210,265,330,1410,1670,2127,0.8,0.8,0.8,1184,1391,1785,2.7,2.7,2.6
LGA25250,35,34,35,1950,1950,2034,551,680,921,312,360,400,1452,1843,2403,0.9,0.9,0.9,1215,1503,1943,2.5,2.5,2.4
LGA25340,43,46,48,1733,1733,1989,538,630,761,265,320,380,1351,1621,2054,0.8,0.8,0.7,1054,1276,1555,2.4,2.4,2.4
LGA25430,47,49,51,1200,1300,1432,460,550,674,200,260,300,1077,1311,1702,0.8,0.8,0.7,837,1002,1252,2.3,2.2,2.2
LGA25490,41,43,45,1300,1300,1452,531,620,767,180,210,250,1274,1486,1916,0.8,0.8,0.7,1043,1225,1530,2.6,2.5,2.5
LGA25620,45,48,50,1400,1400,1517,473,553,673,180,230,270,1158,1388,1713,0.8,0.8,0.7,918,1071,1287,2.4,2.3,2.3
LGA25710,39,41,42,1950,2000,2200,699,784,962,323,380,440,2071,2307,2772,0.9,0.8,0.8,1871,2098,2476,3,3,2.9
LGA25810,45,48,49,910,953,975,447,513,653,145,175,200,1054,1257,1496,0.8,0.7,0.7,818,931,1124,2.3,2.2,2.2
LGA25900,35,36,38,2200,2167,2169,985,1087,1289,366,400,420,2371,2559,3052,1,1,0.9,1672,1842,2069,2,2,1.9
LGA25990,48,50,50,953,1066,1083,388,472,579,140,190,210,909,1148,1419,0.8,0.7,0.7,729,876,1101,2.3,2.3,2.2
LGA26080,55,60,62,1500,1623,2025,576,671,834,250,300,370,1403,1571,1960,0.7,0.7,0.6,1017,1173,1509,2.1,2.1,2
LGA26170,44,47,49,1300,1300,1408,481,537,655,190,225,260,1148,1320,1651,0.8,0.7,0.7,920,1039,1266,2.4,2.4,2.3
LGA26260,43,46,47,1083,1082,1083,503,576,699,150,190,220,1192,1370,1684,0.7,0.7,0.7,908,1043,1261,2.3,2.3,2.2
LGA26350,35,35,37,2400,2200,2500,902,1042,1294,360,400,421,2464,2680,3299,0.9,1,0.9,1722,1944,2210,2.2,2.2,2.1
LGA26430,50,52,53,1100,1170,1300,457,546,653,168,200,260,1024,1293,1580,0.8,0.7,0.7,841,962,1188,2.2,2.2,2.2
LGA26490,40,42,42,1800,1842,2145,601,722,941,300,375,461,1515,1876,2441,0.8,0.8,0.8,1276,1571,2088,2.6,2.6,2.6
LGA26610,39,40,39,1142,1130,1157,480,580,715,165,196,225,1088,1358,1721,0.8,0.8,0.8,885,1094,1379,2.5,2.4,2.5
LGA26670,47,50,52,1083,1083,1200,458,535,689,150,170,210,1052,1340,1658,0.7,0.7,0.7,852,1043,1282,2.3,2.2,2.2
LGA26700,43,45,45,1300,1300,1350,498,595,727,180,220,260,1170,1386,1771,0.8,0.7,0.7,912,1085,1326,2.4,2.3,2.3
LGA26730,38,40,42,1495,1430,1430,532,618,759,230,250,295,1297,1503,1891,0.8,0.8,0.7,1026,1182,1420,2.4,2.4,2.3
LGA26810,41,43,44,1213,1300,1300,479,562,658,180,220,260,1169,1409,1661,0.8,0.7,0.7,906,1101,1272,2.4,2.3,2.3
LGA26890,46,48,51,650,657,739,485,555,702,100,115,140,1042,1302,1651,0.7,0.7,0.7,816,987,1207,2.3,2.2,2.2
LGA26980,39,38,39,1960,2000,2231,561,619,778,326,380,411,1682,1916,2300,0.8,0.9,0.8,1317,1507,1841,2.6,2.6,2.6
