LGA_CODE_2021,C21_AP_75_79_NCB_4,C21_AP_75_79_NCB_5,C21_AP_75_79_NCB_6mor,C21_AP_75_79_NCB_NS,C21_AP_75_79_Tot,C21_AP_80_84_NCB_0,C21_AP_80_84_NCB_1,C21_AP_80_84_NCB_2,C21_AP_80_84_NCB_3,C21_AP_80_84_NCB_4,C21_AP_80_84_NCB_5,C21_AP_80_84_NCB_6mor,C21_AP_80_84_NCB_NS,C21_AP_80_84_Tot,C21_AP_85over_N_c_b_0,C21_AP_85over_N_c_b_1,C21_AP_85over_N_c_b_2,C21_AP_85over_N_c_b_3,C21_AP_85over_N_c_b_4,C21_AP_85over_N_c_b_5,C21_AP_85over_N_c_b_6mor,C21_AP_85over_N_c_b_NS,C21_AP_85over_Tot,C21_AP_Tot_NCB_0,C21_AP_Tot_NCB_1,C21_AP_Tot_NCB_2,C21_AP_Tot_NCB_3,C21_AP_Tot_NCB_4,C21_AP_Tot_NCB_5,C21_AP_Tot_N_ch_b_6mor,C21_AP_Tot_NCB_NS,C21_AP_Tot_Tot
LGA11800,204,66,30,175,1776,97,82,340,328,201,68,51,147,1310,81,84,275,302,198,93,70,305,1402,8407,3775,9390,6012,2432,772,479,2583,33851
LGA12000,14,4,13,9,98,4,4,16,12,15,5,3,11,74,10,3,5,14,14,13,11,11,75,407,141,372,383,212,78,71,128,1793
LGA12150,6,8,4,15,62,0,3,7,18,10,0,0,13,54,4,6,14,3,11,3,5,8,55,316,142,294,260,144,52,57,237,1502
LGA12160,46,22,9,36,307,26,13,54,53,42,29,15,38,258,12,12,46,42,36,29,31,27,230,950,404,1212,1003,452,200,130,446,4799
LGA12350,42,17,15,31,310,22,15,49,59,38,14,17,39,254,10,22,41,61,50,20,13,30,247,1147,533,1276,1054,518,174,142,497,5344
LGA12380,324,143,144,226,2590,131,143,500,422,271,125,172,192,1963,135,165,426,349,263,154,223,333,2047,29569,12855,20274,10675,5404,2286,2045,8001,91112
LGA12390,147,57,35,103,965,48,31,143,181,142,49,46,97,739,38,44,122,134,121,70,80,110,722,5589,2309,5232,3872,1900,598,466,2183,22146
LGA12700,19,4,0,11,181,9,9,37,32,24,11,0,8,136,7,6,24,27,21,5,11,16,112,917,369,1151,793,329,83,42,218,3911
LGA12730,31,14,9,21,188,0,4,39,35,33,18,8,29,175,21,4,31,42,31,17,13,23,175,784,271,904,731,327,110,70,390,3596
LGA12750,145,37,23,114,1244,48,43,211,209,113,42,25,101,794,71,56,212,209,139,63,49,119,915,3792,1831,5319,3302,1434,421,269,1598,17964
LGA12850,422,182,309,277,2964,136,154,475,458,287,182,398,292,2383,107,154,443,367,293,203,568,550,2690,26986,9034,20135,12936,6183,2658,2920,6696,87551
LGA12870,60,20,15,44,372,32,14,53,76,56,20,15,44,302,13,14,32,63,49,25,33,38,264,1078,507,1498,1146,534,164,121,461,5505
LGA12900,35,19,3,23,211,12,7,31,34,23,12,18,26,163,4,6,23,39,33,22,15,31,174,791,314,870,787,384,147,84,385,3767
LGA12930,196,61,42,198,2504,119,172,749,405,196,66,52,203,1959,150,225,667,466,261,133,107,601,2610,22284,10589,17573,7481,2411,694,441,4084,65558
LGA12950,20,6,0,14,92,8,5,16,23,15,4,7,13,88,4,7,14,17,8,7,0,13,72,334,150,408,378,186,61,34,223,1778
LGA13010,34,14,4,40,269,12,7,42,42,28,9,3,15,168,10,4,56,48,27,12,18,26,188,809,362,947,750,351,112,84,438,3839
LGA13310,103,36,14,47,667,38,24,123,110,57,32,22,43,448,44,45,128,113,65,28,33,57,508,3343,1470,3487,2295,999,328,206,987,13120
LGA13340,28,15,3,23,210,13,0,24,31,19,11,6,21,132,11,7,21,28,23,21,9,21,134,956,343,1054,914,439,158,107,447,4416
LGA13450,69,17,22,39,399,14,13,80,93,68,26,14,49,362,13,16,79,95,68,35,37,96,429,2742,1135,2594,2001,927,267,210,1036,10917
LGA13550,44,11,12,44,256,9,13,36,54,36,18,19,35,220,8,8,33,43,30,11,22,52,207,1106,462,1227,1018,490,137,117,537,5096
LGA13660,27,10,9,17,137,12,3,24,20,14,7,6,8,97,10,5,17,18,21,5,16,12,105,390,135,542,454,201,72,47,204,2041
LGA13800,129,44,34,103,1128,59,53,203,186,99,45,36,86,763,64,56,183,140,93,46,50,136,766,7765,3054,7454,4891,1939,532,348,1588,27572
LGA13850,7,5,8,10,82,3,0,15,15,17,3,7,11,67,0,0,7,9,6,7,7,4,45,225,118,293,228,102,32,48,159,1205
LGA13910,71,28,30,49,432,17,10,78,63,58,29,35,35,323,32,16,45,58,55,27,49,44,328,1767,760,1833,1581,811,314,251,716,8033
LGA14000,249,54,39,128,2710,157,136,641,550,264,70,50,206,2073,201,206,636,590,364,125,77,489,2700,18271,9625,20346,8995,2791,618,358,2586,63592
LGA14100,28,5,5,30,312,27,17,54,54,20,3,14,48,233,66,25,79,63,43,16,20,192,507,1740,694,1648,887,284,79,57,486,5870
LGA14170,197,52,40,168,2472,204,175,646,376,164,70,51,156,1843,194,234,643,401,226,109,112,280,2192,39134,11260,16826,5972,1766,529,404,4708,80601
LGA14220,59,17,12,55,422,21,19,71,90,67,25,11,36,337,26,16,44,50,68,31,26,49,295,1582,670,1800,1437,685,258,171,779,7390
LGA14300,17,8,5,14,114,0,0,13,17,13,6,8,10,69,5,0,5,25,13,11,3,13,81,461,191,553,461,253,97,50,180,2236
LGA14350,84,25,18,82,746,22,20,127,110,90,35,23,71,488,39,36,101,99,94,45,32,72,525,2708,1317,3275,2369,1122,422,266,1264,12745
LGA14400,61,21,8,55,613,41,19,125,105,51,18,11,31,402,40,51,103,110,66,31,11,82,494,2398,948,3213,2025,639,167,73,575,10036
LGA14500,195,52,27,83,2510,142,133,641,583,231,74,28,112,1938,204,190,681,622,339,100,87,262,2479,14664,7514,17538,8223,2166,477,246,1694,52508
LGA14550,37,6,0,19,194,11,7,15,36,34,24,12,14,150,8,3,20,21,22,18,16,36,140,856,385,912,740,400,138,95,437,3967
LGA14600,22,5,0,17,117,8,4,13,24,27,3,5,18,95,11,12,17,17,17,19,13,22,126,448,199,496,480,269,118,60,344,2418
LGA14650,534,137,86,367,4976,231,213,990,906,474,176,114,371,3487,235,287,934,924,571,230,201,532,3909,22680,10039,28346,16431,5876,1630,1012,4682,90692
LGA14700,45,5,0,29,587,51,34,125,86,47,19,5,23,395,43,33,116,90,51,24,14,106,489,6753,2560,4164,1786,467,107,51,774,16661
LGA14750,25,13,9,26,212,17,10,43,27,33,21,15,26,177,10,12,29,37,31,17,24,23,182,1157,400,1078,841,430,144,105,450,4608
LGA14850,106,32,25,78,820,57,32,142,130,115,50,36,58,615,47,35,122,137,121,57,56,104,687,5054,2112,4848,3108,1419,440,303,1629,18917
LGA14870,53,20,19,63,527,29,19,76,86,49,20,17,38,332,42,20,82,75,50,26,20,34,339,2080,883,2339,1584,667,227,170,702,8650
LGA14900,300,141,176,246,2493,68,118,437,373,228,110,196,221,1750,78,112,328,312,187,119,263,371,1770,27315,10577,23330,13582,6079,2452,2066,6883,92294
LGA14920,20,12,7,27,193,4,5,22,34,18,4,8,24,123,6,4,24,17,22,10,10,20,112,609,290,762,621,253,108,72,431,3138
LGA14950,13,3,5,9,74,3,0,6,12,11,5,8,4,52,0,4,12,12,22,8,8,11,70,248,96,283,286,179,62,48,122,1327
LGA15050,200,51,45,107,1442,77,41,243,220,131,62,52,87,912,70,64,206,205,150,63,72,140,962,10132,4275,10576,6471,2413,739,548,1773,36923
LGA15240,372,104,51,333,3221,142,122,552,494,329,111,84,284,2121,172,139,502,482,331,137,102,468,2333,8576,4073,12284,8462,3648,1099,673,3754,42566
LGA15270,82,21,12,59,566,27,20,74,78,62,17,15,50,349,32,25,62,70,57,43,25,57,370,2323,1038,2702,1989,889,270,168,917,10293
LGA15300,24,11,7,33,196,8,3,16,26,25,10,14,38,137,7,7,11,20,20,10,12,24,111,1081,419,1017,807,389,144,115,1139,5109
LGA15350,46,15,0,43,772,83,34,149,114,45,20,3,35,487,89,45,142,140,62,14,21,55,570,4986,1637,3457,1769,438,109,47,572,13010
LGA15520,49,23,8,46,367,13,5,53,54,40,20,10,35,245,14,15,30,37,39,24,17,55,229,1044,441,1520,1180,455,168,79,495,5384
LGA15560,7,3,0,10,55,0,3,8,8,12,4,9,8,48,0,0,3,9,7,3,7,9,44,269,118,290,287,149,48,38,152,1345
LGA15650,35,9,12,22,234,9,3,30,34,39,10,3,17,145,10,9,24,31,34,14,11,26,165,1520,595,1627,1233,543,165,143,500,6324
LGA15700,75,17,17,51,598,36,29,101,90,68,20,16,40,399,43,32,93,92,74,34,11,47,429,1880,937,2394,1665,792,247,158,789,8873
LGA15750,41,7,9,29,235,8,3,33,45,42,19,15,15,176,8,8,32,29,38,16,26,28,184,1103,401,1264,974,465,153,109,601,5067
LGA15800,21,6,6,19,150,6,4,11,22,20,6,4,11,83,6,6,27,21,24,12,10,16,127,429,193,559,483,257,81,60,246,2313
LGA15850,29,9,5,20,131,3,5,16,25,14,11,3,26,99,4,0,11,23,10,13,3,29,93,488,191,596,481,248,103,55,376,2520
LGA15900,269,83,51,229,2821,172,122,595,522,264,100,80,263,2122,185,231,682,574,330,191,119,581,2883,26447,8405,18552,9778,3215,1031,619,4571,72624
LGA15950,87,23,8,85,1278,175,70,242,157,67,19,10,85,831,135,64,171,149,86,29,19,110,755,16640,4473,6147,2367,671,130,74,1695,32198
LGA15990,479,102,46,301,5297,260,294,1301,924,385,141,52,289,3644,314,360,1201,1077,524,223,146,648,4499,35858,13348,34313,16354,4453,1022,458,5152,110961
LGA16100,17,3,4,18,136,3,0,15,15,19,0,5,8,76,0,4,12,17,4,6,13,10,64,445,206,553,417,199,53,54,264,2190
LGA16150,107,36,20,66,796,45,28,140,153,86,36,35,61,585,43,34,129,140,104,50,40,107,645,4865,1930,4585,3173,1358,449,290,1233,17878
LGA16200,48,13,11,25,295,15,9,45,77,40,21,16,34,247,18,5,54,58,47,30,32,40,283,1273,511,1390,1162,591,218,165,482,5792
LGA16260,289,96,71,195,3112,151,189,748,560,246,125,79,201,2301,153,191,601,533,313,137,158,309,2397,38325,19140,26479,10090,3329,1027,694,6179,105266
LGA16350,341,128,104,255,2593,96,122,394,390,234,131,128,244,1739,74,120,348,266,211,147,162,410,1750,25192,10770,23202,13517,5503,1895,1363,6271,87711
LGA16380,282,73,61,177,2771,156,114,479,483,247,97,58,183,1811,188,159,490,433,289,122,118,254,2044,9441,4115,11454,7108,2789,840,457,2237,38436
LGA16400,233,59,27,206,2107,83,82,370,303,154,63,37,129,1226,64,79,231,253,174,69,57,195,1117,7153,3245,9845,6076,2395,691,395,2116,31914
LGA16490,95,32,17,64,793,44,38,135,118,81,32,25,38,511,21,41,100,104,80,39,28,48,453,8017,3277,6938,3774,1388,375,220,1504,25495
LGA16550,170,49,27,195,2150,187,169,505,358,156,41,37,165,1623,225,206,487,330,178,70,71,477,2041,25875,7485,13703,5569,1583,376,252,3918,58759
LGA16610,85,29,19,81,571,20,19,69,84,69,38,27,56,380,20,24,60,88,81,35,53,86,455,2059,866,2419,1880,934,332,230,1074,9788
LGA16700,153,61,19,118,1735,138,125,473,359,179,65,49,140,1526,179,144,448,395,224,106,96,322,1915,22463,9032,13849,5317,1594,450,279,2954,55936
LGA16900,172,53,25,109,1370,56,53,283,256,147,64,32,136,1022,36,54,217,203,145,61,52,198,964,8240,3454,9663,5702,2101,679,353,1794,31983
LGA16950,338,95,60,251,2979,144,133,552,521,292,112,55,197,1996,132,134,511,514,298,122,116,252,2085,10504,5000,13382,8793,3625,1087,612,3375,46375
LGA17000,63,16,13,24,324,7,4,37,54,45,18,12,12,186,15,15,27,52,42,32,24,11,214,2322,1005,2578,1773,770,224,165,600,9446
LGA17040,47,19,10,31,382,22,11,80,66,42,13,19,29,277,20,12,55,62,48,25,28,36,279,2549,876,2354,1381,565,186,122,795,8818
LGA17080,44,31,16,50,332,7,11,46,52,34,17,20,27,213,15,11,52,48,39,35,33,28,251,1247,545,1569,1192,554,212,142,547,6024
LGA17100,37,29,13,34,496,36,46,125,97,41,24,32,35,427,46,50,115,80,64,37,45,53,492,7930,2907,4069,1731,599,236,173,1254,18896
LGA17150,406,111,48,284,4466,178,223,996,837,401,106,64,251,3061,249,275,1063,922,468,175,129,710,3989,28941,11320,30301,16049,4658,1086,504,4251,97105
LGA17200,113,40,25,180,1758,172,147,348,219,101,26,32,171,1216,134,140,300,190,88,55,49,230,1193,59657,10529,10022,3381,1041,323,269,7989,93203
LGA17310,176,65,31,112,1276,60,52,229,242,164,59,59,140,1004,71,52,180,212,142,97,81,138,978,6475,2698,6763,4791,2080,705,487,2109,26112
LGA17350,27,9,6,16,153,3,3,23,25,34,9,10,21,134,10,11,19,34,28,14,13,21,152,507,206,608,511,339,103,79,192,2544
LGA17400,18,9,7,29,186,17,7,29,27,11,13,5,10,123,8,10,16,29,14,12,12,13,123,613,286,725,589,259,96,81,347,2993
LGA17420,310,76,44,116,2771,85,137,563,486,209,92,47,97,1714,100,146,464,373,214,83,108,163,1651,21713,10822,26046,11693,3409,845,496,2508,77526
LGA17550,268,80,53,252,2597,152,120,518,460,241,94,68,266,1917,178,171,452,459,302,130,119,505,2319,10563,4953,12132,7283,2854,856,522,3663,42828
LGA17620,41,11,6,24,277,17,10,50,58,31,13,11,28,217,18,20,42,49,31,18,26,43,244,1455,551,1498,1174,483,170,86,440,5857
LGA17640,29,9,8,19,201,15,9,23,28,18,3,0,13,118,16,8,21,31,22,13,13,16,132,811,336,881,680,349,94,64,326,3528
LGA17650,18,12,3,14,118,9,10,12,25,13,0,3,6,80,8,0,16,20,6,7,6,8,81,622,256,677,467,221,73,53,202,2561
LGA17750,176,66,45,88,1080,50,32,186,204,148,66,75,83,842,60,60,172,198,169,81,99,153,993,8324,2782,6585,4801,2204,782,613,1881,27974
LGA17850,12,3,4,13,92,3,4,18,20,5,5,0,11,77,4,0,13,18,5,3,3,9,51,216,109,341,289,103,37,16,137,1247
LGA17900,11,9,4,21,91,8,0,5,14,4,7,3,20,66,4,5,5,5,4,0,5,13,40,410,163,371,284,156,62,57,596,2101
LGA17950,12,3,4,8,60,7,0,8,6,6,0,4,12,48,4,0,5,8,13,3,4,27,64,211,88,224,196,116,36,35,137,1037
LGA18020,34,10,9,47,248,13,7,33,28,33,17,16,30,164,4,9,26,45,34,19,17,45,203,705,304,868,737,396,154,116,602,3872
LGA18050,56,9,0,95,884,91,84,202,137,52,13,12,118,705,72,111,227,145,58,9,25,224,864,14661,3662,6106,2549,600,106,107,2278,30069
LGA18100,17,5,0,12,111,0,0,10,12,17,3,0,9,65,8,5,12,16,15,7,7,4,75,308,115,332,343,174,46,40,126,1488
LGA18200,21,6,3,15,131,0,7,19,14,17,5,3,14,83,0,5,12,18,21,10,8,15,84,601,241,743,531,244,76,59,409,2912
LGA18250,94,26,14,64,1138,102,64,278,207,97,25,4,47,832,142,103,314,262,160,82,56,130,1240,11699,5397,9007,3465,913,229,108,1401,32219
LGA18350,166,38,35,120,1651,129,79,276,289,134,44,31,118,1093,94,70,241,198,122,52,39,200,1014,6108,2578,6541,4125,1558,435,257,1461,23064
LGA18400,77,28,16,63,741,27,26,113,144,64,30,26,72,500,19,22,95,81,46,25,19,137,449,5588,2138,6083,4064,1505,438,254,1225,21308
LGA18450,451,151,69,304,4059,189,233,914,860,383,157,98,322,3157,164,218,979,872,402,223,143,588,3581,27765,9865,25703,14467,5072,1558,960,5220,90609
LGA18500,77,15,10,78,1264,122,81,256,211,74,23,11,116,894,105,81,225,202,88,22,22,298,1042,10393,2954,5731,2903,757,146,81,1605,24566
LGA18710,37,12,3,19,291,11,13,51,50,20,11,8,21,188,9,9,59,46,36,10,17,26,211,1912,742,2011,1314,486,156,89,399,7101
LGA19399,0,0,0,3,18,0,0,5,4,3,0,0,0,9,0,0,0,4,0,0,0,0,9,106,34,103,82,19,9,8,43,408
LGA19499,11,3,0,17,66,5,0,5,7,4,0,0,12,39,3,0,3,7,5,0,6,13,32,1342,373,647,366,165,69,56,1357,4381
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,47,9,10,44,364,23,9,51,58,29,17,10,35,222,16,17,46,46,36,20,13,44,239,1478,552,1584,1030,377,117,68,496,5699
LGA20260,34,18,18,25,278,17,11,43,39,26,14,14,21,188,21,5,31,44,47,27,16,24,222,1148,409,1202,911,412,141,112,405,4741
LGA20570,317,127,96,205,2207,122,66,331,348,245,114,115,170,1512,158,104,311,351,307,160,181,276,1848,14632,5303,12284,8007,3319,1139,840,3127,48643
LGA20660,242,77,44,105,2406,132,131,519,489,259,71,78,117,1792,147,172,579,523,287,125,124,169,2121,17705,6781,16116,7561,2338,619,471,2273,53856
LGA20740,132,39,32,137,1167,42,33,156,187,118,37,24,77,687,47,52,146,164,105,54,43,106,706,4076,1825,5171,3467,1330,363,209,1511,17951
LGA20830,167,67,37,93,1219,38,30,167,213,133,63,46,91,785,35,41,134,191,152,69,90,100,817,6198,2395,6293,4672,1944,633,419,1676,24236
LGA20910,179,46,16,143,2290,159,122,517,365,165,55,47,125,1547,200,187,595,511,259,97,76,273,2201,13488,5391,14404,6613,1694,377,212,2045,44233
LGA21010,51,28,9,49,406,24,11,61,75,53,27,13,56,324,28,15,54,78,45,26,32,72,345,1493,610,1686,1206,499,194,121,644,6459
LGA21110,257,66,42,161,3151,305,150,728,605,239,77,62,144,2330,416,210,806,686,433,164,133,287,3143,27933,8822,20832,9950,2666,617,350,3068,74237
LGA21180,331,138,141,254,2992,93,145,590,456,307,139,168,189,2078,102,161,531,468,262,147,275,336,2271,24706,9885,21432,11565,4378,1550,1432,5921,80858
LGA21270,29,11,11,15,145,7,7,21,34,23,13,12,20,136,9,10,13,32,25,21,22,47,182,476,195,520,582,297,113,92,271,2543
LGA21370,136,51,32,115,948,39,24,129,155,123,64,55,99,681,32,25,104,154,114,76,90,174,766,3619,1390,4198,3315,1515,515,362,1460,16383
LGA21450,185,57,40,135,1521,49,50,221,225,130,67,52,118,912,44,63,169,196,151,62,55,160,902,13552,5940,12920,7345,2750,844,601,2923,46867
LGA21610,460,175,137,267,3708,108,178,682,642,387,157,168,224,2536,127,225,554,586,379,219,246,315,2646,41439,19914,40656,19910,7533,2828,2316,8247,142834
LGA21670,51,19,13,54,415,20,18,63,68,54,23,17,36,295,23,24,60,56,42,30,21,40,294,1262,582,1483,1106,542,221,122,547,5867
LGA21750,76,30,25,50,482,21,11,81,95,43,39,29,38,359,29,22,61,93,68,36,52,55,415,2407,880,2245,1756,885,309,202,730,9412
LGA21830,76,23,22,40,404,26,12,50,64,51,42,23,44,309,12,17,40,58,56,32,34,63,307,1524,521,1533,1375,722,273,169,588,6705
LGA21890,211,72,85,169,2182,108,140,643,515,228,69,78,184,1956,113,173,652,525,281,131,150,392,2406,29119,7911,14502,6436,2087,653,597,4237,65528
LGA22110,181,57,29,153,1477,77,45,227,241,130,57,40,112,929,45,64,163,183,144,59,55,161,877,4693,2113,5921,4002,1691,502,315,1947,21189
LGA22170,277,82,44,210,2379,93,111,439,382,226,93,61,183,1585,109,145,429,410,245,114,106,354,1913,17497,7726,16495,8647,3016,896,564,3772,58620
LGA22250,50,23,9,30,310,12,8,45,48,45,29,15,36,236,11,6,27,40,62,18,27,36,234,839,336,1050,1047,533,172,114,435,4526
LGA22310,158,45,17,134,2252,169,171,660,433,167,57,29,147,1831,209,274,775,594,245,109,90,282,2577,24434,8635,17624,7305,1876,527,453,3147,64003
LGA22410,72,28,12,50,456,14,13,73,76,58,24,29,36,325,13,15,71,76,70,41,44,52,375,1851,876,2438,1623,709,250,167,681,8590
LGA22490,43,13,14,28,294,7,10,34,44,28,16,19,12,166,9,15,35,26,34,13,13,17,161,2385,947,2817,1818,693,202,139,579,9589
LGA22620,338,109,88,210,2279,116,93,344,388,284,123,110,224,1688,107,102,345,364,303,131,173,359,1886,14376,5497,13101,8963,3809,1238,878,3709,51561
LGA22670,288,116,109,199,2459,94,134,533,416,237,114,138,161,1826,104,164,491,417,269,134,271,204,2061,20717,9328,16094,8057,3239,1321,1220,4592,64563
LGA22750,658,189,126,438,5322,217,200,959,995,601,222,193,396,3795,252,318,930,967,639,290,284,550,4228,35589,12841,31386,18754,6968,2033,1341,7027,115941
LGA22830,234,69,54,164,1271,47,34,173,257,150,82,62,133,947,54,51,177,210,174,89,94,143,1004,7049,2788,7011,5073,2215,774,645,2507,28064
LGA22910,38,12,10,42,400,19,20,53,53,27,27,14,51,257,24,14,46,46,39,19,29,61,284,2098,799,1794,1182,456,150,120,706,7309
LGA22980,31,8,8,18,161,8,7,24,32,20,13,9,17,122,20,7,29,32,15,10,10,39,165,549,208,599,484,226,81,48,225,2417
LGA23110,161,48,36,101,1420,61,90,303,294,159,43,50,92,1094,74,111,386,309,146,71,76,146,1322,12803,5251,10650,4927,1612,504,426,2183,38359
LGA23190,88,28,8,40,435,21,14,67,89,76,25,24,41,346,27,19,66,96,77,38,30,47,401,2202,801,2202,1689,743,231,145,583,8603
LGA23270,356,138,177,194,2557,64,95,363,405,240,122,174,154,1615,59,99,332,299,208,118,219,154,1481,28856,11579,24321,13994,6069,2282,2188,6112,95401
LGA23350,44,10,19,35,354,22,14,51,43,31,28,13,22,225,24,19,41,44,48,29,22,21,251,1768,767,2043,1378,555,191,113,491,7297
LGA23430,286,93,58,200,3046,180,161,709,539,280,89,79,199,2241,181,235,738,633,355,153,155,322,2773,21943,9435,20570,9039,2772,759,462,3218,68202
LGA23670,334,93,51,182,2799,117,132,631,484,296,110,74,209,2050,123,167,512,493,300,124,141,338,2203,20222,9158,20984,9950,3323,883,536,3060,68114
LGA23810,207,95,60,166,1532,44,46,245,294,187,75,78,175,1145,50,64,210,240,186,104,108,239,1193,8099,3309,8683,5751,2522,869,659,2994,32889
LGA23940,28,10,13,25,178,8,0,19,29,19,13,9,29,120,7,7,27,35,27,11,19,44,180,663,268,697,648,352,111,86,428,3251
LGA24130,103,46,33,80,945,44,41,114,140,71,48,16,41,517,25,43,118,107,86,32,43,90,531,5637,2275,6359,3648,1264,366,210,1329,21092
