LGA_CODE_2021,C11_P_FoodHos_PS_15_19,C11_P_FoodHos_PS_20_24,C11_P_FoodHos_PS_25_34,C11_P_FoodHos_PS_35_44,C11_P_FoodHos_PS_45_54,C11_P_FoodHos_PS_55_64,C11_P_FoodHos_PS_65_74,C11_P_FoodHos_PS_75_84,C11_P_FoodHos_PS_85over,C11_P_FoodHos_PS_Tot,C11_P_MixFld_pr_15_19,C11_P_MixFld_pr_20_24,C11_P_MixFld_pr_25_34,C11_P_MixFld_pr_35_44,C11_P_MixFld_pr_45_54,C11_P_MixFld_pr_55_64,C11_P_MixFld_pr_65_74,C11_P_MixFld_pr_75_84,C11_P_MixFld_pr_85over,C11_P_MixFld_pr_Tot,C11_P_FldStu_ID_15_19,C11_P_FldStu_ID_20_24,C11_P_FldStu_ID_25_34,C11_P_FldStu_ID_35_44,C11_P_FldStu_ID_45_54,C11_P_FldStu_ID_55_64,C11_P_FldStu_ID_65_74,C11_P_FldStu_ID_75_84,C11_P_FldStu_ID_85over,C11_P_FldStu_ID_Tot,C11_P_FldStu_NS_15_19,C11_P_FldStu_NS_20_24,C11_P_FldStu_NS_25_34,C11_P_FldStu_NS_35_44,C11_P_FldStu_NS_45_54,C11_P_FldStu_NS_55_64,C11_P_FldStu_NS_65_74,C11_P_FldStu_NS_75_84,C11_P_FldStu_NS_85over,C11_P_FldStu_NS_Tot,C11_P_Tot_15_19,C11_P_Tot_20_24,C11_P_Tot_25_34,C11_P_Tot_35_44,C11_P_Tot_45_54,C11_P_Tot_55_64,C11_P_Tot_65_74,C11_P_Tot_75_84,C11_P_Tot_85over,C11_P_Tot_Tot,C16_P_NatPhy_sci_15_19,C16_P_NatPhy_sci_20_24,C16_P_NatPhy_sci_25_34,C16_P_NatPhy_sci_35_44,C16_P_NatPhy_sci_45_54,C16_P_NatPhy_sci_55_64,C16_P_NatPhy_sci_65_74,C16_P_NatPhy_sci_75_84,C16_P_NatPhy_sci_85over,C16_P_NatPhy_sci_Tot,C16_P_InfTec_15_19,C16_P_InfTec_20_24,C16_P_InfTec_25_34,C16_P_InfTec_35_44,C16_P_InfTec_45_54,C16_P_InfTec_55_64,C16_P_InfTec_65_74,C16_P_InfTec_75_84,C16_P_InfTec_85over,C16_P_InfTec_Tot,C16_P_EngRT_15_19,C16_P_EngRT_20_24,C16_P_EngRT_25_34,C16_P_EngRT_35_44,C16_P_EngRT_45_54,C16_P_EngRT_55_64,C16_P_EngRT_65_74,C16_P_EngRT_75_84,C16_P_EngRT_85over,C16_P_EngRT_Tot,C16_P_ArchBuild_15_19,C16_P_ArchBuild_20_24,C16_P_ArchBuild_25_34,C16_P_ArchBuild_35_44,C16_P_ArchBuild_45_54,C16_P_ArchBuild_55_64,C16_P_ArchBuild_65_74,C16_P_ArchBuild_75_84,C16_P_ArchBuild_85over,C16_P_ArchBuild_Tot,C16_P_AgEnv_RS_15_19,C16_P_AgEnv_RS_20_24,C16_P_AgEnv_RS_25_34,C16_P_AgEnv_RS_35_44,C16_P_AgEnv_RS_45_54,C16_P_AgEnv_RS_55_64,C16_P_AgEnv_RS_65_74,C16_P_AgEnv_RS_75_84,C16_P_AgEnv_RS_85over,C16_P_AgEnv_RS_Tot,C16_P_Health_15_19,C16_P_Health_20_24,C16_P_Health_25_34,C16_P_Health_35_44,C16_P_Health_45_54,C16_P_Health_55_64,C16_P_Health_65_74,C16_P_Health_75_84,C16_P_Health_85over,C16_P_Health_Tot,C16_P_Educ_15_19,C16_P_Educ_20_24,C16_P_Educ_25_34,C16_P_Educ_35_44,C16_P_Educ_45_54,C16_P_Educ_55_64,C16_P_Educ_65_74,C16_P_Educ_75_84,C16_P_Educ_85over,C16_P_Educ_Tot,C16_P_MngtCom_15_19,C16_P_MngtCom_20_24,C16_P_MngtCom_25_34,C16_P_MngtCom_35_44,C16_P_MngtCom_45_54,C16_P_MngtCom_55_64,C16_P_MngtCom_65_74,C16_P_MngtCom_75_84,C16_P_MngtCom_85over,C16_P_MngtCom_Tot,C16_P_Soc_cult_15_19,C16_P_Soc_cult_20_24,C16_P_Soc_cult_25_34,C16_P_Soc_cult_35_44,C16_P_Soc_cult_45_54,C16_P_Soc_cult_55_64,C16_P_Soc_cult_65_74,C16_P_Soc_cult_75_84,C16_P_Soc_cult_85over,C16_P_Soc_cult_Tot,C16_P_Creative_art_15_19,C16_P_Creative_art_20_24,C16_P_Creative_art_25_34,C16_P_Creative_art_35_44,C16_P_Creative_art_45_54,C16_P_Creative_art_55_64,C16_P_Creative_art_65_74,C16_P_Creative_art_75_84,C16_P_Creative_art_85over,C16_P_Creative_art_Tot,C16_P_FoodHos_PS_15_19,C16_P_FoodHos_PS_20_24,C16_P_FoodHos_PS_25_34,C16_P_FoodHos_PS_35_44,C16_P_FoodHos_PS_45_54,C16_P_FoodHos_PS_55_64,C16_P_FoodHos_PS_65_74,C16_P_FoodHos_PS_75_84,C16_P_FoodHos_PS_85over,C16_P_FoodHos_PS_Tot,C16_P_MixFld_pr_15_19,C16_P_MixFld_pr_20_24,C16_P_MixFld_pr_25_34,C16_P_MixFld_pr_35_44,C16_P_MixFld_pr_45_54,C16_P_MixFld_pr_55_64,C16_P_MixFld_pr_65_74,C16_P_MixFld_pr_75_84,C16_P_MixFld_pr_85over,C16_P_MixFld_pr_Tot,C16_P_FldStu_ID_15_19,C16_P_FldStu_ID_20_24,C16_P_FldStu_ID_25_34,C16_P_FldStu_ID_35_44,C16_P_FldStu_ID_45_54,C16_P_FldStu_ID_55_64,C16_P_FldStu_ID_65_74,C16_P_FldStu_ID_75_84,C16_P_FldStu_ID_85over,C16_P_FldStu_ID_Tot,C16_P_FldStu_NS_15_19,C16_P_FldStu_NS_20_24,C16_P_FldStu_NS_25_34,C16_P_FldStu_NS_35_44,C16_P_FldStu_NS_45_54,C16_P_FldStu_NS_55_64,C16_P_FldStu_NS_65_74,C16_P_FldStu_NS_75_84,C16_P_FldStu_NS_85over,C16_P_FldStu_NS_Tot,C16_P_Tot_15_19,C16_P_Tot_20_24,C16_P_Tot_25_34,C16_P_Tot_35_44,C16_P_Tot_45_54,C16_P_Tot_55_64,C16_P_Tot_65_74,C16_P_Tot_75_84,C16_P_Tot_85over,C16_P_Tot_Tot
LGA19499,20,41,94,48,37,21,15,0,0,288,0,0,0,0,0,4,0,0,0,11,3,4,26,24,10,10,7,0,0,87,144,223,586,625,602,406,239,91,58,2983,217,694,1939,1417,1272,1019,564,140,73,7320,0,20,56,18,14,20,8,5,0,139,5,15,55,41,13,10,0,0,0,145,8,71,202,112,125,149,124,19,0,805,6,28,78,67,49,62,50,5,0,339,3,12,36,25,15,21,7,0,0,123,5,34,129,64,64,79,54,10,4,431,0,12,47,29,43,58,36,3,0,238,12,111,256,136,120,107,68,10,0,825,3,82,159,83,82,94,64,9,0,581,0,32,104,50,44,18,15,0,0,266,10,49,83,52,33,33,20,0,0,276,7,9,6,4,0,4,0,0,0,25,0,9,18,8,16,10,9,0,0,74,130,319,797,706,668,481,266,92,26,3476,176,805,2020,1397,1277,1143,722,153,39,7737
LGA19799,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,0,18,0,0,0,6,10,12,16,15,0,63,0,0,0,4,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,3,17,3,0,35,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,19,0,0,0,0,4,3,8,0,0,18,0,0,10,0,3,4,8,4,0,28,0,0,0,0,0,6,3,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,6,5,6,10,18,18,0,68,3,7,30,17,25,41,62,23,3,214
LGA20110,12,42,70,99,100,54,23,15,4,413,0,0,0,0,0,0,0,0,0,3,0,5,6,10,16,11,6,8,0,55,70,30,57,82,116,143,145,140,48,830,112,206,595,953,1126,1120,679,376,101,5267,0,6,26,23,24,31,31,3,0,143,4,3,3,16,16,21,8,0,0,68,14,35,92,144,191,218,180,80,26,985,3,32,55,77,77,95,48,23,6,413,4,17,44,53,71,68,30,11,3,303,5,22,75,102,157,163,95,38,11,660,0,10,48,99,92,158,133,44,16,607,4,18,93,155,152,160,97,36,13,735,6,21,78,102,99,133,85,21,5,547,0,8,25,47,28,27,16,12,3,170,0,24,71,98,78,63,32,9,9,382,0,0,0,0,0,0,5,3,4,11,0,5,0,6,13,16,7,3,0,57,67,40,92,126,201,220,193,148,84,1178,111,231,713,1061,1204,1368,968,435,178,6265
LGA20260,6,24,55,58,41,33,23,6,3,244,4,0,0,0,0,0,0,0,0,8,0,3,7,15,7,6,9,0,0,49,66,49,151,170,204,176,176,171,63,1230,107,227,690,848,946,872,543,313,108,4646,0,4,17,16,12,9,6,0,0,71,0,5,10,10,3,5,3,0,0,35,3,28,99,86,108,140,116,41,11,632,6,10,41,37,41,48,28,18,5,237,0,25,50,89,66,68,37,19,4,357,4,17,73,60,143,144,106,33,20,596,0,8,63,52,60,120,103,29,14,452,13,30,91,88,117,79,53,16,6,486,0,37,74,115,136,124,66,12,0,564,0,12,14,22,14,10,14,0,0,84,6,20,57,53,48,34,27,15,0,264,0,0,0,0,0,4,0,0,0,11,0,4,13,11,14,10,0,0,0,48,73,78,276,329,249,244,195,168,57,1674,109,269,879,977,1001,1042,763,356,116,5525
LGA20570,100,334,638,478,329,237,113,47,13,2300,6,17,9,5,3,3,0,5,0,53,6,29,124,115,83,73,31,14,10,488,643,518,658,736,861,924,983,1090,633,7049,1120,3393,8078,7755,7305,5909,3540,2232,934,40274,0,92,192,228,163,142,94,29,6,949,16,77,405,291,171,99,35,7,0,1107,41,328,1032,942,1115,994,809,406,123,5791,46,325,808,544,436,375,249,129,41,2950,14,83,222,206,206,124,91,56,10,1018,35,332,1267,1085,1114,1060,620,279,91,5891,15,204,871,895,824,973,784,310,83,4963,66,553,1618,1754,1513,991,482,181,56,7218,100,501,1189,1219,1065,901,496,127,19,5609,65,261,405,347,226,185,108,41,12,1648,82,357,771,518,392,278,156,74,24,2648,3,13,17,6,17,13,20,11,4,112,5,30,110,170,140,93,60,25,13,631,563,581,954,886,952,967,1044,891,495,7327,1054,3729,9861,9097,8333,7201,5045,2574,986,47870
LGA20660,72,283,628,550,359,222,132,62,23,2336,7,13,8,4,6,9,4,5,3,70,9,66,175,223,172,123,53,43,11,882,547,483,821,812,885,852,949,1099,819,7266,955,3987,12445,12686,10791,8755,4978,2964,1412,58974,6,225,588,683,539,513,304,104,30,2985,17,101,704,891,452,245,82,3,0,2498,35,299,1392,1582,1522,1365,1258,671,241,8367,29,250,839,701,647,461,325,192,66,3501,9,66,176,226,156,102,54,20,3,810,31,361,1657,1592,1261,1167,684,286,109,7145,8,140,939,1054,1077,1324,888,290,90,5806,58,654,2816,3182,2462,1662,984,347,137,12302,69,515,1627,1855,1560,1370,727,238,55,8011,25,370,863,747,472,266,139,74,17,2970,57,271,606,478,443,277,174,84,37,2432,0,12,14,15,15,15,30,14,9,137,6,69,205,250,225,153,85,39,15,1048,376,353,954,905,915,828,875,824,641,6663,735,3679,13377,14161,11747,9738,6604,3176,1460,64675
LGA20740,23,82,199,171,131,105,61,28,3,800,0,0,0,0,0,0,0,5,0,5,3,11,20,37,32,27,23,9,4,163,165,107,206,305,314,362,432,500,242,2646,238,606,1928,2307,2243,2431,1920,1165,399,13240,0,4,31,65,42,58,60,12,9,281,0,9,38,35,29,34,27,4,0,161,10,53,240,273,373,476,514,291,88,2314,9,62,232,233,243,318,194,94,36,1421,5,21,87,125,105,68,57,15,3,486,12,43,218,216,313,330,282,107,46,1560,9,27,182,227,224,368,364,133,24,1549,5,57,311,337,337,347,327,114,54,1892,17,69,232,290,300,378,279,71,20,1662,8,17,68,65,76,89,70,21,8,416,13,78,237,182,175,140,103,33,3,957,0,0,0,0,7,6,8,6,4,41,0,5,14,35,45,47,33,14,4,195,193,105,247,291,424,479,591,461,261,3058,271,553,2134,2371,2689,3133,2905,1378,565,15999
LGA20830,47,119,258,217,171,143,74,27,3,1064,0,0,0,0,0,4,7,0,0,15,0,8,20,49,48,49,23,11,3,209,292,145,229,321,392,415,428,417,235,2875,496,1182,3075,3351,3646,3212,1891,948,338,18132,0,22,70,78,65,77,49,17,3,382,8,23,66,72,59,51,27,0,0,299,30,183,601,589,784,712,602,259,61,3827,31,161,396,271,280,221,148,81,22,1614,11,58,213,236,211,138,75,22,16,981,13,120,419,381,431,486,321,112,37,2309,0,52,320,362,376,547,391,143,23,2212,16,169,625,633,560,447,322,86,35,2891,37,187,447,460,531,470,282,77,10,2501,15,37,115,116,86,72,54,12,8,503,35,146,292,232,199,143,133,49,11,1232,0,4,0,0,3,5,10,9,5,51,0,7,36,53,60,52,43,15,11,281,295,213,380,445,575,616,608,440,190,3765,497,1389,3980,3922,4219,4038,3063,1327,419,22851
LGA20910,34,129,256,336,290,184,141,64,29,1459,4,4,10,7,4,5,3,6,3,33,4,58,106,214,189,128,66,26,25,814,461,283,456,748,852,712,691,914,862,5971,639,2145,5777,11073,11258,8204,4917,2994,1796,48792,0,138,231,432,570,463,293,105,51,2288,4,58,231,534,522,283,77,9,0,1715,3,108,498,761,1197,1010,857,533,275,5240,16,162,437,454,569,426,260,110,55,2493,5,35,67,121,141,88,53,25,7,541,18,159,732,985,1337,1091,699,387,232,5624,8,65,382,607,1000,1248,886,381,120,4692,30,487,1752,3438,3765,2216,1376,516,267,13843,34,290,833,1429,1676,1354,846,313,102,6867,22,251,537,591,550,329,189,87,53,2607,32,134,288,298,347,211,173,72,42,1600,7,6,5,11,5,6,3,13,6,58,0,61,111,233,264,150,99,39,37,992,328,283,556,747,925,762,658,549,574,5383,499,2240,6651,10618,12853,9657,6468,3136,1812,53936
LGA21010,20,44,71,78,53,43,19,10,4,344,0,0,0,0,0,0,0,0,0,3,0,0,5,3,20,6,3,9,3,55,85,32,56,83,118,136,142,165,81,889,169,277,734,884,1144,1148,672,405,161,5590,0,0,12,21,13,28,18,7,0,99,0,7,7,11,11,11,5,0,0,50,8,48,147,150,204,210,197,95,36,1105,10,26,63,56,56,89,51,20,9,389,9,15,62,57,72,76,52,30,8,371,4,32,93,107,124,172,104,50,23,714,0,12,69,62,97,148,125,53,15,587,17,41,109,119,152,123,90,31,6,690,9,42,95,104,140,154,78,19,6,650,0,10,23,9,18,17,13,0,0,101,11,41,77,67,53,44,37,10,16,358,0,0,0,0,0,4,10,0,0,13,5,5,6,4,13,12,9,4,5,62,102,73,119,139,212,254,252,180,82,1404,167,356,880,909,1168,1353,1038,509,216,6596
LGA21110,61,307,645,488,378,227,132,80,30,2356,15,19,14,10,7,7,4,4,11,102,3,173,333,355,362,255,127,71,28,1709,781,732,1321,1023,1122,921,832,936,894,8568,1150,6213,17519,17869,18842,13883,7435,4376,2451,89743,4,470,843,801,1041,881,542,217,114,4922,20,277,1223,1166,978,485,132,19,0,4306,26,499,1734,1308,1805,1440,1118,636,306,8876,20,284,811,596,681,483,328,159,67,3427,0,70,235,141,197,139,65,39,20,906,15,528,2185,2203,2510,2126,1380,876,420,12252,15,153,957,898,1400,1772,1439,609,253,7505,73,1508,5261,5662,5898,3442,1875,691,415,24817,46,767,2401,2463,2774,2328,1596,587,244,13205,66,756,1545,878,715,474,273,140,65,4906,76,271,632,445,452,220,191,63,50,2397,22,35,18,12,14,19,14,19,3,159,10,149,275,339,398,286,162,75,31,1730,551,671,1444,1168,1247,1014,913,750,631,8384,940,6446,19570,18092,20102,15113,10020,4880,2631,97791
LGA21180,119,803,1691,823,556,365,107,49,11,4519,12,20,35,22,22,18,7,15,4,140,11,96,337,222,166,115,51,15,3,1007,1601,1560,3049,2521,2394,2240,1811,1319,603,17107,2225,7148,19144,14214,10959,8248,4110,2194,807,69047,7,341,648,496,345,212,78,22,3,2155,24,319,1440,1105,436,195,35,3,0,3573,72,704,2390,2260,2375,2286,1462,545,165,12252,73,408,983,715,578,392,270,130,30,3592,3,45,148,136,101,81,33,6,3,555,33,568,1630,1079,820,562,263,96,35,5090,23,308,987,842,818,699,434,118,26,4260,144,1546,5201,3729,2168,1433,595,125,47,14995,124,847,2351,1946,1560,1043,366,61,16,8320,35,362,800,471,258,128,53,16,10,2124,104,540,1781,1071,725,407,212,57,16,4918,37,35,58,33,45,57,74,45,14,389,12,101,369,272,214,160,100,36,11,1272,1056,1253,2637,2090,1945,1848,1724,1104,576,14232,1747,7382,21426,16250,12398,9496,5701,2369,939,77717
LGA21270,0,14,28,32,22,29,3,9,0,130,0,0,0,0,0,0,0,3,0,6,0,4,5,3,0,10,0,0,0,20,41,16,24,36,45,80,109,95,44,488,56,122,300,397,480,413,268,177,74,2276,0,0,0,6,8,10,0,0,0,25,0,0,4,0,4,5,0,0,0,21,0,26,45,42,74,55,54,28,12,323,0,3,26,17,21,29,19,5,0,134,3,21,40,48,67,57,23,7,4,264,0,12,41,45,66,76,32,31,11,306,0,6,40,32,50,69,34,17,7,261,0,5,46,50,50,50,14,8,7,230,0,5,26,38,38,38,22,7,0,168,0,0,13,5,6,3,5,0,3,39,10,3,21,32,27,24,11,5,4,144,0,0,0,4,0,0,0,0,0,9,0,0,6,0,0,7,4,0,0,20,31,18,58,45,96,140,117,109,86,701,51,103,357,366,505,565,341,222,142,2642
LGA21370,57,131,184,217,149,119,70,25,7,951,0,3,9,4,0,0,0,0,0,16,0,11,19,34,29,28,15,4,0,145,258,115,201,308,392,398,485,511,276,2940,431,886,2066,2678,2692,2169,1496,951,392,13761,0,3,29,59,44,32,11,8,5,196,10,9,30,32,13,16,6,0,0,120,28,149,397,415,524,493,387,185,58,2635,11,71,191,154,188,183,110,51,22,989,23,59,187,219,222,158,76,30,10,975,15,74,313,295,344,363,192,98,35,1725,11,39,216,205,226,270,206,98,22,1291,15,86,331,386,360,263,160,57,23,1684,20,88,258,294,334,322,157,33,12,1527,0,31,43,50,26,35,24,13,0,223,37,133,246,185,179,165,100,33,18,1094,3,0,3,0,0,5,17,9,9,43,3,3,16,35,22,29,18,8,0,140,289,160,302,389,469,518,576,535,292,3523,451,912,2576,2731,2958,2848,2031,1151,499,16150
LGA21450,80,287,504,473,283,171,79,25,4,1905,3,4,10,5,8,3,0,4,0,35,3,18,82,106,74,45,21,9,4,366,522,281,566,655,698,582,562,436,181,4485,929,2455,6585,6760,5693,3962,2278,974,320,29964,3,67,236,208,161,112,68,16,3,871,16,56,323,356,155,63,33,4,0,1008,49,357,1365,1433,1634,1186,742,335,91,7191,58,388,1004,700,539,376,211,113,16,3404,10,74,270,303,213,111,62,20,3,1075,30,266,904,780,723,551,315,108,34,3711,14,138,737,735,591,582,343,97,16,3246,53,478,1781,1774,1277,738,431,107,38,6678,87,481,1258,1175,895,620,285,54,21,4864,28,142,376,233,129,116,59,21,7,1110,91,301,861,555,410,226,149,42,13,2654,3,0,10,9,11,8,16,19,0,81,4,34,127,150,96,62,36,13,6,520,554,443,893,936,971,779,662,470,242,5952,1001,3225,10134,9350,7804,5535,3413,1409,489,42374
LGA21610,257,795,1715,1446,964,543,232,59,11,6028,22,25,30,21,23,23,9,9,0,165,17,71,330,371,314,177,63,35,9,1384,1800,1188,2236,2580,2464,2015,1652,1403,643,15987,3148,8009,23992,23910,18512,11555,5629,2938,981,98672,7,351,922,939,572,355,158,51,13,3367,48,356,1886,2202,728,290,69,6,0,5576,174,1070,3953,5033,5010,3765,2091,887,220,22193,191,880,2081,1496,1326,947,493,240,56,7705,38,139,462,418,303,157,80,34,7,1631,77,813,2908,2602,2019,1320,626,235,63,10665,43,453,1788,1888,1497,1242,635,271,58,7866,231,1666,7204,6991,4674,2720,1139,394,96,25115,290,1509,3747,3865,2962,1826,631,151,29,15010,105,472,1066,741,389,218,116,37,14,3153,208,833,2350,1728,1219,677,337,110,30,7478,37,30,56,27,34,45,36,31,10,308,14,106,437,525,411,242,108,56,16,1914,1433,1450,2957,2734,2612,2157,1729,1274,723,17069,2891,10108,31804,31190,23752,15949,8243,3782,1333,129050
LGA21670,16,37,62,52,47,42,22,13,0,292,0,0,0,0,0,0,0,0,0,7,4,3,10,7,10,5,6,0,0,50,97,27,71,112,147,158,228,210,88,1135,132,246,529,741,903,926,706,395,142,4719,0,3,10,15,12,12,8,3,0,56,0,0,10,13,15,11,4,0,0,50,3,45,99,139,207,209,207,90,32,1022,0,20,44,31,42,65,55,38,3,308,5,9,40,36,47,31,24,7,0,201,5,22,50,49,110,132,103,38,14,520,3,13,61,51,54,89,105,27,4,413,3,35,98,100,88,99,54,26,12,504,15,31,75,105,145,102,75,9,10,564,5,8,6,15,17,12,14,0,0,83,12,39,76,61,52,58,29,12,3,341,0,0,0,5,0,0,8,6,3,28,0,0,12,12,16,18,20,0,0,77,89,48,82,122,178,189,262,193,91,1252,128,275,662,759,982,1025,965,454,173,5424
LGA21750,27,72,130,110,80,76,16,10,4,521,0,0,0,0,0,0,5,0,0,8,0,3,13,18,23,11,12,0,0,91,136,63,132,160,212,235,233,260,133,1553,235,518,1256,1411,1581,1494,822,493,184,7997,0,10,18,31,21,29,27,5,0,147,0,3,24,15,13,16,8,0,0,82,10,75,228,211,248,270,186,80,23,1326,6,54,127,101,101,108,77,28,8,615,7,39,112,135,105,92,43,13,3,552,0,48,144,136,185,213,142,57,13,948,0,21,104,109,118,220,180,55,13,817,14,72,212,224,186,182,96,27,15,1032,18,64,154,171,262,249,118,25,12,1078,6,17,55,40,27,38,28,5,3,226,16,50,165,118,110,67,46,17,4,589,0,0,4,7,0,3,5,4,0,23,0,6,14,24,32,23,13,11,3,125,140,92,196,188,271,287,294,234,125,1828,226,562,1559,1513,1677,1793,1260,567,222,9382
LGA21830,21,33,76,94,59,35,27,8,0,353,0,0,0,0,0,0,0,0,0,0,0,3,15,23,12,14,7,3,0,75,115,39,74,104,164,179,221,206,91,1190,187,337,914,1186,1222,959,635,385,126,5944,0,3,15,34,14,18,11,0,0,94,0,5,8,5,12,5,4,0,0,42,9,78,146,152,227,168,121,43,20,965,3,38,73,46,62,67,38,27,7,351,8,44,108,167,157,99,49,21,6,656,3,32,108,107,136,177,87,38,15,706,0,14,85,87,116,161,103,45,11,619,0,30,93,137,121,101,63,21,10,582,9,45,77,111,140,123,66,17,4,582,4,6,19,9,20,19,16,4,0,97,11,49,89,87,55,47,30,10,11,389,0,0,0,0,0,0,3,0,0,6,0,4,3,18,14,15,7,6,0,72,129,77,131,156,245,237,262,219,94,1551,186,417,960,1113,1331,1227,851,459,174,6722
LGA21890,60,556,1209,665,399,193,89,43,21,3244,6,21,16,14,7,7,5,5,0,93,9,96,452,350,206,98,36,31,8,1289,666,1001,2085,1738,1411,1211,1275,1342,725,11457,1023,5629,20164,16496,10505,6033,2989,2244,1101,66188,6,326,1050,899,605,326,125,28,13,3384,7,217,1344,976,516,173,33,3,6,3272,38,459,1959,1549,1392,1019,647,417,165,7652,42,222,1032,852,593,338,176,131,38,3428,6,68,295,288,178,108,34,11,7,983,26,495,2179,1554,1120,688,252,124,45,6476,16,204,1242,1195,1155,945,410,157,45,5362,81,1152,4642,3595,2351,1106,385,120,64,13493,72,760,3105,2871,2093,1328,508,97,36,10862,37,597,2485,1735,870,329,100,31,21,6215,58,353,1146,750,522,239,145,62,28,3295,9,38,45,11,25,22,29,34,15,225,17,107,450,412,307,147,67,24,17,1542,604,906,2444,1814,1506,1136,1031,1075,841,11361,1015,5907,23411,18509,13234,7911,3941,2303,1324,77554
LGA22110,34,128,236,241,182,163,99,34,3,1128,0,0,3,3,0,0,0,0,0,13,0,9,29,38,40,42,33,7,7,208,286,128,240,319,385,524,630,544,234,3283,424,830,2214,2813,3272,3669,2687,1342,436,17695,0,5,42,54,40,59,65,16,12,284,0,16,43,38,32,34,18,0,3,190,28,138,351,384,587,673,820,362,95,3434,9,84,226,225,251,316,253,141,33,1536,12,43,146,175,181,155,110,38,9,862,14,75,302,300,408,539,385,173,58,2261,6,51,222,235,279,522,499,142,33,2003,16,114,336,391,397,426,399,140,52,2260,31,105,249,333,428,493,281,67,8,2007,6,38,63,79,74,77,82,25,8,449,16,114,271,255,218,211,170,47,13,1319,5,0,0,3,5,8,20,17,14,63,0,6,31,43,50,63,50,17,5,271,342,203,386,444,626,753,937,693,414,4802,492,994,2672,2955,3587,4329,4086,1886,744,21746
LGA22170,139,449,888,776,495,365,173,77,16,3375,9,7,9,3,20,6,0,9,0,68,14,45,139,160,150,117,44,25,13,694,881,619,1155,1358,1438,1229,1225,1208,668,9778,1492,4098,11464,11459,9995,7662,4548,2650,1112,54480,5,116,260,289,245,182,99,33,17,1237,14,103,353,512,272,160,56,11,0,1486,76,359,1624,1829,2070,1886,1272,637,204,9959,64,420,1328,983,822,611,381,207,58,4862,17,112,320,279,226,108,40,20,13,1124,22,361,1467,1279,1134,984,495,209,68,6021,18,242,1040,970,891,855,619,212,70,4908,92,644,2341,2561,2062,1472,815,296,118,10397,127,670,1705,1664,1520,1102,510,137,35,7467,34,220,599,489,279,196,130,48,21,2015,104,433,1011,824,603,414,304,81,33,3802,5,16,18,13,17,20,26,31,7,160,7,42,150,200,191,133,59,41,14,837,652,690,1447,1422,1469,1288,1205,1050,643,9864,1244,4432,13655,13316,11796,9404,6000,3013,1285,64149
LGA22250,5,17,46,52,41,38,27,8,0,232,0,0,0,0,0,0,0,0,0,0,0,0,8,12,4,9,5,0,0,36,75,28,56,92,118,143,158,171,95,945,121,166,538,637,682,671,462,285,132,3706,0,0,7,7,7,9,9,5,0,34,0,0,5,4,4,5,0,0,0,26,10,46,95,92,130,151,114,34,8,673,4,18,45,36,29,49,41,15,3,240,7,22,64,79,91,46,24,12,0,336,0,23,63,70,89,87,70,29,5,442,0,12,46,50,65,87,73,28,4,364,0,35,85,96,81,80,40,15,8,437,4,33,42,62,74,96,37,10,0,350,0,7,15,12,9,0,5,3,0,55,10,20,45,57,50,45,30,14,0,272,0,0,0,0,0,0,0,6,0,15,0,0,0,11,8,10,3,8,0,39,67,58,77,102,118,171,195,182,62,1036,108,261,595,675,761,821,638,344,103,4314
LGA22310,54,342,855,601,432,280,133,69,32,2792,9,12,10,4,10,4,7,13,10,70,0,105,278,372,245,170,65,40,13,1294,571,571,1311,1086,1017,950,887,1132,1006,8536,869,4613,16654,16260,13069,9512,4576,3293,1904,70755,4,279,730,752,691,502,277,103,42,3388,10,249,1520,1411,849,403,88,12,8,4546,14,376,1653,1418,1608,1421,1007,625,338,8452,24,193,841,624,554,437,249,129,57,3112,3,51,167,159,133,81,33,22,5,648,20,343,1750,1551,1430,1141,626,385,165,7408,12,142,914,1047,1323,1429,930,317,115,6233,73,1343,5212,4829,3749,2124,1126,380,250,19080,65,615,2236,2369,2021,1593,916,253,99,10167,49,502,1251,985,678,432,195,87,50,4231,52,239,858,604,539,275,204,89,44,2907,18,22,11,12,15,22,18,18,10,138,8,86,265,345,329,184,107,49,30,1408,390,558,1416,1139,1040,882,720,680,564,7385,741,4997,18822,17232,14959,10930,6499,3141,1773,79097
