LGA_CODE_2021,C11_Neg_Ni_inc_R1_74,C11_Neg_Ni_inc_R75_99,C11_Neg_Ni_inc_R100_149,C11_Neg_Ni_inc_R150_199,C11_Neg_Ni_inc_R200_224,C11_Neg_Ni_inc_R225_274,C11_Neg_Ni_inc_R275_349,C11_Neg_Ni_inc_R350_449,C11_Neg_Ni_inc_R450_549,C11_Neg_Ni_inc_R550_649,C11_Neg_Ni_inc_R650more,C11_Neg_Ni_inc_R_NS,C11_Neg_Ni_inc_R_Tot,C11_1_149_R1_74,C11_1_149_R75_99,C11_1_149_R100_149,C11_1_149_R150_199,C11_1_149_R200_224,C11_1_149_R225_274,C11_1_149_R275_349,C11_1_149_R350_449,C11_1_149_R450_549,C11_1_149_R550_649,C11_1_149_R650more,C11_1_149_R_NS,C11_1_149_R_Tot,C11_150_299_R1_74,C11_150_299_R75_99,C11_150_299_R100_149,C11_150_299_R150_199,C11_150_299_R200_224,C11_150_299_R225_274,C11_150_299_R275_349,C11_150_299_R350_449,C11_150_299_R450_549,C11_150_299_R550_649,C11_150_299_R650more,C11_150_299_R_NS,C11_150_299_R_Tot,C11_300_399_R1_74,C11_300_399_R75_99,C11_300_399_R100_149,C11_300_399_R150_199,C11_300_399_R200_224,C11_300_399_R225_274,C11_300_399_R275_349,C11_300_399_R350_449,C11_300_399_R450_549,C11_300_399_R550_649,C11_300_399_R650more,C11_300_399_R_NS,C11_300_399_R_Tot,C11_400_499_R1_74,C11_400_499_R75_99,C11_400_499_R100_149,C11_400_499_R150_199,C11_400_499_R200_224,C11_400_499_R225_274,C11_400_499_R275_349,C11_400_499_R350_449,C11_400_499_R450_549,C11_400_499_R550_649,C11_400_499_R650more,C11_400_499_R_NS,C11_400_499_R_Tot,C11_500_649_R1_74,C11_500_649_R75_99,C11_500_649_R100_149,C11_500_649_R150_199,C11_500_649_R200_224,C11_500_649_R225_274,C11_500_649_R275_349,C11_500_649_R350_449,C11_500_649_R450_549,C11_500_649_R550_649,C11_500_649_R650more,C11_500_649_R_NS,C11_500_649_R_Tot,C11_650_799_R1_74,C11_650_799_R75_99,C11_650_799_R100_149,C11_650_799_R150_199,C11_650_799_R200_224,C11_650_799_R225_274,C11_650_799_R275_349,C11_650_799_R350_449,C11_650_799_R450_549,C11_650_799_R550_649,C11_650_799_R650more,C11_650_799_R_NS,C11_650_799_R_Tot,C11_800_999_R1_74,C11_800_999_R75_99,C11_800_999_R100_149,C11_800_999_R150_199,C11_800_999_R200_224,C11_800_999_R225_274,C11_800_999_R275_349,C11_800_999_R350_449,C11_800_999_R450_549,C11_800_999_R550_649,C11_800_999_R650more,C11_800_999_R_NS,C11_800_999_R_Tot,C11_1000_1249_R1_74,C11_1000_1249_R75_99,C11_1000_1249_R100_149,C11_1000_1249_R150_199,C11_1000_1249_R200_224,C11_1000_1249_R225_274,C11_1000_1249_R275_349,C11_1000_1249_R350_449,C11_1000_1249_R450_549,C11_1000_1249_R550_649,C11_1000_1249_R650more,C11_1000_1249_R_NS,C11_1000_1249_R_Tot,C11_1250_1499_R1_74,C11_1250_1499_R75_99,C11_1250_1499_R100_149,C11_1250_1499_R150_199,C11_1250_1499_R200_224,C11_1250_1499_R225_274,C11_1250_1499_R275_349,C11_1250_1499_R350_449,C11_1250_1499_R450_549,C11_1250_1499_R550_649,C11_1250_1499_R650more,C11_1250_1499_R_NS,C11_1250_1499_R_Tot,C11_1500_1999_R1_74,C11_1500_1999_R75_99,C11_1500_1999_R100_149,C11_1500_1999_R150_199,C11_1500_1999_R200_224,C11_1500_1999_R225_274,C11_1500_1999_R275_349,C11_1500_1999_R350_449,C11_1500_1999_R450_549,C11_1500_1999_R550_649,C11_1500_1999_R650more,C11_1500_1999_R_NS,C11_1500_1999_R_Tot,C11_2000_2499_R1_74,C11_2000_2499_R75_99,C11_2000_2499_R100_149,C11_2000_2499_R150_199,C11_2000_2499_R200_224,C11_2000_2499_R225_274,C11_2000_2499_R275_349,C11_2000_2499_R350_449,C11_2000_2499_R450_549,C11_2000_2499_R550_649,C11_2000_2499_R650more,C11_2000_2499_R_NS,C11_2000_2499_R_Tot,C11_2500_2999_R1_74,C11_2500_2999_R75_99,C11_2500_2999_R100_149,C11_2500_2999_R150_199,C11_2500_2999_R200_224,C11_2500_2999_R225_274,C11_2500_2999_R275_349,C11_2500_2999_R350_449,C11_2500_2999_R450_549,C11_2500_2999_R550_649,C11_2500_2999_R650more,C11_2500_2999_R_NS,C11_2500_2999_R_Tot,C11_3000_3999_R1_74,C11_3000_3999_R75_99,C11_3000_3999_R100_149,C11_3000_3999_R150_199,C11_3000_3999_R200_224,C11_3000_3999_R225_274,C11_3000_3999_R275_349,C11_3000_3999_R350_449,C11_3000_3999_R450_549,C11_3000_3999_R550_649,C11_3000_3999_R650more,C11_3000_3999_R_NS,C11_3000_3999_R_Tot,C11_4000more_R1_74,C11_4000more_R75_99,C11_4000more_R100_149,C11_4000more_R150_199,C11_4000more_R200_224,C11_4000more_R225_274,C11_4000more_R275_349,C11_4000more_R350_449,C11_4000more_R450_549,C11_4000more_R550_649,C11_4000more_R650more,C11_4000more_R_NS,C11_4000more_R_Tot,C11_PI_S_R1_74,C11_PI_S_R75_99,C11_PI_S_R100_149,C11_PI_S_R150_199,C11_PI_S_R200_224
LGA10800,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,11,0,0,0,0,0,0,0,0,0,21,10,8,15,7,0,3,0,0,0,0,0,0,43,0,4,11,14,9,5,0,0,0,0,3,8,46,0,0,10,0,5,0,0,0,0,0,0,0,21,0,5,17,7,3,3,0,0,0,0,0,3,39,4,4,8,14,6,3,0,0,0,0,0,3,42,0,0,7,18,0,0,0,0,0,0,0,3,33,0,0,3,13,5,6,0,0,0,0,0,0,31,3,0,9,10,8,12,6,0,0,0,0,0,53,0,0,0,9,0,3,0,0,0,0,0,0,22,0,0,0,0,4,7,10,0,0,0,0,5,27,0,0,0,0,0,3,4,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,4,7,3,0,0,4,6
LGA10850,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,0,14,3,7,7,7,0,0,0,0,0,0,0,0,25,0,13,15,13,6,0,0,0,0,0,0,3,54,0,5,15,17,4,3,0,0,0,0,0,0,47,3,0,5,17,0,5,0,0,0,0,0,3,31,4,5,12,24,11,5,0,0,0,0,0,0,56,0,0,8,15,3,7,0,0,0,0,0,0,42,0,6,10,13,5,6,8,0,0,0,0,4,54,0,0,6,10,5,3,0,0,0,0,0,0,27,0,0,3,20,5,9,3,0,0,0,0,3,50,0,0,0,4,6,5,4,0,0,0,0,0,21,0,0,0,3,9,3,9,3,0,0,0,0,37,0,4,3,0,7,6,3,0,0,0,0,0,24,0,0,0,3,0,3,3,3,0,0,0,0,7,0,0,3,14,8
LGA10900,0,0,3,8,7,9,13,3,3,0,0,3,54,4,12,7,9,3,12,7,4,0,0,0,12,71,16,11,43,52,33,41,35,7,3,0,5,11,271,14,25,87,72,46,65,57,17,3,0,5,20,405,3,3,59,108,84,149,131,35,4,0,9,11,587,0,3,10,29,24,63,61,18,4,0,0,8,218,0,0,28,55,61,149,202,63,7,0,0,11,561,3,0,15,39,39,127,190,75,10,0,8,13,525,4,5,3,24,47,115,191,101,13,0,3,6,511,0,0,4,14,26,61,156,95,20,4,0,16,398,0,0,9,19,24,74,216,129,33,5,5,13,527,0,0,0,4,12,30,101,100,24,3,3,8,285,3,0,8,3,7,25,51,84,44,14,6,5,246,0,0,0,3,0,8,18,52,17,10,4,0,119,0,0,0,0,0,5,3,9,12,0,7,0,39,0,0,13,16,24
LGA10950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,7,0,0,0,0,0,0,0,4,24,0,3,12,5,3,0,0,0,0,0,0,4,29,0,3,12,5,3,3,0,0,0,0,0,0,24,0,0,6,0,0,0,0,0,0,0,0,0,3,3,0,7,5,3,0,0,0,0,0,0,3,29,0,3,5,10,0,3,0,0,0,0,0,0,29,8,0,0,11,7,9,0,0,0,0,0,0,36,4,0,3,8,5,0,0,0,0,0,0,0,23,0,0,6,5,10,3,6,0,0,0,0,4,26,0,0,0,6,5,0,0,0,0,0,0,4,9,0,0,0,7,0,3,0,0,0,0,0,3,20,0,0,0,5,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,8,7,5
LGA11150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,8,3,13,8,3,0,0,0,0,0,0,0,0,19,0,3,5,9,0,0,0,0,0,0,0,0,17,0,0,3,3,0,0,0,0,0,0,0,0,11,4,6,8,7,0,0,0,0,0,0,0,0,30,0,4,5,5,0,6,0,0,0,0,0,0,23,12,0,10,10,5,0,0,0,0,0,5,9,41,5,0,3,12,0,0,0,0,0,0,0,3,28,15,0,3,9,7,0,0,0,0,0,0,0,36,13,0,0,4,3,0,0,0,0,0,0,0,27,9,0,0,4,0,0,0,0,0,0,0,3,26,5,0,0,3,0,0,0,0,0,0,0,5,12,3,0,0,0,0,0,0,0,0,0,0,0,4,11,3,11,7,4
LGA11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,5,3,4,0,0,0,0,0,0,0,0,3,17,9,7,5,3,0,0,0,0,0,0,0,3,25,3,5,3,0,0,0,0,0,0,0,0,0,17,5,4,7,0,0,0,0,0,0,0,0,4,21,10,5,9,0,0,0,0,0,0,0,0,3,28,4,8,9,6,0,0,0,0,0,0,0,4,24,14,6,9,3,0,0,0,0,0,0,0,8,33,3,0,0,3,0,0,0,0,0,0,0,0,11,9,5,3,0,0,0,0,0,0,0,0,0,18,5,0,0,4,0,0,0,0,0,0,0,0,13,10,3,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,9,0,0
LGA11250,0,0,3,4,0,0,0,0,0,0,0,3,14,3,4,4,8,0,0,5,0,0,0,0,0,24,9,12,52,35,9,0,0,0,0,0,0,4,125,5,16,96,57,9,3,5,0,0,0,4,13,195,5,3,54,88,15,4,3,0,0,0,0,0,179,6,3,15,32,5,4,3,0,0,0,0,4,70,6,5,39,56,22,8,0,0,0,0,0,3,141,0,0,25,52,11,6,5,0,0,0,3,5,106,9,0,26,42,28,8,9,0,0,0,0,3,127,8,0,15,30,16,9,11,0,5,0,0,0,103,19,0,20,33,15,18,8,0,0,0,0,3,124,4,0,6,13,16,13,4,5,0,0,0,4,62,9,0,7,7,7,8,4,4,5,0,3,9,64,6,3,5,10,8,5,3,0,0,0,0,0,34,5,0,0,0,0,0,0,0,0,0,4,4,15,6,6,14,25,13
LGA11300,5,0,0,3,5,19,4,39,62,24,16,23,204,7,6,7,4,4,6,0,18,8,3,0,5,66,12,37,19,8,3,12,11,30,21,7,6,12,180,14,52,22,7,3,13,16,27,16,6,4,13,195,10,13,22,19,11,18,24,47,31,9,5,10,207,7,0,16,13,3,15,19,32,15,7,3,6,123,5,4,12,17,10,34,39,82,53,17,11,8,282,0,0,9,8,5,32,55,109,75,18,17,9,338,0,0,8,9,3,29,49,111,72,22,19,8,328,0,0,3,3,9,18,44,129,78,23,13,11,314,0,0,3,3,3,14,47,192,117,37,26,10,463,3,0,4,3,0,12,31,84,106,34,22,6,298,0,0,0,0,0,6,17,72,92,23,11,4,233,0,0,0,0,5,7,10,64,45,28,17,3,187,0,0,0,0,0,0,0,19,25,13,19,3,85,0,3,0,7,3
LGA11350,0,0,0,4,4,5,9,7,8,3,6,6,53,0,0,0,0,0,5,0,4,6,0,0,3,34,9,13,41,47,21,18,31,27,8,0,0,12,229,3,16,42,46,27,39,37,35,7,7,10,12,289,5,11,30,65,47,68,80,81,13,10,4,10,415,0,0,3,9,16,19,34,46,11,3,3,5,153,3,0,13,31,33,45,105,123,36,13,7,7,425,0,3,9,16,14,29,76,163,43,15,13,12,392,7,0,4,7,10,27,61,111,54,18,10,9,319,0,0,0,6,11,15,37,91,55,14,10,7,244,0,0,3,10,8,10,41,117,48,26,19,5,292,0,0,0,4,4,4,19,40,39,13,20,9,148,0,0,0,0,0,0,10,30,25,19,20,3,118,0,0,0,0,0,5,0,8,10,15,24,0,57,0,0,0,0,0,0,0,4,0,3,19,3,34,5,0,8,9,9
LGA11400,0,0,6,4,0,0,0,0,0,0,0,0,11,0,0,4,0,0,0,0,0,0,0,0,0,12,3,3,18,11,4,0,0,5,0,0,0,0,52,24,13,32,24,3,0,0,0,0,0,4,3,100,9,0,20,24,5,4,0,0,0,0,0,4,74,0,5,8,5,0,0,0,0,0,0,0,0,28,9,3,20,24,0,4,0,0,0,0,0,5,68,0,3,9,17,11,10,3,0,0,0,0,9,72,0,0,9,20,13,6,4,0,0,0,5,9,65,0,0,10,19,14,3,0,0,0,0,0,0,51,0,0,12,18,3,8,3,0,0,0,0,0,56,7,0,8,9,8,10,4,4,0,0,0,4,46,0,0,3,0,3,7,5,4,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,12,9
LGA11450,0,0,0,0,3,0,7,16,4,0,0,3,41,6,9,0,4,3,3,0,0,0,0,0,5,29,10,30,12,4,9,3,7,9,5,0,0,0,99,18,49,12,13,5,15,15,16,0,0,0,14,165,0,9,9,13,9,30,36,51,6,4,0,5,182,0,0,24,10,8,11,24,12,3,0,0,0,94,0,8,10,19,13,25,70,110,13,3,6,9,290,0,0,9,14,7,17,61,103,21,10,0,11,259,0,0,4,8,13,19,72,141,40,4,3,9,321,0,0,7,8,0,15,65,112,43,8,4,8,270,0,0,7,10,4,20,93,191,107,9,4,9,458,0,0,0,4,9,16,57,142,84,8,3,3,330,0,0,0,0,0,4,23,86,72,20,0,5,220,0,0,0,3,3,0,13,53,53,18,4,0,153,0,0,0,0,0,0,3,12,18,6,3,0,47,4,3,4,6,0
