SA3_CODE_2021,C21_85_over_UOL_SE_Tot,C21_85_over_LPE_NS,C21_85_over_Tot,C21_Tot_SEO,C21_Tot_UOL_SE_Vw_w,C21_Tot_UOL_SE_Nw_Na,C21_Tot_UOL_SE_P_E_n,C21_Tot_UOL_SE_Tot,C21_Tot_LPE_NS,C21_Tot_Tot
11401,198,275,3504,95761,4938,582,82,5600,6967,108328
11402,80,266,1765,46357,3439,332,46,3823,2503,52678
11501,818,483,3603,85517,57172,8047,525,65745,3503,154767
11502,161,37,729,22263,4275,515,32,4820,832,27914
11503,37,10,307,22868,1167,137,8,1309,827,25006
11504,110,82,389,35840,17229,1910,210,19352,1493,56682
11601,992,165,2220,66077,59574,8940,637,69155,7372,142602
11602,319,48,727,66222,63911,6086,744,70742,5807,142771
11603,587,244,1395,57541,43040,6205,470,49720,8365,115629
11701,430,124,844,28760,22975,3699,236,26917,3102,58771
11702,661,67,958,37362,11681,3268,128,15077,2328,54771
11703,772,283,2059,127659,64294,10964,571,75825,14310,217795
11801,622,634,3169,96686,21887,1799,216,23907,6579,127167
11802,1138,624,3371,88766,33545,4118,295,37961,7513,134243
11901,1741,584,4204,68355,84452,21068,880,106400,11487,186245
11902,1981,505,3146,41001,69545,20492,820,90858,9226,141091
11903,1375,534,3652,55531,55436,14950,526,70908,5424,131869
11904,1971,615,3801,56462,68270,12726,677,81678,7782,145918
12001,1031,315,2206,49689,28325,5151,295,33769,3246,86706
12002,298,109,827,45526,7641,942,110,8692,2180,56398
12003,2365,388,3968,69534,68367,16128,667,85161,6966,161666
12101,803,299,2698,69981,36926,6472,398,43800,3674,117456
12102,398,196,1864,53825,26698,4482,319,31507,2118,87455
12103,659,324,4145,79716,35796,5845,337,41986,2663,124357
12104,285,185,2136,70899,18358,1763,227,20349,3532,94778
12201,103,35,891,35562,5750,415,72,6240,1369,43173
12202,145,273,1863,55470,5222,406,58,5694,2321,63482
12203,711,331,4481,122328,26532,3314,311,30155,4421,156903
12301,126,51,991,62000,8726,898,70,9699,1876,73578
12302,469,318,1982,102995,56783,7673,643,65098,9781,177879
12303,66,178,708,41023,2344,266,21,2628,2183,45837
12401,145,193,1757,70263,4817,391,74,5286,2399,77950
12402,0,0,0,4,0,0,0,0,0,8
12403,325,360,2024,124379,24258,2921,306,27488,7449,159310
12404,70,120,829,31532,2996,402,35,3431,3042,38002
12405,184,145,628,37534,13484,1829,130,15442,3807,56790
12501,647,151,1092,21123,54678,20001,600,75280,7142,103544
12502,471,83,1477,30459,32228,8272,332,40835,2732,74024
12503,1320,448,2852,51729,77387,20491,846,98728,13364,163816
12504,864,278,2452,56413,75906,10856,886,87641,8068,152128
12601,300,64,1209,25476,23310,4436,249,27995,1361,54832
12602,1256,629,3920,71026,58114,11714,671,70495,5681,147202
12701,617,158,1179,64809,59350,11701,633,71684,6590,143080
12702,2922,445,4051,46333,92802,44951,882,138628,10217,195172
12703,871,428,1966,54460,59607,12995,620,73228,8491,136178
12801,466,376,3890,96171,15377,2006,184,17571,4122,117865
12802,310,516,2542,94059,13026,1637,141,14804,2879,111740
19797,0,0,0,0,0,0,0,0,0,0
19999,6,17,49,6417,1003,162,25,1187,3764,11371
20101,131,309,2878,102572,7494,779,116,8385,5243,116201
20102,40,104,689,27421,1276,111,18,1407,2148,30975
20103,18,82,750,23686,709,59,15,781,2290,26759
20201,68,339,2812,90175,6221,1425,107,7753,5110,103034
20202,51,250,1340,46577,1765,243,28,2029,3890,52500
20203,0,76,371,10633,319,34,4,363,1236,12224
20301,12,20,307,20638,633,67,11,714,1124,22483
20302,921,441,5340,172021,25076,4078,331,29484,10471,211986
20303,160,262,2302,84387,4310,378,89,4776,4249,93417
20401,92,141,1622,52531,2640,314,29,2989,4485,60002
20402,103,162,1632,43174,1999,251,39,2285,2990,48454
20403,172,183,1745,67479,3951,697,69,4721,4276,76475
20501,85,143,1359,51718,2618,324,28,2972,3090,57775
20502,71,214,1518,43173,1819,272,28,2119,3538,48830
20503,135,189,2074,63517,3042,361,45,3452,4579,71548
20504,293,243,1948,66362,4575,740,76,5389,5415,77168
20505,55,133,1036,39712,1672,213,21,1907,3908,45525
20601,1292,84,1854,62533,20704,3820,213,24735,2607,89874
20602,852,38,1182,40129,9418,2110,107,11637,1510,53270
20603,633,76,1461,48068,15288,2451,193,17929,2718,68712
20604,387,148,1188,69357,61313,7785,409,69506,10740,149601
20605,529,190,1468,73905,19413,2223,207,21846,6212,101956
20606,430,178,1438,45194,12081,1708,116,13905,3439,62539
20607,714,80,1288,68044,14716,3708,192,18614,4402,91060
20701,1224,275,4961,114556,41632,6809,346,48787,4555,167900
20702,1706,199,3807,43453,42994,8918,449,52357,2572,98386
20703,963,265,3502,58400,35133,9623,386,45134,3654,107187
20801,524,291,3422,82132,14071,1758,158,15988,3191,101306
20802,1483,233,4193,101992,43325,6026,452,49800,4679,156469
20803,663,211,3404,94872,20911,2997,243,24147,3679,122693
20804,336,100,1307,31348,8395,1088,89,9573,1249,42162
20901,916,180,3400,94634,24146,3592,290,28030,3576,126236
20902,1513,346,2765,53993,29896,6826,307,37024,4280,95299
20903,132,81,906,58767,5775,527,66,6376,1956,67105
20904,1826,459,3439,132518,92258,15955,1120,109329,10171,252026
21001,1116,95,2104,40803,16354,2687,144,19181,1706,61687
21002,37,80,418,29966,1386,99,18,1503,1500,32969
21003,1380,316,2805,41371,29881,4796,387,35063,4104,80537
21004,110,37,689,38084,4703,472,69,5246,1734,45064
21005,994,139,1797,75872,96616,19944,1165,117726,10470,204071
21101,968,304,3539,108188,39028,6904,493,46428,4530,159148
21102,225,79,749,19875,4917,835,46,5798,711,26386
21103,352,306,2874,88179,18519,4311,275,23103,3301,114579
21104,455,276,1983,36674,19870,4269,260,24399,1859,62935
21105,396,156,2672,137129,10996,1810,146,12954,5172,155256
21201,155,149,1493,91260,18917,2443,247,21607,5471,118342
21202,765,162,2428,75891,46541,8405,499,55438,5959,137287
21203,457,120,1779,117910,85894,13647,1110,100648,9391,227950
21204,2373,232,4396,63031,91294,29395,1002,121691,8921,193644
21205,2158,458,5990,79264,81096,14991,727,96811,6758,182833
21301,2247,363,3377,64574,83712,26277,884,110874,10620,186067
21302,908,98,2064,60379,19257,3328,227,22809,3403,86589
21303,731,116,1348,48241,25878,6684,326,32892,4075,85209
21304,385,123,1565,114796,63034,8572,761,72366,11277,198439
21305,616,213,1904,130559,130833,17298,1941,150069,16120,296748
21401,372,267,3017,116411,14100,1985,184,16271,6591,139281
21402,457,634,6029,150667,8641,871,121,9632,8651,168948
21501,56,291,2123,52700,2502,489,44,3034,4601,60340
21502,205,136,1526,45513,5252,1901,99,7255,4203,56972
21503,56,188,1297,31050,2835,1237,71,4135,3082,38264
21601,46,173,1276,34693,1421,216,27,1665,2533,38889
21602,48,118,1050,26713,1355,314,25,1696,2122,30522
21603,198,169,1648,50912,9752,2459,167,12379,4912,68206
21701,26,136,1184,33343,1069,90,18,1177,2272,36792
21703,33,119,1171,34178,1440,348,24,1819,2510,38497
21704,34,186,1445,47423,2017,356,53,2427,2933,52777
29797,0,0,0,13,5,0,0,5,27,38
29999,4,14,29,4485,834,179,15,1027,3575,9089
30101,170,234,1362,64080,6220,662,83,6960,2342,73384
30102,200,165,2536,83633,5933,609,73,6617,3140,93394
30103,116,136,1455,62496,7370,742,100,8205,2345,73041
30201,150,70,1113,35879,8230,829,97,9149,1098,46125
30202,232,317,2304,60174,10046,1239,120,11407,2751,74330
30203,82,76,804,33695,6771,735,74,7578,1695,42971
30204,150,100,1453,47865,9910,1185,140,11233,2069,61171
30301,178,61,1100,42462,9248,1101,119,10468,1342,54274
30302,201,157,1479,60171,14391,1611,179,16183,3038,79394
30303,321,118,1501,44211,26933,5261,300,32501,2659,79365
30304,108,39,781,28055,8887,1601,106,10593,1256,39907
30305,241,108,830,32357,27035,5594,351,32982,2546,67890
30306,259,42,856,20261,21741,5979,274,27990,1941,50190
30401,130,25,717,24627,6841,912,66,7814,575,33016
30402,97,123,1169,38641,7440,622,72,8137,951,47733
30403,60,103,910,38860,12367,1252,109,13728,1699,54285
30404,67,60,1171,46929,5254,481,80,5811,1440,54179
30501,227,147,934,54849,23260,2816,207,26281,6339,87467
30502,59,29,513,37199,4949,452,59,5471,1707,44376
30503,192,142,1381,78812,15266,1361,167,16793,4456,100063
30504,78,58,680,50402,7520,623,87,8227,1707,60333
30601,81,121,690,47748,6241,537,77,6854,3173,57774
30602,232,228,1698,77303,15129,2462,249,17834,10351,105489
30603,115,82,815,26826,4670,489,124,5285,3224,35333
30604,19,21,182,9674,1131,61,11,1207,1362,12252
30605,182,143,1113,35347,3013,382,57,3448,4103,42900
30701,9,136,806,37719,1660,163,23,1848,4679,44244
30702,18,143,1059,37732,1504,206,32,1738,3389,42862
30703,70,125,1128,36720,1502,248,20,1768,3036,41520
30801,4,48,191,23946,1549,200,28,1767,3141,28849
30803,68,261,2528,105097,5775,938,91,6799,9467,121360
30804,10,47,266,12028,514,152,3,676,1809,14513
30805,42,91,679,55537,3443,295,51,3790,4188,63515
30901,176,155,1638,54438,6889,889,79,7854,4106,66400
30902,66,170,1599,50773,3455,291,43,3788,2960,57511
30903,277,278,2187,54235,9454,1529,90,11066,4083,69387
30904,24,21,299,17889,936,53,12,1007,1218,20113
30905,42,26,494,31511,2818,266,30,3113,1410,36033
30906,127,93,1209,58770,7148,865,97,8111,2805,69688
30907,151,186,1519,131028,16702,2056,251,19014,8025,158062
30908,192,185,1434,41241,8998,1319,86,10404,2263,53903
30909,223,308,1834,45845,12126,1958,100,14182,4451,64482
30910,122,124,849,30284,9195,1130,59,10386,4530,45197
31001,288,84,1188,40529,23839,7112,312,31265,6915,78711
31002,30,154,1095,59918,1703,313,33,2049,5326,67292
31003,83,264,1966,102061,7008,876,117,8004,5853,115913
31004,103,34,489,74620,22050,3038,304,25399,5179,105202
31101,11,79,369,12998,435,32,11,478,1198,14674
31102,71,41,735,37401,4709,783,63,5554,3368,46316
31103,143,71,857,64926,18650,3773,283,22702,5994,93622
31104,40,22,355,53907,4073,643,44,4755,2972,61638
31105,157,123,1122,50374,8641,1627,140,10414,3671,64457
31106,186,144,1057,52658,16878,4123,222,21218,5182,79066
31201,11,36,371,27547,1856,282,36,2173,6103,35821
31202,111,234,1979,103403,6976,627,99,7701,10590,121691
31203,12,21,240,19251,1508,86,14,1605,2527,23382
31301,45,107,1366,33974,1254,167,20,1449,1663,37081
31302,71,214,1422,68846,4995,1161,62,6218,4725,79787
31303,9,20,232,11548,833,88,16,932,2418,14897
31304,51,121,987,61711,3862,468,45,4370,3131,69207
31305,126,164,2068,56054,4114,424,45,4576,3144,63771
31401,76,44,911,81415,5851,421,63,6329,2039,89786
31402,85,76,1070,70091,13311,1317,195,14825,3156,88063
31403,38,29,546,33838,3813,563,41,4419,1594,39846
31501,50,21,150,16082,9661,1615,364,11641,4493,32207
31502,7,33,197,24462,2510,154,40,2705,3213,30377
31503,3,47,389,14822,475,112,4,596,1822,17238
31601,87,214,1772,51998,4074,326,61,4459,2501,58956
31602,173,240,2999,85902,5538,490,69,6099,4306,96305
31603,105,248,1834,54893,4424,435,59,4919,3862,63673
31605,83,157,1406,40902,3255,198,39,3493,2261,46660
31606,59,66,1132,53008,2687,195,46,2940,3095,59039
31607,50,107,1094,45304,2314,187,42,2545,2150,49996
31608,24,32,435,21915,904,65,9,977,1316,24207
31701,138,333,3892,137132,14080,3153,223,17457,7470,162059
31801,181,109,1213,34655,2568,324,63,2948,3862,41467
31802,178,268,2648,161813,14306,1711,161,16190,14816,192820
31901,116,210,2632,83044,4291,896,66,5246,5508,93797
31902,28,104,1198,43261,1643,247,35,1928,4491,49678
31903,27,106,1204,48133,1417,141,26,1585,3427,53141
31904,130,241,2069,56784,3000,262,44,3308,3407,63492
31905,17,111,1159,42697,1121,119,12,1253,3682,47629
39797,0,0,0,32,19,0,0,22,128,183
39999,0,10,44,9972,1085,140,19,1244,3455,14670
40101,77,83,425,13980,8071,1008,35,9110,1940,25026
40102,89,100,1498,72374,3930,331,47,4310,3035,79723
40103,300,58,1609,32387,11294,1395,116,12800,845,46030
40104,800,156,1935,33690,17339,2455,179,19971,1510,55173
40105,504,76,1377,26290,8752,1228,88,10063,1133,37487
40106,252,41,818,21170,7346,870,66,8278,841,30289
40107,319,77,1572,30220,6723,834,60,7616,805,38641
40201,60,71,935,34532,1598,221,15,1834,1345,37709
40202,194,188,1676,78713,12062,3680,203,15941,5277,99932
40203,460,72,1573,40778,27433,4890,351,32669,3409,76855
40204,595,208,2497,91096,37486,10117,453,48049,5399,144550
40205,403,216,2446,79968,12562,1604,176,14340,2358,96660
40301,115,62,1482,30692,3555,356,44,3956,1064,35711
40302,408,119,2788,73355,17676,2518,216,20419,2556,96326
40303,330,104,2205,54522,9241,1021,108,10365,1395,66290
40304,352,305,3902,157114,11521,1301,159,12991,6431,176533
40401,1457,159,3676,81910,27631,4909,294,32836,3698,118442
40402,477,67,1466,41814,12908,3672,145,16725,2311,60848
40403,780,98,2385,43264,17293,2466,193,19953,1839,65057
40501,48,93,872,35097,989,99,25,1118,1760,37975
40502,17,43,658,20663,627,62,14,703,1331,22691
40503,48,76,826,24404,924,110,11,1050,1709,27164
40504,11,131,948,24178,545,45,13,605,1873,26652
40601,86,119,1385,50034,2895,217,84,3199,3860,57092
40602,38,40,367,18618,3507,405,157,4066,2874,25560
40701,84,137,2144,51201,1614,124,34,1771,2626,55593
40702,97,214,1750,58063,3182,876,65,4118,4677,66851
40703,182,164,2096,60564,4498,968,51,5519,5173,71259
49797,0,0,0,0,8,0,0,8,5,12
49999,3,0,11,2261,300,34,11,343,770,3377
50101,51,88,1332,50256,3130,357,55,3543,3531,57332
50102,147,282,2133,92765,7510,824,101,8439,6349,107549
50103,45,33,508,20901,1040,133,14,1191,1768,23863
50201,140,419,3095,94318,6576,566,68,7207,6114,107641
50301,199,210,2184,58567,9748,772,94,10609,2557,71735
50302,667,160,2226,77482,23947,2787,260,26993,6050,110530
50401,528,175,1949,59632,17765,3322,232,21312,3516,84462
50402,87,136,870,36855,2820,257,28,3104,3834,43792
50403,306,180,1678,105946,30583,4746,368,35695,6679,148324
50501,331,168,2794,138390,16180,1487,169,17830,4420,160641
50502,1439,365,5514,140207,49865,8268,592,58730,9208,208149
50503,407,268,2616,155783,37753,6386,388,44531,8187,208506
50601,134,114,1006,66921,20153,2276,309,22739,4528,94184
50602,278,160,1318,48899,18979,2619,263,21859,4548,75312
50603,368,318,2191,52839,36492,5416,418,42327,3973,99139
50604,313,236,1869,73536,38522,7009,470,46002,6840,126376
50605,138,89,1292,48865,6771,743,99,7617,2274,58762
50606,22,13,249,26955,3296,296,40,3628,1660,32242
50607,147,207,1233,32350,8117,889,109,9117,1988,43448
50701,515,163,1782,85716,22338,2972,283,25591,4518,115824
50702,322,128,1107,32872,4211,577,46,4835,2207,39910
50703,40,21,416,32453,8980,909,146,10036,3374,45867
50704,470,277,3363,80696,19714,2205,170,22086,3347,106127
50705,111,306,2083,116738,10449,1022,134,11606,7340,135678
50901,75,156,1644,53100,3606,630,40,4277,4503,61880
50902,54,158,1196,47076,2509,285,69,2856,6002,55937
50903,20,68,471,16411,875,76,17,968,1983,19357
51001,32,33,139,22253,6791,672,201,7658,5177,35092
51002,11,4,39,16293,4181,333,55,4569,4580,25443
51003,6,5,19,20757,3487,234,60,3779,5055,29594
51101,4,18,315,13572,750,53,8,809,1591,15970
51102,11,13,90,7157,831,175,22,1028,1353,9537
51103,25,36,236,27246,5391,410,80,5881,5133,38267
51104,54,193,1108,44652,3490,352,53,3896,6437,54981
59797,0,0,0,232,59,3,0,68,219,514
59999,0,18,30,4079,497,56,9,562,3411,8055
60101,21,13,186,17819,644,87,13,739,1029,19589
60102,69,118,1630,51292,4681,468,57,5210,2661,59161
60103,115,106,1395,45416,8630,1165,141,9934,2656,58008
60104,42,35,756,31386,3821,396,66,4274,983,36641
60105,142,89,1331,41365,10603,924,92,11618,2181,55163
60106,11,23,336,16740,673,52,16,738,1033,18515
60201,142,159,2357,74371,7952,1318,110,9380,3601,87345
60202,4,30,474,22190,654,78,14,748,1316,24254
60203,28,80,912,36158,1028,83,18,1131,2315,39600
60301,0,20,148,11231,238,9,0,253,962,12440
60302,5,65,388,19390,893,53,13,958,1365,21707
60303,8,17,200,6597,394,26,4,425,562,7582
60401,42,94,1386,45828,1570,150,19,1742,2461,50028
60402,25,97,1196,43525,2137,231,26,2395,2373,48293
60403,5,54,306,15574,693,45,9,745,1513,17841
69797,0,0,0,11,0,0,0,0,3,19
69999,0,0,3,978,70,11,3,86,314,1377
70101,42,41,182,16879,7147,584,81,7812,2350,27044
70102,128,47,397,32805,15686,2017,210,17910,3978,54701
70103,0,6,97,16595,1103,208,10,1314,3076,20983
70104,22,16,159,27004,6158,680,98,6937,3240,37176
70201,61,13,202,19727,11923,1524,357,13801,2946,36471
70202,10,0,14,2506,2140,174,27,2344,439,5287
70203,16,0,31,4371,8452,1499,254,10202,1226,15805
70204,8,0,15,3217,6605,1589,204,8404,1178,12798
70205,21,4,64,8492,7138,732,94,7967,2284,18739
79797,0,0,0,63,7,4,0,11,24,99
79999,0,0,7,1605,567,70,42,678,1214,3500
80101,346,78,1667,76764,22874,2795,223,25890,3397,106061
80103,0,0,16,950,191,22,5,214,773,1934
80104,114,8,374,50856,29964,3948,344,34248,2575,87682
80105,208,97,1069,44461,12102,1187,112,13407,3320,61188
80106,110,120,842,23533,5811,404,60,6267,1790,31592
80107,218,108,1281,72435,12930,1449,158,14529,2498,89461
80108,136,45,683,19905,3496,382,47,3925,809,24630
80109,223,62,1221,27870,9232,791,104,10125,1287,39279
80110,8,0,22,6120,4551,363,60,4982,336,11435
80111,0,0,4,560,21,0,0,21,42,625
89797,0,0,0,0,0,0,0,0,0,0
89999,0,0,4,400,76,10,0,83,125,605
90101,3,0,4,495,539,206,14,763,431,1692
90102,11,0,11,113,257,128,4,386,93,593
90103,0,0,0,200,13,0,0,16,91,310
90104,14,3,50,1146,765,28,14,800,239,2188
99797,0,0,0,0,0,0,0,0,0,0
99999,0,0,0,5,3,3,0,5,3,11
