GCCSA_CODE_2021,M_LPLFS_EFT_DC_0_4,M_LPLFS_EFT_DC_5_9,M_LPLFS_EFT_DC_10_12,M_LPLFS_EFT_DC_13_14,M_LPLFS_EFT_DC_15_17,M_LPLFS_EFT_DC_18_20,M_LPLFS_EFT_DC_21_24,M_LPLFS_EFT_T,M_LPLFS_EPT_DC_0_4,M_LPLFS_EPT_DC_5_9,M_LPLFS_EPT_DC_10_12,M_LPLFS_EPT_DC_13_14,M_LPLFS_EPT_DC_15_17,M_LPLFS_EPT_DC_18_20,M_LPLFS_EPT_DC_21_24,M_LPLFS_EPT_T,M_LPLFS_EAW_DC_0_4,M_LPLFS_EAW_DC_5_9,M_LPLFS_EAW_DC_10_12,M_LPLFS_EAW_DC_13_14,M_LPLFS_EAW_DC_15_17,M_LPLFS_EAW_DC_18_20,M_LPLFS_EAW_DC_21_24,M_LPLFS_EAW_T,M_LPLFS_HNS_DC_0_4,M_LPLFS_HNS_DC_5_9,M_LPLFS_HNS_DC_10_12,M_LPLFS_HNS_DC_13_14,M_LPLFS_HNS_DC_15_17,M_LPLFS_HNS_DC_18_20,M_LPLFS_HNS_DC_21_24,M_LPLFS_HNS_T,M_LPLFS_EW_T_DC_0_4,M_LPLFS_EW_T_DC_5_9,M_LPLFS_EW_T_DC_10_12,M_LPLFS_EW_T_DC_13_14,M_LPLFS_EW_T_DC_15_17,M_LPLFS_EW_T_DC_18_20,M_LPLFS_EW_T_DC_21_24,M_LPLFS_EW_T_T,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULFTW_DC_5_9,M_LPLFS_ULFTW_DC_10_12,M_LPLFS_ULFTW_DC_13_14,M_LPLFS_ULFTW_DC_15_17,M_LPLFS_ULFTW_DC_18_20,M_LPLFS_ULFTW_DC_21_24,M_LPLFS_ULFTW_T,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_ULPTW_DC_5_9,M_LPLFS_ULPTW_DC_10_12,M_LPLFS_ULPTW_DC_13_14,M_LPLFS_ULPTW_DC_15_17,M_LPLFS_ULPTW_DC_18_20,M_LPLFS_ULPTW_DC_21_24,M_LPLFS_ULPTW_T,M_LPLFS_U_T_DC_0_4,M_LPLFS_U_T_DC_5_9,M_LPLFS_U_T_DC_10_12,M_LPLFS_U_T_DC_13_14,M_LPLFS_U_T_DC_15_17,M_LPLFS_U_T_DC_18_20,M_LPLFS_U_T_DC_21_24,M_LPLFS_U_T_T,M_LPLFS_T_LF_DC_0_4,M_LPLFS_T_LF_DC_5_9,M_LPLFS_T_LF_DC_10_12,M_LPLFS_T_LF_DC_13_14,M_LPLFS_T_LF_DC_15_17,M_LPLFS_T_LF_DC_18_20,M_LPLFS_T_LF_DC_21_24,M_LPLFS_T_LF_T,M_LPLFS_NLF_DC_0_4,M_LPLFS_NLF_DC_5_9,M_LPLFS_NLF_DC_10_12,M_LPLFS_NLF_DC_13_14,M_LPLFS_NLF_DC_15_17,M_LPLFS_NLF_DC_18_20,M_LPLFS_NLF_DC_21_24,M_LPLFS_NLF_T,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_LFSNS_DC_5_9,M_LPLFS_LFSNS_DC_10_12,M_LPLFS_LFSNS_DC_13_14,M_LPLFS_LFSNS_DC_15_17,M_LPLFS_LFSNS_DC_18_20,M_LPLFS_LFSNS_DC_21_24,M_LPLFS_LFSNS_T,M_LPLFS_T_DC_0_4,M_LPLFS_T_DC_5_9,M_LPLFS_T_DC_10_12,M_LPLFS_T_DC_13_14,M_LPLFS_T_DC_15_17,M_LPLFS_T_DC_18_20,M_LPLFS_T_DC_21_24,M_LPLFS_T_T,F_LPLFS_EFT_DC_0_4,F_LPLFS_EFT_DC_5_9,F_LPLFS_EFT_DC_10_12,F_LPLFS_EFT_DC_13_14,F_LPLFS_EFT_DC_15_17,F_LPLFS_EFT_DC_18_20,F_LPLFS_EFT_DC_21_24,F_LPLFS_EFT_T,F_LPLFS_EPT_DC_0_4,F_LPLFS_EPT_DC_5_9,F_LPLFS_EPT_DC_10_12,F_LPLFS_EPT_DC_13_14,F_LPLFS_EPT_DC_15_17,F_LPLFS_EPT_DC_18_20,F_LPLFS_EPT_DC_21_24,F_LPLFS_EPT_T,F_LPLFS_EAW_DC_0_4,F_LPLFS_EAW_DC_5_9,F_LPLFS_EAW_DC_10_12,F_LPLFS_EAW_DC_13_14,F_LPLFS_EAW_DC_15_17,F_LPLFS_EAW_DC_18_20,F_LPLFS_EAW_DC_21_24,F_LPLFS_EAW_T,F_LPLFS_HNS_DC_0_4,F_LPLFS_HNS_DC_5_9,F_LPLFS_HNS_DC_10_12,F_LPLFS_HNS_DC_13_14,F_LPLFS_HNS_DC_15_17,F_LPLFS_HNS_DC_18_20,F_LPLFS_HNS_DC_21_24,F_LPLFS_HNS_T,F_LPLFS_EW_T_DC_0_4,F_LPLFS_EW_T_DC_5_9,F_LPLFS_EW_T_DC_10_12,F_LPLFS_EW_T_DC_13_14,F_LPLFS_EW_T_DC_15_17,F_LPLFS_EW_T_DC_18_20,F_LPLFS_EW_T_DC_21_24,F_LPLFS_EW_T_T,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULFTW_DC_5_9,F_LPLFS_ULFTW_DC_10_12,F_LPLFS_ULFTW_DC_13_14,F_LPLFS_ULFTW_DC_15_17,F_LPLFS_ULFTW_DC_18_20,F_LPLFS_ULFTW_DC_21_24,F_LPLFS_ULFTW_T,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_ULPTW_DC_5_9,F_LPLFS_ULPTW_DC_10_12,F_LPLFS_ULPTW_DC_13_14,F_LPLFS_ULPTW_DC_15_17,F_LPLFS_ULPTW_DC_18_20,F_LPLFS_ULPTW_DC_21_24,F_LPLFS_ULPTW_T,F_LPLFS_U_T_DC_0_4,F_LPLFS_U_T_DC_5_9,F_LPLFS_U_T_DC_10_12,F_LPLFS_U_T_DC_13_14,F_LPLFS_U_T_DC_15_17,F_LPLFS_U_T_DC_18_20,F_LPLFS_U_T_DC_21_24,F_LPLFS_U_T_T,F_LPLFS_T_LF_DC_0_4,F_LPLFS_T_LF_DC_5_9,F_LPLFS_T_LF_DC_10_12,F_LPLFS_T_LF_DC_13_14,F_LPLFS_T_LF_DC_15_17,F_LPLFS_T_LF_DC_18_20,F_LPLFS_T_LF_DC_21_24,F_LPLFS_T_LF_T,F_LPLFS_NLF_DC_0_4,F_LPLFS_NLF_DC_5_9,F_LPLFS_NLF_DC_10_12,F_LPLFS_NLF_DC_13_14,F_LPLFS_NLF_DC_15_17,F_LPLFS_NLF_DC_18_20,F_LPLFS_NLF_DC_21_24,F_LPLFS_NLF_T,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_LFSNS_DC_5_9,F_LPLFS_LFSNS_DC_10_12,F_LPLFS_LFSNS_DC_13_14,F_LPLFS_LFSNS_DC_15_17,F_LPLFS_LFSNS_DC_18_20,F_LPLFS_LFSNS_DC_21_24,F_LPLFS_LFSNS_T,F_LPLFS_T_DC_0_4,F_LPLFS_T_DC_5_9,F_LPLFS_T_DC_10_12,F_LPLFS_T_DC_13_14,F_LPLFS_T_DC_15_17,F_LPLFS_T_DC_18_20,F_LPLFS_T_DC_21_24,F_LPLFS_T_T,T_LPLFS_EFT_DC_0_4,T_LPLFS_EFT_DC_5_9,T_LPLFS_EFT_DC_10_12,T_LPLFS_EFT_DC_13_14,T_LPLFS_EFT_DC_15_17,T_LPLFS_EFT_DC_18_20,T_LPLFS_EFT_DC_21_24,T_LPLFS_EFT_T
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,403,931,876,669,1004,436,263,4587,97,302,260,207,272,124,76,1329,18,39,23,22,40,14,4,166,25,18,22,17,18,8,3,113,542,1294,1187,912,1333,590,346,6198,37,77,68,39,62,19,11,306,10,49,29,31,24,4,0,151,48,130,99,68,82,21,11,459,585,1426,1285,987,1413,610,358,6657,259,433,352,318,341,112,109,1930,11,14,13,21,17,8,0,84,858,1875,1644,1322,1772,723,473,8669,913,2602,2343,1873,2751,1340,836,12651,2097,4232,3013,2059,2505,1007,540,15457,349,263,169,121,182,83,45,1210,103,132,85,58,56,19,15,469,3461,7237,5618,4115,5492,2443,1429,29798,134,277,186,134,183,70,29,1010,285,572,369,210,230,69,42,1773,416,850,551,346,414,139,77,2785,3876,8087,6172,4463,5906,2583,1501,32583,4670,4705,2734,1898,1937,749,456,17145,73,89,70,62,32,18,7,352,8625,12877,8971,6422,7874,3349,1968,50084,1319,3538,3218,2542,3752,1777,1093,17235
4RSAU,93,238,179,219,255,52,10,1043,39,97,91,50,58,8,0,342,0,26,18,14,12,0,0,68,10,6,9,10,13,0,0,49,143,364,294,295,336,63,15,1501,22,32,32,24,17,7,0,129,0,21,8,7,11,0,0,56,24,53,43,35,29,3,0,188,167,415,335,328,370,67,10,1688,106,209,156,123,104,23,6,716,4,16,9,5,6,0,0,41,280,649,497,454,475,85,15,2454,165,575,564,415,629,111,28,2485,684,1404,933,661,761,127,31,4601,103,98,57,53,63,7,0,376,34,51,33,18,24,9,5,173,984,2125,1586,1151,1480,249,68,7637,40,110,71,44,45,7,0,324,74,139,76,43,43,7,0,382,110,251,143,88,88,13,3,701,1094,2380,1730,1236,1565,267,68,8331,1753,1550,879,589,523,79,19,5397,41,46,40,23,12,0,0,157,2883,3974,2645,1849,2095,348,87,13885,258,814,742,632,885,168,37,3528
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,611,1454,1297,1104,1547,567,372,6952,151,399,334,225,296,122,73,1604,27,52,56,44,62,15,13,261,27,38,35,23,28,8,9,171,815,1940,1724,1390,1933,712,466,8985,64,117,84,67,92,24,22,464,28,57,34,24,37,3,4,179,86,175,114,90,125,32,26,642,902,2113,1844,1485,2054,746,489,9630,256,521,396,341,356,119,76,2065,29,48,40,26,18,0,0,157,1184,2682,2271,1856,2435,868,566,11855,1639,4162,3771,3023,4308,1822,1171,19886,3155,6544,4491,3184,3708,1255,686,23026,425,349,200,170,207,82,56,1500,137,200,125,101,126,37,33,759,5354,11260,8592,6475,8341,3195,1942,45167,217,493,363,237,295,96,55,1755,522,992,536,358,354,71,57,2894,738,1484,898,590,650,166,112,4642,6093,12745,9493,7062,8993,3364,2054,49810,6888,6591,3577,2434,2392,716,447,23053,160,179,118,73,49,16,17,607,13140,19510,13194,9580,11434,4099,2522,73471,2248,5614,5068,4125,5854,2386,1544,26838
5RWAU,154,367,358,290,360,21,7,1552,48,126,106,82,93,4,0,457,17,25,29,14,11,4,0,97,13,13,8,9,11,0,0,55,229,531,497,391,471,35,13,2161,3,30,30,27,19,0,0,110,10,24,11,10,14,0,0,67,19,55,43,37,31,0,0,182,245,580,540,423,503,35,13,2342,137,203,171,122,119,8,0,768,11,25,19,23,12,0,0,93,396,817,735,573,635,44,11,3209,367,1048,975,761,998,83,24,4260,761,1677,1194,821,878,69,13,5416,96,83,89,69,61,3,0,409,43,62,40,32,23,0,0,207,1275,2871,2301,1681,1964,160,36,10288,57,124,84,58,46,9,0,370,104,217,116,79,61,4,5,587,165,340,198,142,100,7,4,958,1435,3214,2499,1822,2064,167,45,11248,2355,2235,1139,748,591,57,19,7139,69,109,62,35,12,0,0,287,3860,5559,3703,2597,2669,224,60,18675,523,1411,1336,1046,1352,106,35,5813
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,91,215,178,162,225,56,24,963,33,77,57,28,52,19,0,260,0,7,3,6,8,3,0,30,7,13,0,4,0,0,0,29,135,308,242,204,289,78,27,1282,7,11,10,7,5,4,3,47,5,14,9,3,5,0,0,35,14,26,18,12,7,6,4,84,143,330,266,214,297,86,31,1362,38,75,64,46,43,17,19,307,4,8,0,3,4,0,0,21,190,410,330,263,346,106,49,1694,154,440,450,327,529,204,106,2204,457,890,663,451,501,150,51,3158,91,61,46,33,37,12,6,296,13,29,28,17,5,0,0,90,714,1416,1191,822,1073,371,164,5752,29,62,49,42,47,9,9,246,73,131,62,51,46,12,0,378,104,193,116,89,95,21,5,620,814,1609,1304,910,1169,387,174,6374,1052,1065,560,406,363,102,60,3608,13,26,12,4,0,3,0,63,1878,2692,1877,1326,1534,499,234,10040,245,654,631,492,756,256,135,3172
6RTAS,94,199,185,146,202,46,24,889,27,76,54,54,71,10,6,304,5,6,7,11,10,5,0,39,9,6,13,6,11,3,0,51,135,285,260,211,300,62,28,1282,10,25,28,15,8,5,0,85,6,25,13,8,5,0,0,59,13,46,40,19,13,0,0,137,149,334,300,230,314,63,28,1423,84,151,129,86,101,22,7,577,3,3,8,12,0,0,0,30,239,491,438,336,418,85,39,2029,144,438,429,377,508,127,43,2067,544,1078,809,588,637,133,34,3823,76,68,43,30,48,9,3,281,32,35,28,27,17,5,0,145,795,1619,1310,1025,1209,273,82,6306,31,91,53,50,42,11,4,285,86,182,106,61,69,11,0,520,113,276,159,103,112,27,4,803,910,1895,1467,1135,1321,293,84,7106,1485,1480,804,559,504,98,36,4960,27,32,29,15,10,0,0,114,2423,3404,2297,1707,1831,402,122,12180,239,635,615,524,713,168,63,2959
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,76,169,94,102,137,23,6,610,8,34,21,17,19,11,3,108,3,3,6,7,6,0,0,35,0,3,3,0,0,0,0,4,91,213,125,125,162,34,10,755,7,9,7,3,3,0,0,37,0,4,0,0,0,0,0,9,7,19,14,6,4,0,0,44,92,233,135,133,166,34,13,804,16,55,48,46,40,3,3,205,0,13,5,6,7,0,0,30,108,292,178,181,212,39,17,1038,219,523,421,272,349,63,37,1887,189,325,187,150,111,20,11,1001,37,45,18,11,9,4,0,119,10,15,7,11,8,0,0,52,458,908,632,439,484,87,47,3055,20,47,19,21,21,7,0,136,24,52,31,15,8,0,0,135,48,100,54,35,29,7,0,264,502,1013,684,478,506,96,46,3325,494,455,242,154,112,17,11,1487,38,34,13,12,3,0,0,104,1038,1496,940,641,624,115,58,4909,292,692,514,370,483,94,47,2495
7RNTE,18,53,47,41,34,3,0,197,8,9,15,9,8,0,0,43,4,10,0,0,0,0,0,22,11,3,9,3,4,8,0,27,43,79,69,54,44,11,0,297,18,15,9,6,5,0,0,40,0,9,0,6,0,0,0,20,19,25,10,11,5,0,0,62,54,103,76,62,43,11,0,356,65,103,93,51,27,7,0,348,6,3,0,0,5,0,0,14,130,210,169,108,78,20,5,722,128,252,207,140,133,18,5,879,111,213,139,77,68,3,0,618,30,27,15,10,4,0,0,88,9,17,13,10,8,0,0,52,279,505,372,235,214,22,5,1631,42,63,35,42,14,0,0,198,33,47,28,20,11,0,0,135,69,108,62,61,26,0,0,338,352,613,436,297,238,26,3,1965,771,877,525,327,148,16,5,2674,37,42,27,26,7,0,0,131,1158,1530,996,645,401,36,9,4771,150,308,254,181,170,15,3,1079
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,134,453,352,262,379,151,66,1785,31,49,56,51,76,22,19,303,7,18,17,7,12,5,0,62,20,4,3,0,0,0,0,35,187,524,424,317,465,180,87,2188,5,19,11,12,14,0,0,65,0,16,9,0,4,3,0,25,8,32,22,12,13,3,0,94,194,558,448,329,486,185,89,2280,54,86,65,56,80,35,18,384,4,7,0,0,3,0,0,18,256,649,518,378,568,219,106,2686,512,1313,991,788,1129,454,215,5400,564,935,608,367,510,158,82,3217,119,84,40,26,45,24,12,361,28,21,14,4,14,8,3,87,1219,2361,1649,1189,1703,637,308,9064,29,46,36,31,30,13,12,196,56,88,53,35,40,16,6,289,89,134,83,65,72,27,20,482,1312,2490,1738,1253,1769,665,321,9550,866,916,509,306,390,123,99,3209,21,23,15,11,10,0,0,81,2192,3430,2263,1569,2176,791,422,12841,642,1764,1340,1052,1510,603,279,7189
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,8,6,0,5,0,0,14,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,5,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,5,0,0,18,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,9,3,6,0,0,26,6,8,9,5,9,0,0,31,11,14,9,3,8,0,0,40,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,11,17,17,13,13,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,21,18,20,13,0,0,82,0,4,3,4,3,0,0,19,4,0,0,0,0,0,0,3,16,25,25,23,18,0,0,103,5,14,10,8,6,0,0,48
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
