GCCSA_CODE_2021,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
39499,0,0,0,0,0,0,0,0,0,4,5,7,0,0,0,0,0,0,0,10,15,22,0,5,7,7,4,8,0,64,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,3,0,12,0,10,0,4,0,0,0,0,0,11,39,85,13,28,3,6,9,52,3,237,0,0,0,0,0,0,0,0,0,6,6,3,5,5,0,0,4,3,0,35,9,16,11,11,8,7,7,16,0,95,34,12,197,28,19,20,94,97,15,515,4,3,4,0,0,10,3,6,0,33,0,3,8,0,0,0,4,6,0,29,0,3,0,0,0,0,3,0,0,8,3,0,11,5,3,0,3,10,13,50,118,174,240,84,41,46,141,208,39,1092,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,8,12,40,3,6,8,4,0,10,0,84,0,0,0,0,0,0,0,0,0,5
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,10,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,12,0,0,0,0,0,7,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,73,204,10,20,26,7,9,3,6,357,677,4449,106,63,109,13,24,53,36,5529,4571,9842,1072,1406,1781,763,983,960,286,21657,154,382,42,56,55,25,37,27,16,773,1015,2884,197,293,363,98,86,112,49,5100,496,678,70,104,152,36,13,25,19,1586,11354,32603,4831,4696,5040,2753,2491,3266,809,67839,21,10,37,31,14,3,19,10,6,165,2510,2767,2024,1507,917,557,636,666,155,11730,4087,3680,3905,2699,1782,1213,1570,1445,314,20698,9929,4029,38523,6286,4566,3902,7640,7985,1580,84437,384,258,775,459,326,440,581,846,61,4139,816,514,737,624,417,441,536,557,105,4745,291,466,327,213,138,109,180,252,51,2021,577,547,678,411,251,276,611,614,692,4658,36946,63330,53316,18871,15936,10642,15402,16822,4170,235423,74,459,7,47,42,7,0,0,11,650,511,3726,80,92,190,26,3,17,29,4675,3026,13035,571,2994,2405,653,102,768,266,23812,135,631,14,97,83,29,0,29,18,1035
4RSAU,8,19,0,7,0,0,0,0,0,38,70,190,6,0,10,0,0,3,0,283,316,612,66,71,57,51,28,50,19,1269,18,27,3,0,0,0,0,0,0,51,156,280,33,34,23,9,10,24,4,571,53,57,17,18,4,0,0,10,3,167,1635,3129,427,409,238,175,178,444,62,6691,13,0,4,4,0,0,9,0,6,39,697,408,270,264,97,77,107,170,21,2110,1027,525,504,416,222,189,232,277,46,3438,4996,952,12477,1497,788,1061,3576,3832,601,29786,282,44,209,121,56,118,235,405,24,1503,443,101,179,118,64,84,215,298,33,1543,92,51,61,32,16,16,53,86,5,414,381,99,252,103,46,109,296,411,210,1912,10184,6497,14516,3092,1634,1898,4944,6010,1043,49812,17,65,0,0,0,0,0,0,0,87,53,213,7,6,15,0,0,0,0,292,281,1193,33,145,113,46,9,45,18,1887,10,64,0,3,3,6,0,0,0,94
49499,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,6,0,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,26,9,0,0,0,0,15,3,59,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,10,0,6,0,0,0,0,0,0,0,17,8,3,49,8,6,5,17,20,4,121,0,0,0,0,4,3,0,3,0,9,0,0,0,0,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,7,0,17,30,51,59,18,14,18,31,45,7,264,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,145,367,24,24,36,7,11,11,7,626,915,6057,130,77,124,41,51,57,64,7513,8085,17501,1563,1273,2117,933,1218,1030,407,34128,274,665,48,47,86,32,37,22,26,1243,1735,4781,361,384,465,137,167,172,61,8248,718,1018,134,237,206,48,51,33,27,2481,20618,53983,8415,6029,7465,4023,4606,4186,1264,110587,44,43,91,46,15,14,35,41,7,338,4603,4993,4617,1850,1520,970,1653,1195,303,21700,6337,5601,8081,3655,2428,1886,3076,2291,436,33791,14175,6568,71563,7667,5789,4662,15697,12263,2557,140943,511,318,1419,951,442,863,1239,1816,81,7635,1023,693,1418,768,482,532,1116,900,108,7039,717,1054,840,316,264,178,485,430,97,4386,899,1002,1526,607,411,416,1127,1005,1303,8292,60792,104638,100239,23934,21852,14732,30559,25446,6749,388951,133,826,24,53,97,22,5,5,10,1170,573,5065,96,108,250,45,7,31,47,6224,4685,18542,869,2641,3494,1131,171,811,303,32637,249,1124,24,122,159,38,12,34,20,1791
5RWAU,5,35,0,0,0,0,0,0,0,49,99,372,9,9,13,0,10,5,8,532,630,1267,135,104,88,31,79,87,24,2444,27,53,11,4,0,0,3,0,0,93,212,636,41,61,44,16,30,37,3,1099,114,132,31,38,17,5,4,8,5,366,2819,5495,1118,662,447,274,522,732,109,12175,10,10,18,5,0,5,5,12,0,67,1048,781,735,319,181,153,352,281,56,3898,1357,915,1366,657,277,235,526,466,85,5886,5319,1652,24023,1796,1172,1106,6648,4496,922,47136,231,112,490,196,108,257,483,608,38,2522,366,136,288,148,56,128,363,330,36,1850,144,98,145,37,20,23,104,136,15,725,404,174,444,147,42,116,518,465,330,2651,12793,11859,28862,4181,2478,2359,9652,7663,1634,81492,33,106,3,4,8,0,0,4,3,163,64,360,6,12,23,0,0,7,4,497,519,1923,62,217,246,79,19,67,14,3152,27,137,0,12,16,4,0,0,4,201
59499,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,6,15,5,5,0,3,0,0,0,30,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,4,13,48,11,12,6,9,9,23,0,123,0,0,0,0,0,0,0,0,0,0,3,4,6,5,0,0,3,4,0,24,7,8,16,5,7,0,4,8,0,55,10,14,149,10,7,6,46,45,5,296,0,0,4,0,0,0,3,9,0,16,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,3,4,3,16,40,106,188,38,25,15,72,95,13,595,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,11,0,17,0,6,3,0,0,8,0,38,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,5,0,0,0,0,13,0,33,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,10,0,0,6,0,0,0,0,3,0,15,4,6,41,0,0,0,13,15,3,100,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,4,4,34,59,0,3,0,20,49,12,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,3,43,3,0,0,4,0,3,0,60,153,1014,32,13,28,4,6,11,12,1267,849,1820,428,497,348,303,320,548,78,5178,34,66,8,8,5,11,11,18,4,160,172,564,36,53,53,20,17,22,5,942,138,195,21,36,32,4,0,4,3,429,1981,5433,1070,1003,798,494,413,704,161,12059,3,9,7,0,0,0,0,0,0,24,375,384,291,224,149,79,57,92,29,1681,684,569,635,418,310,171,126,209,58,3183,2114,714,7205,1225,756,581,1070,1252,280,15202,64,39,117,108,63,76,79,136,13,699,115,78,97,123,64,53,69,98,14,700,49,65,51,46,24,21,20,36,12,323,104,88,146,94,54,53,104,116,112,874,6840,11074,10148,3837,2674,1883,2291,3257,769,42781,7,89,0,3,8,8,0,0,0,120,143,956,21,23,50,5,6,4,14,1212,713,2924,133,919,630,323,19,306,80,6053,27,101,5,18,23,8,0,0,4,188
6RTAS,9,31,0,6,6,4,0,3,0,51,88,437,12,17,18,0,4,13,3,594,456,925,210,235,115,87,183,325,38,2576,16,43,7,7,5,5,0,4,6,88,97,370,34,44,22,6,10,22,12,613,73,121,19,34,21,8,3,7,7,281,1485,3718,601,644,365,221,262,544,102,7942,5,3,9,0,0,0,0,0,0,19,553,447,290,192,124,72,80,114,15,1893,805,534,551,365,249,188,170,229,63,3161,3752,810,10069,1241,810,802,2838,2429,426,23176,102,49,151,106,56,94,196,293,11,1055,131,70,136,104,47,76,134,142,19,855,46,58,49,48,17,8,32,61,13,340,216,90,192,96,35,68,250,268,189,1409,7834,7711,12328,3132,1901,1638,4167,4454,890,44057,6,63,0,0,0,0,0,0,0,76,68,411,8,17,32,3,0,0,10,546,337,1653,66,367,201,80,3,150,22,2884,20,77,0,12,8,0,0,0,5,124
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,6,4,21,4,0,0,7,7,0,51,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,9,11,12,31,8,0,3,7,20,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,4,17,0,4,0,0,0,0,3,31,60,340,12,4,11,0,3,0,4,438,472,1009,164,307,259,165,109,148,46,2676,19,32,10,13,6,4,0,5,0,88,121,273,19,39,28,5,4,4,3,505,79,80,6,29,19,6,0,3,4,225,1052,2577,603,695,486,229,271,281,86,6282,0,3,10,4,3,6,0,0,5,26,268,235,206,204,97,37,63,65,15,1185,514,378,529,577,238,95,139,141,57,2673,1315,532,5326,1035,569,337,914,748,220,10999,50,38,93,106,40,49,60,97,9,543,75,53,116,84,55,39,65,72,4,562,28,55,40,40,14,9,29,23,8,240,57,61,128,86,42,36,74,68,106,655,4119,5689,7264,3221,1873,1005,1737,1649,566,27125,7,36,0,0,3,0,0,0,0,50,52,335,9,8,28,0,0,0,5,442,472,1600,55,361,375,147,10,69,37,3123,26,79,0,10,16,3,0,3,0,142
7RNTE,8,3,0,0,0,0,0,0,0,16,16,79,3,5,0,0,0,0,0,100,198,325,43,100,79,28,8,13,17,808,9,10,0,0,0,0,0,0,0,18,37,101,7,16,14,0,3,4,0,175,25,32,3,17,0,0,0,0,0,79,385,889,174,301,125,54,52,102,29,2110,0,0,3,5,0,0,0,0,0,9,96,96,67,101,27,24,14,26,7,443,179,164,156,309,67,32,46,52,14,1023,636,272,1953,582,180,118,376,484,96,4694,25,60,30,71,14,11,31,65,12,324,37,46,36,82,15,3,22,41,10,290,0,12,15,4,4,0,9,3,6,60,48,59,59,87,16,19,53,86,74,497,1682,2150,2538,1682,543,288,615,886,258,10644,4,26,0,0,7,0,0,0,0,35,21,104,0,7,0,0,0,0,6,134,185,666,17,86,115,23,0,20,10,1123,4,33,0,0,6,0,0,0,0,39
79499,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,9,0,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,11,5,0,0,3,0,9,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,3,0,13,13,5,20,7,3,6,13,20,0,77,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,7,15,23,37,30,16,11,4,12,40,8,182,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,0,0,10,0,13,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,6,6,0,0,0,19,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,42,109,3,3,10,0,6,3,4,179,809,3176,72,36,169,8,13,14,54,4351,4838,7891,695,763,1431,631,448,622,367,17696,107,221,18,21,48,20,9,17,7,466,838,1683,99,139,276,34,23,27,44,3163,463,500,44,77,138,9,12,3,22,1270,6915,15423,1954,1810,2886,946,648,944,631,32151,6,6,12,8,0,0,0,0,0,40,1041,1093,600,414,454,163,159,167,71,4170,1733,1636,1274,963,837,335,274,362,183,7598,2621,1598,8603,1600,1377,670,1081,1389,376,19311,122,129,141,211,114,117,71,125,11,1041,207,233,210,178,126,85,108,125,38,1309,122,240,97,65,58,36,36,43,17,716,168,259,204,124,118,56,107,116,264,1409,20027,34192,14023,6418,8039,3121,2990,3960,2102,94869,38,175,0,10,20,7,0,4,4,253,704,2331,48,52,180,13,0,8,36,3366,4024,8311,269,1237,2039,557,33,292,339,17100,100,261,6,42,65,12,0,5,10,502
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,4,8,3,0,4,0,5,0,31,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,14,7,9,8,0,3,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,10,8,0,3,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,29,42,8,18,7,0,3,4,0,116,0,0,0,0,0,0,0,0,0,3,11,3,11,0,6,4,0,8,0,40,10,0,5,10,8,0,0,3,4,40,60,16,215,24,9,10,22,39,7,409,0,0,6,11,0,0,6,7,0,24,4,0,3,0,0,0,0,0,0,11,0,0,3,0,0,0,0,3,0,11,7,3,10,0,0,0,0,10,6,44,146,87,264,66,33,20,42,63,18,732,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,13,22,0,10,7,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
