Australian Bureau of Statistics

"2021 Census - employment, income and education"
"AGE10P Age in Ten Year Groups and 1-digit level HEAP Level of Highest Educational Attainment by SA1 (UR) by 1-digit level OCCP Occupation"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

" 0-9 years,  Postgraduate Degree Level"
"1-digit level OCCP Occupation","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Total",
"Segment 46",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 47",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 48",0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 50",0,0,0,0,0,0,0,0,0,0,0,0,
"Total",0,0,0,0,0,0,0,0,0,0,0,0,


" 30-39 years,  Postgraduate Degree Level"
"1-digit level OCCP Occupation","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Total",
"SA1 (UR)",
"Segment 01",1801,6042,184,238,698,259,54,78,95,38,1297,10777,
"Segment 02",2667,8198,268,330,996,318,67,102,102,42,1299,14401,
"Segment 03",1394,3943,98,149,424,157,17,44,67,28,775,7100,
"Segment 04",1426,4828,171,246,580,162,44,64,64,14,614,8218,
"Segment 05",1180,4222,155,219,570,131,42,42,57,36,660,7311,
"Segment 06",895,3170,181,333,567,160,111,90,51,22,606,6182,
"Segment 07",1394,4590,394,604,1241,421,239,188,117,56,1490,10738,
"Segment 08",5041,16624,671,893,1860,667,157,288,224,91,2484,28994,
"Segment 09",1890,6335,405,366,1584,577,142,174,120,60,1964,13617,
"Segment 10",1854,6539,415,533,1146,409,206,220,114,58,1758,13263,
"Segment 11",1869,6859,374,493,1296,415,142,178,106,52,1545,13337,
"Segment 12",522,2544,126,186,295,93,42,39,29,15,398,4285,
"Segment 13",2718,10022,982,1787,2556,920,739,569,214,118,3314,23921,
"Segment 14",1716,6702,311,567,754,299,140,191,78,27,1070,11871,
"Segment 15",1630,6167,667,1015,1688,640,494,496,130,79,2300,15307,
"Segment 16",5057,19620,1086,1211,3442,1364,350,549,274,175,5535,38659,
"Segment 17",1096,4039,368,558,943,374,271,262,83,45,1529,9578,
"Segment 18",2371,10545,525,752,1278,535,237,471,133,64,2703,19616,
"Segment 19",1017,3770,199,308,516,134,80,104,68,22,691,6908,
"Segment 20",1769,6815,323,538,881,266,102,214,108,32,1162,12212,
"Segment 21",1709,6705,301,429,700,275,70,161,91,46,1278,11765,
"Segment 22",1980,8261,630,825,1813,875,353,493,169,96,3083,18585,
"Segment 23",1177,4848,283,378,752,206,128,182,72,37,1038,9105,
"Segment 24",505,2303,91,177,209,69,19,33,35,4,342,3792,
"Segment 25",2354,9587,631,1241,1576,552,315,550,159,62,2178,19199,
"Segment 26",922,3569,368,548,940,361,273,300,63,61,1636,9047,
"Segment 27",1250,4938,497,686,1260,422,402,368,89,76,2148,12133,
"Segment 28",375,1841,166,211,312,122,112,122,32,17,556,3873,
"Segment 29",497,2246,191,394,419,149,134,180,48,19,725,4990,
"Segment 30",507,2173,216,565,454,211,194,221,45,20,782,5384,
"Segment 31",1392,6386,617,1130,1007,560,384,634,108,57,2399,14680,
"Segment 32",562,2202,130,245,355,133,116,116,31,12,689,4603,
"Segment 33",451,2302,68,115,196,42,23,28,17,0,268,3503,
"Segment 34",420,2161,81,103,152,40,22,22,23,8,274,3302,
"Segment 35",438,1702,79,132,168,64,17,49,10,4,331,2994,
"Segment 36",346,2351,97,186,183,51,26,61,20,11,301,3628,
"Segment 37",700,3866,256,448,399,166,111,204,32,23,779,6985,
"Segment 38",419,1861,126,226,197,103,51,103,21,14,426,3546,
"Segment 39",84,333,19,32,46,12,13,23,0,0,66,623,
"Segment 40",253,980,75,155,139,42,37,89,13,5,270,2071,
"Segment 41",55,233,8,12,20,7,3,11,5,4,34,388,
"Segment 42",70,211,25,24,24,8,5,24,0,3,43,427,
"Segment 43",169,618,40,65,64,26,18,51,5,5,137,1209,
"Segment 44",364,1362,56,112,132,30,8,66,14,8,212,2350,
"Segment 45",106,401,23,23,34,8,9,25,4,4,70,710,
"Segment 46",193,626,32,70,56,26,17,34,13,3,119,1191,
"Segment 47",45,116,5,6,10,7,7,15,0,0,23,234,
"Segment 48",64,231,13,50,38,21,6,11,0,4,22,457,
"Segment 50",12,49,3,8,0,0,0,0,0,0,8,78,
"Total",56726,216026,13034,19910,34984,12893,6547,8560,3341,1673,53469,427161,


" 30-39 years,  Graduate Diploma and Graduate Certificate Level"
"1-digit level OCCP Occupation","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Total",
"SA1 (UR)",
"Segment 01",368,1381,42,95,170,41,5,8,21,4,227,2355,
"Segment 02",706,2343,52,204,279,58,8,33,22,3,313,4030,
"Segment 03",293,898,23,75,107,32,5,8,10,5,147,1602,
"Segment 04",504,1925,62,213,248,20,7,9,31,7,221,3232,
"Segment 05",420,1543,38,192,173,28,14,13,13,0,232,2669,
"Segment 06",361,1456,44,370,186,33,22,29,18,3,199,2717,
"Segment 07",237,937,47,272,191,40,20,25,13,9,253,2041,
"Segment 08",1202,3887,143,381,498,124,25,64,57,6,423,6810,
"Segment 09",201,833,42,125,162,37,17,11,14,5,194,1627,
"Segment 10",401,1479,61,223,217,46,19,21,15,3,239,2736,
"Segment 11",379,1541,51,211,250,50,19,17,20,11,243,2799,
"Segment 12",287,1230,49,264,155,31,7,10,15,4,170,2225,
"Segment 13",661,3333,134,974,475,134,103,68,37,11,643,6566,
"Segment 14",630,2715,110,464,327,45,17,41,22,3,338,4710,
"Segment 15",239,1199,62,308,195,40,38,37,16,9,259,2404,
"Segment 16",829,2624,137,292,439,111,43,101,35,13,543,5165,
"Segment 17",207,945,55,182,187,44,27,27,12,4,186,1876,
"Segment 18",569,2112,69,215,272,45,26,52,22,5,243,3639,
"Segment 19",339,1678,50,295,201,37,9,24,20,4,220,2874,
"Segment 20",584,2580,78,333,277,59,17,32,24,3,294,4273,
"Segment 21",348,1224,59,141,137,46,10,29,8,0,179,2193,
"Segment 22",272,920,69,178,188,53,23,49,21,9,284,2063,
"Segment 23",324,1217,47,139,182,40,8,22,15,3,201,2201,
"Segment 24",244,1160,41,250,119,23,4,10,17,6,172,2054,
"Segment 25",638,2642,95,371,372,91,29,55,27,7,394,4729,
"Segment 26",131,602,34,206,121,28,25,26,10,3,260,1457,
"Segment 27",224,950,52,289,160,38,30,30,6,3,370,2154,
"Segment 28",101,509,24,127,91,19,18,14,7,0,125,1035,
"Segment 29",129,794,45,269,135,29,21,31,12,0,174,1635,
"Segment 30",158,928,51,318,157,26,20,34,9,3,203,1904,
"Segment 31",383,1766,90,450,249,69,45,81,28,3,378,3541,
"Segment 32",142,530,21,137,96,21,11,17,3,0,133,1099,
"Segment 33",270,1233,39,274,140,16,11,14,9,0,156,2169,
"Segment 34",220,1139,32,195,114,19,7,13,6,8,142,1883,
"Segment 35",167,822,32,157,97,21,5,11,9,3,113,1447,
"Segment 36",217,1294,37,346,123,25,7,23,12,0,168,2250,
"Segment 37",324,1753,68,497,207,47,20,42,10,0,268,3231,
"Segment 38",153,833,28,230,79,24,11,26,13,0,130,1521,
"Segment 39",30,158,5,46,20,3,3,0,0,0,33,303,
"Segment 40",69,370,17,123,55,14,3,17,3,5,86,764,
"Segment 41",35,184,4,42,20,5,4,5,0,0,19,315,
"Segment 42",28,120,3,26,5,3,0,3,0,0,13,209,
"Segment 43",66,363,23,92,45,11,6,19,0,0,63,678,
"Segment 44",145,732,35,180,92,17,9,16,4,0,132,1361,
"Segment 45",59,296,7,66,20,11,0,9,3,0,60,528,
"Segment 46",112,453,13,88,48,8,6,10,0,0,79,818,
"Segment 47",21,39,0,16,9,0,5,8,0,0,7,103,
"Segment 48",27,118,7,39,10,0,0,4,0,0,17,224,
"Segment 50",3,38,0,0,0,0,0,3,0,0,3,50,
"Total",14458,59822,2322,10969,8093,1772,784,1271,669,180,9952,110293,


" 30-39 years,  Bachelor Degree Level"
"1-digit level OCCP Occupation","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Total",
"SA1 (UR)",
"Segment 01",3807,10957,656,808,1649,742,133,267,219,57,2788,22090,
"Segment 02",6731,16643,1092,1475,2863,1096,186,329,252,105,3549,34328,
"Segment 03",3612,7980,503,656,1351,652,96,194,165,57,2154,17410,
"Segment 04",3936,12202,844,1373,2078,612,158,270,184,60,2144,23861,
"Segment 05",3323,9831,644,1077,1861,556,153,239,134,55,2118,19990,
"Segment 06",2448,10076,810,1611,1886,533,315,359,145,56,2052,20286,
"Segment 07",2521,8939,984,1448,2249,740,613,467,199,113,3188,21461,
"Segment 08",11995,29625,2396,3092,5081,2470,569,1156,522,164,5811,62881,
"Segment 09",3056,8592,943,966,2282,1025,313,392,220,90,3550,21437,
"Segment 10",3966,11586,1142,1541,2454,916,533,509,230,97,3584,26561,
"Segment 11",4125,12366,1220,1481,2918,1042,322,495,220,113,3517,27820,
"Segment 12",1978,7992,600,1064,1453,454,165,255,103,44,1592,15699,
"Segment 13",6059,24922,2817,4768,5293,1950,1885,1422,414,171,7005,56710,
"Segment 14",4671,17070,1473,2413,2975,942,471,654,229,64,3212,34192,
"Segment 15",2856,11320,1415,2075,2667,949,979,925,233,94,3710,27225,
"Segment 16",8859,26922,2947,3338,5348,2456,896,2074,527,255,8748,62366,
"Segment 17",2297,8538,1241,1608,2103,770,638,787,146,74,3249,21451,
"Segment 18",4429,13664,1386,1845,2466,979,423,979,238,75,3297,29779,
"Segment 19",2867,10309,864,1548,1867,569,252,392,152,49,2065,20927,
"Segment 20",4688,15250,1216,1916,2785,875,315,571,243,73,3032,30965,
"Segment 21",3814,10132,1162,1534,1592,887,263,809,209,66,2737,23209,
"Segment 22",3032,11127,1468,1770,2538,1227,656,947,258,122,4869,28019,
"Segment 23",3097,8875,884,1151,1937,735,321,442,151,76,2367,20037,
"Segment 24",1747,7232,564,1005,1173,373,111,272,98,32,1372,13983,
"Segment 25",5191,17617,2017,2901,3617,1350,642,1157,316,122,4377,39298,
"Segment 26",1821,6608,969,1219,1933,676,650,710,163,89,3606,18447,
"Segment 27",2573,9044,1385,1735,2679,987,857,819,219,128,4873,25307,
"Segment 28",1261,4189,616,737,1260,427,298,424,110,40,1626,10989,
"Segment 29",1293,5529,726,1175,1221,460,379,457,95,36,1884,13262,
"Segment 30",1291,5607,867,1325,1346,500,369,605,121,42,2050,14109,
"Segment 31",3277,12916,1895,3060,2428,1223,895,1672,201,96,4644,32324,
"Segment 32",1293,4151,489,827,925,371,280,375,60,25,1695,10498,
"Segment 33",1790,8112,447,1079,1200,331,113,192,95,22,1225,14599,
"Segment 34",1699,6996,468,901,1004,272,67,205,79,20,1172,12873,
"Segment 35",1324,5286,394,730,806,291,70,229,72,39,1226,10469,
"Segment 36",1558,8235,580,1142,1113,321,122,333,78,11,1397,14895,
"Segment 37",2366,11485,1044,1913,1682,580,275,765,127,36,2442,22714,
"Segment 38",1361,5462,590,1054,797,351,120,408,68,40,1449,11711,
"Segment 39",371,1133,105,166,197,55,28,102,20,5,258,2447,
"Segment 40",822,2770,289,561,539,151,131,295,36,26,800,6416,
"Segment 41",412,1322,90,179,231,48,27,107,10,7,254,2689,
"Segment 42",269,738,78,88,125,35,17,85,10,0,173,1614,
"Segment 43",648,2338,204,366,360,111,81,322,38,21,582,5072,
"Segment 44",1722,5064,410,791,855,226,85,396,69,38,1216,10876,
"Segment 45",707,1676,132,247,252,65,36,214,28,10,398,3766,
"Segment 46",1284,3082,212,392,519,133,78,233,32,15,640,6629,
"Segment 47",244,426,66,59,74,18,30,82,0,4,87,1091,
"Segment 48",191,663,36,192,102,42,21,34,3,10,273,1565,
"Segment 50",48,177,24,36,19,12,4,7,0,0,67,400,
"Total",134753,442796,43405,64432,86143,32567,16456,25456,7535,3057,120124,976734,


" 30-39 years,  Advanced Diploma and Diploma Level"
"1-digit level OCCP Occupation","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Total",
"SA1 (UR)",
"Segment 01",806,729,425,488,509,281,72,122,33,12,759,4244,
"Segment 02",1590,1547,927,1145,1233,525,142,247,75,15,1307,8757,
"Segment 03",815,748,390,471,497,260,46,96,35,19,713,4084,
"Segment 04",1718,1697,1032,1571,1615,493,178,239,89,20,1263,9911,
"Segment 05",1324,1196,814,1162,1136,395,146,202,68,17,1072,7522,
"Segment 06",1763,1564,1364,2544,1941,638,478,380,137,25,1750,12581,
"Segment 07",1193,1053,1137,1693,1392,547,759,389,105,39,2009,10309,
"Segment 08",2562,2882,1772,1901,1928,930,323,490,131,43,2194,15152,
"Segment 09",766,650,638,670,621,402,207,290,49,31,1454,5781,
"Segment 10",1295,1291,1014,1366,1236,537,447,328,84,35,1751,9382,
"Segment 11",1360,1225,1152,1325,1302,574,324,310,99,37,1865,9583,
"Segment 12",1372,1239,1050,1910,1537,493,227,290,94,33,1279,9529,
"Segment 13",3618,3133,3577,6103,4034,1576,2763,1356,286,112,4793,31356,
"Segment 14",2224,2215,1723,2982,2141,821,496,506,158,31,2034,15328,
"Segment 15",1093,1040,1110,1734,1294,519,1025,556,99,40,1741,10250,
"Segment 16",2067,2124,2039,1713,1472,939,480,816,133,57,3316,15151,
"Segment 17",809,867,1130,1290,976,446,624,450,80,21,1615,8314,
"Segment 18",966,1152,911,880,829,397,202,361,55,16,1016,6795,
"Segment 19",1368,1486,1140,1998,1625,489,317,347,106,21,1518,10419,
"Segment 20",1749,1750,1358,2023,1694,633,284,393,123,31,1654,11693,
"Segment 21",923,1019,904,923,497,354,127,342,55,19,1223,6383,
"Segment 22",817,728,1120,1001,816,501,425,554,77,44,2018,8103,
"Segment 23",948,958,848,881,925,390,268,325,59,27,1241,6860,
"Segment 24",1032,1069,827,1562,1119,421,151,274,89,24,1075,7639,
"Segment 25",1676,1847,1814,2141,1670,728,510,611,132,36,2118,13291,
"Segment 26",734,700,966,1218,929,404,607,484,84,43,2407,8577,
"Segment 27",1130,1054,1360,1658,1495,665,807,607,128,41,3623,12572,
"Segment 28",466,477,574,783,667,257,313,330,56,20,1319,5264,
"Segment 29",956,946,990,1709,1142,490,440,467,89,30,1743,8993,
"Segment 30",954,1012,1035,2000,1236,462,451,443,91,25,1727,9435,
"Segment 31",1552,1544,1918,2815,1564,773,757,945,124,45,2647,14700,
"Segment 32",446,557,447,871,558,277,239,242,46,15,1455,5157,
"Segment 33",1319,1308,1002,2068,1599,426,229,258,102,15,1166,9495,
"Segment 34",949,998,738,1442,1097,316,134,188,51,21,872,6812,
"Segment 35",705,686,521,1078,655,272,100,223,35,15,862,5142,
"Segment 36",1033,1158,877,2343,1292,465,222,375,77,18,1328,9192,
"Segment 37",1451,1571,1315,2878,1673,670,367,638,115,31,2045,12772,
"Segment 38",792,682,716,1352,714,354,126,325,46,17,1084,6212,
"Segment 39",213,136,150,318,209,70,46,63,13,8,214,1435,
"Segment 40",481,357,365,769,524,165,129,238,26,17,653,3721,
"Segment 41",284,170,124,293,253,63,39,83,9,4,209,1529,
"Segment 42",146,100,84,167,93,34,30,75,7,3,123,876,
"Segment 43",466,328,307,647,401,128,88,224,27,12,468,3095,
"Segment 44",1020,697,591,1178,859,252,176,318,70,19,906,6089,
"Segment 45",485,238,193,415,271,89,46,154,12,5,274,2179,
"Segment 46",653,353,275,663,473,147,85,195,22,12,418,3296,
"Segment 47",134,72,82,82,75,18,54,56,5,0,77,654,
"Segment 48",106,119,50,258,100,34,9,31,4,0,122,843,
"Segment 50",26,36,30,36,33,11,3,13,0,0,46,236,
"Total",52358,50518,44901,68512,51956,21144,16529,17266,3680,1239,68570,396674,


" 30-39 years,  Certificate III & IV Level"
"1-digit level OCCP Occupation","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Total",
"SA1 (UR)",
"Segment 01",630,283,1332,352,415,210,170,192,41,26,698,4347,
"Segment 02",1559,637,4058,838,1047,431,376,525,112,57,1420,11058,
"Segment 03",786,248,1666,365,428,234,157,262,51,29,737,4968,
"Segment 04",2025,927,6842,1355,1928,635,894,855,167,68,1975,17666,
"Segment 05",1426,672,4965,905,1357,494,603,629,121,67,1656,12891,
"Segment 06",2310,1144,9331,2537,3084,1086,1684,1406,292,99,3080,26064,
"Segment 07",912,525,3404,1256,1250,532,786,727,131,67,2171,11763,
"Segment 08",1790,1130,5135,1253,1432,681,493,737,134,72,1928,14795,
"Segment 09",380,191,1231,377,340,233,184,228,48,35,1064,4305,
"Segment 10",1027,513,3334,967,1080,472,534,546,100,57,1938,10579,
"Segment 11",1061,517,3897,939,1196,494,533,633,103,66,2063,11509,
"Segment 12",1995,878,8307,1781,2331,797,1239,1333,223,120,2536,21536,
"Segment 13",3797,1943,14744,5123,4761,2036,3552,3009,462,212,6106,45746,
"Segment 14",2742,1627,10603,3177,3380,1333,2196,1771,331,138,3825,31114,
"Segment 15",822,527,2819,1201,1145,410,769,634,97,60,1755,10243,
"Segment 16",1105,802,2855,1047,1015,510,367,571,98,50,1776,10198,
"Segment 17",748,461,3178,1092,987,387,751,702,94,41,1902,10355,
"Segment 18",690,521,1791,624,672,295,215,358,58,35,974,6233,
"Segment 19",1914,1019,8009,2113,2349,942,1276,1330,249,94,3085,22379,
"Segment 20",2042,940,7299,1826,2079,803,975,1217,195,102,2717,20205,
"Segment 21",631,378,1735,577,428,240,173,313,50,22,893,5451,
"Segment 22",422,290,1326,619,433,234,263,340,53,26,1204,5199,
"Segment 23",741,355,2824,705,749,371,364,510,96,38,1492,8247,
"Segment 24",1666,750,6524,1668,1822,703,979,1237,183,65,2404,18009,
"Segment 25",1508,951,5617,1781,1822,704,836,1031,150,65,2714,17178,
"Segment 26",452,277,1957,851,731,278,561,507,63,44,2542,8272,
"Segment 27",810,410,3244,1249,1148,457,827,860,109,82,3992,13194,
"Segment 28",451,280,1832,761,621,311,528,545,68,45,1632,7085,
"Segment 29",1205,669,5200,2056,1820,816,1328,1413,160,94,3575,18345,
"Segment 30",1401,806,5993,2362,2048,983,1346,1623,202,100,3841,20704,
"Segment 31",1698,1083,7413,2958,2255,1123,1792,1859,265,103,4911,25457,
"Segment 32",535,335,2269,1164,771,394,581,717,87,59,3304,10214,
"Segment 33",2479,1080,9924,2360,3021,1145,1912,1602,309,122,2762,26711,
"Segment 34",1765,673,6616,1593,1827,718,1087,1113,195,98,2121,17806,
"Segment 35",1234,467,4391,1237,1137,552,678,925,96,74,1947,12745,
"Segment 36",2256,1012,9189,3554,2819,1411,1959,2285,257,110,4279,29134,
"Segment 37",2756,1318,11225,4431,3230,1767,2323,2957,325,176,5876,36389,
"Segment 38",1187,497,4506,1689,1207,704,803,1239,121,76,2612,14642,
"Segment 39",455,137,1445,354,348,151,352,373,37,27,582,4268,
"Segment 40",885,320,2922,877,877,366,629,690,94,48,1469,9177,
"Segment 41",712,162,1958,421,513,197,569,431,58,20,577,5624,
"Segment 42",288,80,726,203,197,110,152,231,19,5,287,2308,
"Segment 43",951,263,2690,735,758,314,526,688,81,47,1127,8173,
"Segment 44",2425,592,6229,1624,1642,649,1525,1591,190,100,2479,19046,
"Segment 45",1168,187,2000,553,551,238,534,679,45,39,812,6812,
"Segment 46",2003,341,2839,869,905,403,776,986,67,51,1193,10438,
"Segment 47",380,49,851,113,155,35,348,235,21,20,210,2409,
"Segment 48",243,231,580,485,279,86,186,235,17,32,1059,3436,
"Segment 50",61,19,273,65,58,27,57,44,7,8,130,753,
"Total",62516,29543,219102,67045,66453,28522,41750,44935,6542,3305,105460,675161,


" 30-39 years,  Secondary Education - Years 10 and above"
"1-digit level OCCP Occupation","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Total",
"SA1 (UR)",
"Segment 01",886,542,338,340,687,384,200,316,68,31,1471,5268,
"Segment 02",1570,1062,755,671,1551,810,536,699,146,65,2554,10415,
"Segment 03",934,543,382,332,632,408,194,346,57,41,1372,5240,
"Segment 04",1654,1012,1136,762,2217,1073,1049,1089,169,79,2987,13241,
"Segment 05",1299,745,872,568,1603,782,721,920,125,61,2586,10275,
"Segment 06",2156,1048,1698,1255,3380,1674,2447,2196,279,133,4645,20911,
"Segment 07",1202,631,1038,713,1778,859,1744,1398,200,121,4439,14135,
"Segment 08",2666,2136,1311,1225,2177,1363,723,1121,237,111,3305,16373,
"Segment 09",734,496,649,324,705,486,439,641,100,106,3162,7837,
"Segment 10",1223,796,910,631,1533,788,1064,1100,177,90,3851,12175,
"Segment 11",1306,774,1043,656,1783,957,1113,1111,160,116,4243,13267,
"Segment 12",1504,772,1426,912,2423,1246,1489,1678,204,108,3646,15414,
"Segment 13",3917,1853,3338,2497,5709,3422,5391,4579,590,273,9572,41139,
"Segment 14",2569,1611,2051,1949,3774,2155,2863,2888,349,169,6224,26599,
"Segment 15",1093,637,877,678,1460,862,1512,1240,143,83,3200,11787,
"Segment 16",2004,1672,1271,1123,1901,1054,790,1277,210,145,4649,16103,
"Segment 17",891,566,1004,766,1532,792,1617,1494,155,103,4223,13127,
"Segment 18",1075,980,674,630,1049,587,439,694,104,68,1890,8195,
"Segment 19",1706,980,1594,1056,2491,1399,1932,2098,252,115,4840,18460,
"Segment 20",1929,1164,1397,1112,2347,1301,1259,1784,243,92,4561,17199,
"Segment 21",1111,799,624,714,678,486,303,584,88,66,1948,7398,
"Segment 22",656,531,847,574,763,535,703,1028,128,118,3733,9621,
"Segment 23",1025,601,774,493,1199,648,676,923,137,80,3126,9686,
"Segment 24",1284,643,1110,835,1783,1176,1121,1463,159,88,3344,13002,
"Segment 25",1875,1255,1510,1260,2391,1279,1534,1976,267,120,5218,18674,
"Segment 26",781,424,932,643,1219,666,1638,1561,200,147,6896,15103,
"Segment 27",1158,615,1431,911,1918,1019,2218,2062,258,190,9901,21687,
"Segment 28",711,369,875,725,1024,642,1396,1681,163,142,4891,12606,
"Segment 29",1235,604,1309,1005,1914,1334,2289,2485,210,145,6640,19173,
"Segment 30",1411,660,1602,1235,2252,1563,2435,2903,270,98,7225,21664,
"Segment 31",1895,1066,2010,2042,2522,1995,2984,3584,298,186,12113,30688,
"Segment 32",704,431,759,727,945,790,1321,1705,133,109,8317,15944,
"Segment 33",1655,708,1290,1122,2493,1470,1959,1956,185,86,3575,16499,
"Segment 34",1094,513,834,756,1596,971,1067,1324,140,90,2993,11383,
"Segment 35",906,398,683,698,1054,889,765,1212,112,63,3027,9808,
"Segment 36",1638,657,1554,1662,2304,2010,2308,3344,186,154,6826,22638,
"Segment 37",2196,1006,2176,2228,2875,2743,2901,4770,347,234,10543,32016,
"Segment 38",1075,473,1019,1049,1106,1155,962,2029,122,86,4970,14037,
"Segment 39",375,91,268,181,320,225,331,487,36,26,1002,3357,
"Segment 40",877,263,627,448,942,597,933,1387,101,63,2630,8861,
"Segment 41",536,96,245,220,523,337,546,708,41,25,1140,4408,
"Segment 42",275,68,116,106,151,128,181,396,17,11,509,1967,
"Segment 43",888,192,428,369,680,513,660,1354,67,60,1964,7178,
"Segment 44",1651,444,1062,839,1414,947,1497,2180,184,114,5857,16190,
"Segment 45",858,110,301,229,435,311,462,803,46,37,1246,4848,
"Segment 46",1666,226,555,472,797,554,872,1319,60,55,2291,8872,
"Segment 47",362,38,148,83,155,52,466,340,32,17,493,2183,
"Segment 48",203,322,215,596,354,225,291,541,30,86,9255,12117,
"Segment 50",52,20,53,40,59,46,69,78,4,3,195,608,
"Total",62464,33656,49126,40454,76579,47726,62390,74880,7990,4813,209300,669377,


" 30-39 years,  Certificate I & II Level"
"1-digit level OCCP Occupation","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Total",
"SA1 (UR)",
"Segment 01",0,0,0,0,0,0,0,0,0,0,0,6,
"Segment 02",0,0,0,3,0,4,0,0,0,0,8,12,
"Segment 03",0,0,0,0,0,0,0,0,0,0,3,8,
"Segment 04",0,0,3,0,0,0,5,0,0,0,8,19,
"Segment 05",3,0,0,0,0,0,0,0,0,0,4,11,
"Segment 06",0,0,3,0,3,5,5,10,0,0,23,51,
"Segment 07",0,0,6,6,0,0,0,9,0,0,27,54,
"Segment 08",0,0,0,0,4,3,0,4,0,0,14,22,
"Segment 09",0,0,3,5,0,0,0,3,0,0,3,15,
"Segment 10",0,0,0,0,6,0,3,3,0,0,16,34,
"Segment 11",0,0,0,6,0,0,4,8,0,0,15,33,
"Segment 12",0,0,4,3,6,0,3,7,0,0,25,51,
"Segment 13",3,0,9,11,7,9,14,27,0,0,48,125,
"Segment 14",4,0,3,3,4,0,4,11,0,0,25,64,
"Segment 15",0,0,4,0,0,3,3,3,3,0,22,36,
"Segment 16",0,0,3,0,0,0,0,3,0,0,13,24,
"Segment 17",0,0,0,4,0,0,4,11,0,0,27,49,
"Segment 18",0,0,4,0,0,0,0,3,0,0,4,17,
"Segment 19",0,0,3,0,0,0,0,7,0,0,30,48,
"Segment 20",0,3,0,7,0,3,9,11,0,0,21,46,
"Segment 21",0,0,0,4,0,0,0,5,0,0,13,21,
"Segment 22",0,0,0,4,0,0,0,3,0,0,11,22,
"Segment 23",0,0,0,0,0,0,4,0,0,0,9,16,
"Segment 24",0,0,0,4,10,0,0,7,0,0,13,31,
"Segment 25",0,0,6,3,4,0,7,12,0,0,27,59,
"Segment 26",0,0,9,4,0,0,3,12,0,0,39,74,
"Segment 27",3,0,6,4,4,4,7,12,0,0,65,114,
"Segment 28",4,0,0,6,0,0,3,10,0,0,25,43,
"Segment 29",0,0,10,7,0,0,4,13,0,0,41,75,
"Segment 30",0,0,6,9,5,3,15,16,0,0,57,107,
"Segment 31",4,4,11,9,8,8,15,21,3,0,67,140,
"Segment 32",0,0,5,5,4,4,4,18,0,0,93,138,
"Segment 33",0,0,6,0,3,0,10,9,0,0,21,52,
"Segment 34",0,0,4,0,7,3,6,10,0,0,15,45,
"Segment 35",0,0,0,0,0,0,10,8,0,0,20,39,
"Segment 36",0,0,4,16,0,4,10,26,0,4,59,129,
"Segment 37",3,8,14,13,5,17,18,30,0,0,108,212,
"Segment 38",3,0,5,0,0,8,3,16,0,0,31,70,
"Segment 39",0,0,0,0,0,0,3,0,0,0,3,9,
"Segment 40",0,0,0,0,0,0,7,6,0,0,10,35,
"Segment 41",7,0,0,3,0,0,0,0,0,0,4,15,
"Segment 42",0,0,0,0,0,0,0,0,0,0,6,9,
"Segment 43",0,0,3,0,0,0,0,4,0,0,4,21,
"Segment 44",0,0,3,3,0,3,6,8,0,0,26,55,
"Segment 45",0,0,0,0,3,0,0,0,0,0,8,19,
"Segment 46",5,0,3,3,0,0,0,8,0,0,20,33,
"Segment 47",0,0,0,0,0,0,0,0,0,0,3,4,
"Segment 48",0,9,0,11,4,3,4,10,0,0,34,71,
"Segment 50",0,0,0,0,0,0,0,0,0,0,0,0,
"Total",68,33,158,159,103,102,189,395,15,13,1169,2408,


" 30-39 years,  Secondary Education - Years 9 and below"
