Australian Bureau of Statistics

"2021 Census - employment, income and education"
"AGE10P Age in Ten Year Groups and INCP Total Personal Income (weekly) by SA1 (UR) by LTHP Type of Long-term Health Condition"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

" 0-9 years,  Negative income"
"LTHP Type of Long-term Health Condition","Arthritis","Asthma","Cancer (including remission)","Dementia (including Alzheimer's)","Diabetes (excluding gestational diabetes)","Heart disease (including heart attack or angina)","Kidney disease","Lung condition (including COPD or emphysema)","Mental health condition (including depression or anxiety)","Stroke","Any other long-term health condition(s)","No long-term health condition(s)","Total",
"SA1 (UR)",
"Segment 01",0,73,0,0,5,4,0,4,84,0,34,728,900,
"Segment 02",13,206,4,0,11,4,0,0,174,4,99,1767,2200,
"Segment 03",3,74,0,0,0,6,0,3,73,0,34,876,1050,
"Segment 04",8,187,8,0,15,8,6,4,197,0,87,1938,2385,
"Segment 05",5,148,3,0,7,5,5,0,147,0,82,1501,1845,
"Segment 06",6,151,0,0,9,8,5,0,152,0,75,1628,1978,
"Segment 07",4,121,0,0,4,5,0,0,78,0,59,936,1175,
"Segment 08",0,77,0,0,3,0,0,0,150,0,60,908,1163,
"Segment 09",3,42,0,0,5,0,0,0,46,0,31,548,665,
"Segment 10",3,91,0,0,3,4,0,0,72,0,32,712,903,
"Segment 11",5,129,6,0,4,3,0,0,119,0,56,1234,1520,
"Segment 12",17,195,0,0,15,3,9,6,181,0,85,1633,2064,
"Segment 13",10,220,4,0,11,3,3,0,253,0,110,1781,2304,
"Segment 14",3,188,0,0,5,6,3,0,209,0,101,1625,2069,
"Segment 15",4,50,0,0,0,5,0,0,43,0,26,386,492,
"Segment 16",3,52,4,0,0,0,0,3,84,0,28,541,690,
"Segment 17",3,84,0,0,3,0,0,3,80,0,40,766,948,
"Segment 18",0,115,0,0,0,0,0,0,152,0,40,575,834,
"Segment 19",10,177,4,0,11,5,3,0,191,0,79,1392,1805,
"Segment 20",5,207,10,0,9,4,5,0,178,0,78,1583,1996,
"Segment 21",0,66,0,0,0,0,0,0,117,0,32,560,738,
"Segment 22",0,19,0,0,0,0,0,0,48,0,15,318,387,
"Segment 23",0,54,0,0,5,3,0,0,44,0,19,641,754,
"Segment 24",12,152,3,0,9,4,0,4,170,0,73,1365,1728,
"Segment 25",7,131,4,0,7,5,0,0,139,0,65,999,1289,
"Segment 26",0,67,0,0,5,5,0,5,33,0,17,658,775,
"Segment 27",3,113,4,0,8,3,0,0,73,0,45,1061,1263,
"Segment 28",0,66,0,0,0,0,4,0,48,0,25,474,612,
"Segment 29",3,160,0,0,5,9,0,0,162,0,41,962,1282,
"Segment 30",9,136,0,0,13,5,3,3,164,0,51,1071,1379,
"Segment 31",12,285,3,0,13,10,0,4,370,0,99,1715,2385,
"Segment 32",4,110,0,0,8,10,3,0,134,0,49,690,944,
"Segment 33",10,248,6,0,11,7,3,0,207,0,92,1913,2402,
"Segment 34",6,212,7,0,17,10,0,3,184,0,82,1686,2125,
"Segment 35",8,130,0,5,12,4,4,0,146,5,79,1215,1543,
"Segment 36",5,320,3,0,13,7,3,4,319,0,110,2092,2771,
"Segment 37",20,403,12,0,22,7,3,4,426,0,166,2386,3234,
"Segment 38",8,148,4,0,15,6,0,0,184,0,70,1186,1536,
"Segment 39",0,57,0,0,0,0,0,0,37,0,17,461,566,
"Segment 40",0,102,0,0,6,0,0,0,85,0,35,807,1004,
"Segment 41",7,48,3,0,4,3,6,0,33,0,21,502,603,
"Segment 42",0,32,0,0,0,0,0,0,14,0,6,193,244,
"Segment 43",0,96,0,0,5,3,0,3,63,0,36,660,836,
"Segment 44",7,167,3,0,22,4,8,5,163,0,68,1672,2052,
"Segment 45",0,54,0,0,4,0,0,0,44,0,20,594,696,
"Segment 46",4,97,0,0,6,0,0,0,83,0,33,867,1063,
"Segment 47",0,10,0,0,0,0,0,0,9,0,3,148,169,
"Segment 48",0,31,0,0,0,7,0,0,26,0,3,251,319,
"Segment 50",0,5,0,0,0,0,0,0,8,0,4,48,63,
"Total",250,6100,101,8,327,166,95,74,6213,19,2585,50252,63761,


" 10-19 years,  $650-$799 ($33,800-$41,599)"
"LTHP Type of Long-term Health Condition","Arthritis","Asthma","Cancer (including remission)","Dementia (including Alzheimer's)","Diabetes (excluding gestational diabetes)","Heart disease (including heart attack or angina)","Kidney disease","Lung condition (including COPD or emphysema)","Mental health condition (including depression or anxiety)","Stroke","Any other long-term health condition(s)","No long-term health condition(s)","Total",
"SA1 (UR)",
"Segment 01",5,44,0,0,0,7,0,0,53,0,17,443,553,
"Segment 02",3,94,0,0,12,0,7,0,106,0,51,1044,1277,
"Segment 03",0,35,0,0,7,0,3,0,48,0,28,526,632,
"Segment 04",8,146,0,0,11,0,6,3,115,0,76,1188,1494,
"Segment 05",3,101,6,0,7,0,0,0,89,0,41,950,1162,
"Segment 06",3,91,4,0,8,5,3,0,82,0,45,1032,1235,
"Segment 07",0,57,0,0,3,0,0,0,42,0,14,553,663,
"Segment 08",5,72,3,0,3,0,0,3,94,0,36,529,699,
"Segment 09",0,19,0,0,0,5,0,0,24,0,19,327,378,
"Segment 10",3,47,0,0,0,4,0,0,51,0,18,458,559,
"Segment 11",7,64,0,0,0,0,0,0,65,0,37,685,833,
"Segment 12",3,116,0,0,10,6,0,0,106,0,44,1064,1312,
"Segment 13",0,161,4,0,9,6,0,0,142,0,49,1202,1502,
"Segment 14",5,147,6,0,4,0,3,0,140,5,63,1144,1454,
"Segment 15",0,29,0,0,5,0,0,0,36,0,7,227,298,
"Segment 16",0,37,0,0,0,0,0,0,65,0,25,366,471,
"Segment 17",0,58,0,0,4,4,0,0,63,0,29,525,655,
"Segment 18",3,52,0,0,6,0,0,0,80,0,22,372,505,
"Segment 19",0,128,4,0,0,0,3,0,114,0,40,875,1120,
"Segment 20",4,95,6,0,8,0,0,0,98,0,47,991,1218,
"Segment 21",0,39,0,0,5,0,0,0,74,0,16,375,477,
"Segment 22",0,10,0,0,9,0,0,0,23,0,6,200,248,
"Segment 23",0,25,0,0,3,0,0,0,37,0,20,363,432,
"Segment 24",5,87,0,0,6,0,0,0,113,0,40,809,1025,
"Segment 25",0,62,0,0,5,0,0,0,91,0,25,661,822,
"Segment 26",0,48,0,0,0,4,0,0,21,0,6,451,521,
"Segment 27",0,66,0,0,4,0,0,0,46,0,17,647,765,
"Segment 28",6,30,0,0,0,0,0,0,36,0,19,332,394,
"Segment 29",5,94,0,0,9,0,3,0,91,0,39,655,848,
"Segment 30",4,105,0,0,3,0,3,0,90,0,29,724,910,
"Segment 31",9,147,0,0,3,0,0,0,228,0,67,1333,1727,
"Segment 32",0,64,4,0,4,0,0,0,59,0,33,427,554,
"Segment 33",3,169,0,0,6,9,4,0,127,0,49,1221,1536,
"Segment 34",6,99,0,0,16,0,3,0,117,4,42,1023,1271,
"Segment 35",3,91,0,0,0,0,0,0,63,0,35,763,938,
"Segment 36",11,199,3,0,9,0,0,6,169,0,57,1357,1739,
"Segment 37",14,218,10,0,6,8,8,3,229,0,90,1612,2104,
"Segment 38",12,88,0,0,6,3,3,0,82,0,30,736,922,
"Segment 39",0,27,0,0,5,0,0,0,40,0,9,285,347,
"Segment 40",4,53,3,0,0,0,3,0,55,0,23,468,584,
"Segment 41",5,31,0,0,4,0,0,0,24,0,7,366,419,
"Segment 42",4,16,0,0,0,0,0,0,16,0,8,117,151,
"Segment 43",0,53,0,0,0,0,0,0,43,0,9,455,548,
"Segment 44",4,117,0,0,16,3,3,3,84,0,40,1221,1468,
"Segment 45",4,51,0,0,4,0,0,0,35,0,7,389,472,
"Segment 46",4,76,4,0,3,0,0,0,39,0,16,691,821,
"Segment 47",0,17,0,0,0,0,0,0,10,0,3,150,181,
"Segment 48",0,12,0,0,0,0,0,0,9,0,0,171,194,
"Segment 50",0,4,0,0,0,0,0,0,4,0,4,39,44,
"Total",178,3687,65,6,211,84,61,39,3646,13,1463,32557,40526,


" 10-19 years,  $800-$999 ($41,600-$51,999)"
"LTHP Type of Long-term Health Condition","Arthritis","Asthma","Cancer (including remission)","Dementia (including Alzheimer's)","Diabetes (excluding gestational diabetes)","Heart disease (including heart attack or angina)","Kidney disease","Lung condition (including COPD or emphysema)","Mental health condition (including depression or anxiety)","Stroke","Any other long-term health condition(s)","No long-term health condition(s)","Total",
"SA1 (UR)",
"Segment 01",3,14,0,0,0,0,0,0,39,0,12,256,315,
"Segment 02",0,47,3,0,4,3,4,0,67,0,40,572,730,
"Segment 03",0,20,0,0,3,0,0,0,35,0,10,270,329,
"Segment 04",6,82,0,0,6,0,0,0,69,0,31,689,854,
"Segment 05",4,49,4,0,4,0,0,0,40,0,17,544,650,
"Segment 06",7,72,0,0,3,0,0,0,56,0,32,671,828,
"Segment 07",0,51,0,0,3,3,0,0,38,0,11,390,476,
"Segment 08",0,29,0,0,0,0,0,0,53,0,20,331,417,
"Segment 09",0,21,0,0,3,0,0,0,20,0,11,171,220,
"Segment 10",3,24,0,0,4,0,0,0,32,0,20,260,332,
"Segment 11",0,32,0,0,3,0,0,3,42,0,8,394,477,
"Segment 12",0,69,3,0,6,0,0,0,55,0,27,613,752,
"Segment 13",5,76,0,0,3,3,0,3,93,0,28,843,1032,
"Segment 14",6,106,4,0,5,0,4,0,134,0,41,817,1075,
"Segment 15",0,19,0,0,3,0,0,0,26,0,9,183,226,
"Segment 16",0,21,0,0,0,0,0,0,41,0,9,277,338,
"Segment 17",5,37,0,0,0,0,0,0,33,0,16,349,431,
"Segment 18",0,24,0,0,0,0,0,0,34,0,10,222,284,
"Segment 19",5,75,0,0,8,0,0,0,76,0,33,576,736,
"Segment 20",4,70,0,0,3,6,0,0,66,0,33,549,710,
"Segment 21",0,17,0,0,0,0,0,0,28,0,8,187,236,
"Segment 22",0,9,0,0,0,0,0,0,16,0,4,132,158,
"Segment 23",0,16,0,0,0,0,0,0,23,0,11,191,235,
"Segment 24",3,54,0,0,3,0,0,0,46,0,16,469,579,
"Segment 25",0,62,0,0,0,0,0,0,47,0,24,414,533,
"Segment 26",0,24,0,0,5,0,0,0,6,0,7,339,380,
"Segment 27",4,38,0,0,4,0,0,0,23,0,14,388,466,
"Segment 28",0,31,0,0,0,0,0,0,17,0,3,263,312,
"Segment 29",5,53,0,0,5,0,0,0,53,0,9,496,599,
"Segment 30",4,61,4,0,4,0,0,0,70,0,24,478,616,
"Segment 31",8,109,4,0,4,7,0,0,113,0,36,1113,1337,
"Segment 32",0,34,0,0,0,3,0,0,37,0,14,322,404,
"Segment 33",0,77,0,0,8,3,0,0,72,0,21,699,867,
"Segment 34",0,57,0,0,5,4,0,0,54,0,26,576,705,
"Segment 35",0,48,3,0,4,0,0,0,43,0,16,399,494,
"Segment 36",6,109,0,0,8,0,0,0,105,0,39,816,1029,
"Segment 37",4,149,0,0,7,0,3,0,133,0,42,991,1284,
"Segment 38",0,48,0,0,0,3,0,0,61,0,22,441,554,
"Segment 39",0,20,0,0,0,0,0,0,21,0,10,169,215,
"Segment 40",0,24,0,0,0,0,0,0,21,0,6,328,375,
"Segment 41",0,23,0,0,0,0,0,0,9,0,4,222,261,
"Segment 42",0,7,0,0,0,3,0,0,4,0,0,71,88,
"Segment 43",0,31,3,0,0,0,0,0,21,0,6,258,321,
"Segment 44",4,83,3,0,9,0,0,0,56,0,27,783,952,
"Segment 45",0,29,0,0,0,0,0,0,23,0,3,252,305,
"Segment 46",0,65,0,0,0,0,0,0,33,0,11,496,595,
"Segment 47",0,11,0,0,0,0,0,0,3,0,3,96,118,
"Segment 48",0,21,0,0,0,3,0,0,13,0,10,134,166,
"Segment 50",0,5,0,0,0,0,0,0,0,0,0,23,25,
"Total",94,2251,51,0,141,64,20,29,2193,10,840,20503,25400,


" 10-19 years,  $1,000-$1,249 ($52,000-$64,999)"
"LTHP Type of Long-term Health Condition","Arthritis","Asthma","Cancer (including remission)","Dementia (including Alzheimer's)","Diabetes (excluding gestational diabetes)","Heart disease (including heart attack or angina)","Kidney disease","Lung condition (including COPD or emphysema)","Mental health condition (including depression or anxiety)","Stroke","Any other long-term health condition(s)","No long-term health condition(s)","Total",
"SA1 (UR)",
"Segment 01",0,14,0,0,0,0,0,0,10,0,8,139,164,
"Segment 02",0,23,0,0,0,0,0,0,42,0,7,255,330,
"Segment 03",0,14,0,0,4,0,0,0,8,0,7,132,160,
"Segment 04",0,40,0,0,0,0,0,0,28,0,20,370,456,
"Segment 05",3,18,0,0,0,0,0,0,32,0,13,245,303,
"Segment 06",0,48,0,0,0,0,0,0,28,0,16,321,413,
"Segment 07",0,31,0,0,0,0,0,0,14,0,12,186,242,
"Segment 08",5,21,0,0,0,0,0,4,28,0,9,171,217,
"Segment 09",0,3,3,0,0,0,0,0,11,0,4,92,111,
"Segment 10",0,12,0,0,0,0,0,0,21,0,8,113,148,
"Segment 11",0,23,0,0,0,0,0,0,19,0,16,194,241,
"Segment 12",0,33,0,0,0,0,0,0,19,0,15,277,340,
"Segment 13",0,40,0,0,0,0,0,0,36,0,16,387,468,
"Segment 14",5,64,0,0,9,0,0,0,45,0,25,413,529,
"Segment 15",3,10,0,0,0,0,6,0,15,0,4,105,134,
"Segment 16",0,15,3,0,0,0,0,0,23,0,4,149,193,
"Segment 17",0,23,0,0,0,0,0,0,12,0,18,204,257,
"Segment 18",0,17,0,0,3,0,0,0,22,0,14,129,168,
"Segment 19",0,22,0,0,3,0,0,0,31,0,14,249,313,
"Segment 20",3,33,0,0,5,0,0,0,32,0,22,259,335,
"Segment 21",0,10,0,0,0,0,0,0,18,0,3,97,125,
"Segment 22",0,9,0,0,0,0,0,0,10,0,4,85,102,
"Segment 23",0,10,0,0,0,0,0,0,4,0,0,100,117,
"Segment 24",0,27,0,0,0,0,0,0,14,0,9,184,229,
"Segment 25",0,18,0,0,4,0,0,0,34,0,11,227,282,
"Segment 26",0,21,0,0,0,0,0,0,6,0,3,144,177,
"Segment 27",0,16,0,0,0,0,0,0,13,0,7,221,257,
"Segment 28",0,9,0,0,3,0,0,0,6,0,0,98,116,
"Segment 29",0,26,0,0,3,0,0,0,35,0,8,207,260,
"Segment 30",0,22,0,0,3,0,0,0,26,0,9,203,248,
"Segment 31",3,60,0,0,4,0,0,0,55,0,20,582,702,
"Segment 32",0,18,0,0,4,0,0,0,18,0,0,159,191,
"Segment 33",4,37,0,0,0,0,0,0,25,0,17,326,395,
"Segment 34",0,26,0,0,3,0,3,0,27,0,13,265,330,
"Segment 35",0,25,0,0,0,0,0,0,29,0,6,198,254,
"Segment 36",0,36,0,0,0,0,0,0,31,0,20,397,477,
"Segment 37",3,56,0,0,5,0,0,0,54,0,21,447,569,
"Segment 38",4,27,0,0,0,0,0,0,31,0,4,182,243,
"Segment 39",0,10,0,0,0,0,0,0,8,0,3,93,113,
"Segment 40",0,17,0,0,0,0,0,0,13,0,7,144,180,
"Segment 41",0,13,0,0,4,0,0,0,10,0,3,116,141,
"Segment 42",0,6,0,0,0,0,0,0,0,0,0,44,51,
"Segment 43",0,16,0,0,5,0,0,0,15,0,5,128,161,
"Segment 44",0,43,3,0,0,0,0,0,24,0,9,358,428,
"Segment 45",0,9,0,0,0,0,0,0,8,0,9,99,121,
"Segment 46",3,25,0,0,0,0,0,0,18,0,9,280,327,
"Segment 47",0,9,0,0,3,0,0,0,6,0,0,63,80,
"Segment 48",0,9,0,0,0,0,0,0,3,0,3,85,99,
"Segment 50",0,0,0,0,0,0,0,0,3,0,0,13,20,
"Total",53,1124,21,0,69,17,11,13,1019,0,437,9964,12320,


" 10-19 years,  $1,250-$1,499 ($65,000-$77,999)"
"LTHP Type of Long-term Health Condition","Arthritis","Asthma","Cancer (including remission)","Dementia (including Alzheimer's)","Diabetes (excluding gestational diabetes)","Heart disease (including heart attack or angina)","Kidney disease","Lung condition (including COPD or emphysema)","Mental health condition (including depression or anxiety)","Stroke","Any other long-term health condition(s)","No long-term health condition(s)","Total",
"SA1 (UR)",
"Segment 01",0,6,0,0,0,0,0,0,8,0,3,46,63,
"Segment 02",0,9,0,0,0,0,0,0,9,0,11,93,119,
"Segment 03",4,4,0,0,0,0,0,0,6,0,3,49,69,
"Segment 04",0,12,0,0,0,0,0,0,13,0,5,90,120,
"Segment 05",0,12,0,0,0,0,0,0,7,0,0,91,111,
"Segment 06",0,9,0,0,0,0,0,0,12,0,14,115,139,
"Segment 07",0,0,0,0,0,0,0,0,0,0,0,60,62,
"Segment 08",0,7,0,0,0,0,0,0,7,0,0,58,67,
"Segment 09",0,0,0,0,0,0,0,0,4,0,0,26,33,
"Segment 10",0,3,0,0,0,0,0,0,0,0,0,44,47,
"Segment 11",0,0,0,0,0,0,0,0,4,0,5,70,74,
"Segment 12",0,7,0,0,0,0,0,0,9,0,0,72,99,
"Segment 13",0,25,0,0,0,0,0,0,12,0,5,138,174,
"Segment 14",0,20,0,0,0,0,0,0,20,0,11,168,212,
"Segment 15",0,3,0,0,0,0,0,0,7,0,4,24,37,
"Segment 16",0,3,0,0,0,0,4,0,15,0,3,55,70,
"Segment 17",0,3,0,0,0,0,0,0,8,0,4,74,85,
"Segment 18",0,4,0,0,0,0,0,0,0,0,0,37,43,
"Segment 19",0,8,0,0,0,0,0,0,7,0,3,100,122,
"Segment 20",0,12,0,0,0,0,0,0,14,0,5,80,100,
"Segment 21",0,5,0,0,0,0,0,0,3,0,0,35,39,
"Segment 22",0,0,0,0,0,0,0,0,0,0,0,11,15,
"Segment 23",0,7,0,0,0,0,0,0,4,0,5,30,36,
"Segment 24",0,3,0,0,0,0,0,0,4,0,3,55,71,
"Segment 25",0,10,0,0,0,0,0,0,7,0,0,88,99,
"Segment 26",0,4,0,0,0,0,0,0,3,0,0,44,55,
"Segment 27",0,6,0,0,0,0,0,0,3,0,0,64,75,
"Segment 28",0,4,0,0,0,0,0,0,5,0,0,40,49,
"Segment 29",0,5,0,0,0,0,0,0,6,0,5,60,73,
"Segment 30",0,7,0,0,0,0,0,0,8,0,3,51,66,
"Segment 31",0,21,0,0,0,0,0,0,12,0,4,316,360,
"Segment 32",0,7,0,0,0,0,0,0,0,0,0,35,49,
"Segment 33",0,16,0,0,0,0,0,0,6,0,7,100,117,
"Segment 34",0,6,0,0,0,0,0,0,6,0,3,84,97,
"Segment 35",0,3,0,0,0,0,0,0,3,0,9,50,58,
"Segment 36",0,14,0,0,0,0,0,0,9,0,4,108,133,
"Segment 37",0,21,0,0,3,0,0,0,19,0,10,135,177,
"Segment 38",0,4,0,0,0,0,0,0,5,0,0,58,72,
"Segment 39",0,3,0,0,0,0,0,0,0,0,0,18,23,
"Segment 40",0,0,0,0,0,0,0,0,4,0,0,42,49,
"Segment 41",0,4,0,0,0,0,0,0,3,0,4,36,42,
"Segment 42",0,3,0,0,0,0,0,0,0,0,0,8,15,
"Segment 43",0,3,0,0,0,0,0,0,4,0,0,33,44,
"Segment 44",0,5,0,0,0,0,0,0,9,0,4,111,122,
"Segment 45",0,0,0,0,0,0,0,0,0,0,0,29,30,
"Segment 46",0,8,0,0,0,0,0,0,8,0,3,90,110,
"Segment 47",0,3,0,0,0,0,0,0,0,0,0,37,48,
"Segment 48",0,8,0,0,0,0,0,0,0,0,3,22,31,
"Segment 50",0,0,0,0,0,0,0,0,0,0,0,5,5,
"Total",21,352,5,0,12,4,6,0,308,0,148,3274,4006,


" 10-19 years,  $1,500-$1,749 ($78,000-$90,999)"
"LTHP Type of Long-term Health Condition","Arthritis","Asthma","Cancer (including remission)","Dementia (including Alzheimer's)","Diabetes (excluding gestational diabetes)","Heart disease (including heart attack or angina)","Kidney disease","Lung condition (including COPD or emphysema)","Mental health condition (including depression or anxiety)","Stroke","Any other long-term health condition(s)","No long-term health condition(s)","Total",
"SA1 (UR)",
"Segment 01",0,4,0,0,0,0,0,0,7,0,3,54,68,
"Segment 02",0,10,0,0,0,0,0,0,5,0,0,58,68,
"Segment 03",0,3,0,0,0,0,0,0,0,0,3,39,52,
"Segment 04",0,9,0,0,0,0,0,0,0,0,0,51,62,
"Segment 05",0,6,0,0,0,0,0,0,5,0,0,39,45,
"Segment 06",3,3,0,0,0,0,0,0,9,0,0,38,55,
"Segment 07",0,0,0,0,0,0,0,0,0,0,0,22,27,
"Segment 08",0,5,0,0,0,0,0,0,4,0,0,34,38,
"Segment 09",0,4,0,0,0,0,0,0,0,0,0,23,30,
"Segment 10",0,0,0,0,0,0,0,0,3,0,0,16,21,
"Segment 11",0,0,0,0,0,0,0,0,4,0,0,31,32,
"Segment 12",0,4,0,0,0,0,0,0,9,0,0,36,42,
"Segment 13",0,3,0,0,0,0,0,0,5,0,0,63,67,
"Segment 14",0,9,0,0,0,0,0,0,14,0,0,84,106,
"Segment 15",0,0,0,0,0,0,0,0,4,0,0,18,23,
"Segment 16",0,4,0,0,0,0,0,0,9,0,4,26,39,
"Segment 17",0,5,0,0,0,0,0,0,0,0,0,31,36,
"Segment 18",0,4,0,0,0,0,0,0,0,0,0,17,25,
"Segment 19",0,4,0,0,0,0,0,0,0,0,0,36,39,
"Segment 20",0,6,0,0,0,0,0,0,0,0,4,42,56,
"Segment 21",0,0,0,0,0,0,0,0,0,0,3,13,18,
"Segment 22",0,0,0,0,0,0,0,0,0,0,0,16,16,
"Segment 23",0,3,0,0,0,0,0,0,3,0,0,28,34,
"Segment 24",0,3,0,0,0,0,0,0,0,0,0,27,28,
"Segment 25",0,8,0,0,6,0,0,0,11,0,0,32,46,
"Segment 26",0,6,0,0,0,0,0,0,0,0,0,20,26,
"Segment 27",0,3,0,0,0,0,0,0,0,0,0,30,29,
"Segment 28",0,0,0,0,0,0,0,0,0,0,0,14,15,
"Segment 29",0,4,0,0,0,0,0,0,0,0,0,24,29,
"Segment 30",0,0,0,0,0,0,0,0,4,0,0,27,34,
"Segment 31",0,14,0,0,0,0,0,0,10,0,0,115,139,
"Segment 32",0,3,0,0,0,0,0,0,5,0,0,18,23,
"Segment 33",0,3,0,0,0,0,0,0,0,0,0,47,50,
"Segment 34",0,3,0,0,0,0,0,0,0,0,0,34,41,
"Segment 35",0,0,0,0,0,0,0,0,4,0,4,25,24,
"Segment 36",0,3,0,0,0,0,0,0,7,0,0,35,43,
"Segment 37",0,13,0,0,0,0,0,0,8,0,0,74,95,
"Segment 38",0,0,0,0,0,0,0,0,0,0,0,18,27,
"Segment 39",0,0,0,0,0,0,0,0,0,0,0,13,19,
"Segment 40",0,0,0,0,0,0,0,0,0,0,0,27,21,
"Segment 41",0,0,0,0,0,0,0,0,0,0,0,15,13,
"Segment 42",0,0,0,0,0,0,0,0,0,0,0,8,6,
"Segment 43",0,0,0,0,0,0,0,0,0,0,0,13,22,
"Segment 44",0,7,0,0,0,0,0,5,0,0,6,51,68,
"Segment 45",0,0,0,0,0,0,0,0,0,0,0,17,17,
"Segment 46",0,3,0,0,0,0,0,0,0,0,4,58,68,
"Segment 47",0,0,0,0,0,0,0,0,0,0,0,19,23,
"Segment 48",0,0,0,0,0,0,0,0,0,0,0,19,19,
"Segment 50",0,0,0,0,0,0,0,0,0,0,0,6,6,
"Total",9,168,0,0,13,5,3,7,150,0,64,1585,1929,


" 10-19 years,  $1,750-$1,999 ($91,000-$103,999)"
"LTHP Type of Long-term Health Condition","Arthritis","Asthma","Cancer (including remission)","Dementia (including Alzheimer's)","Diabetes (excluding gestational diabetes)","Heart disease (including heart attack or angina)","Kidney disease","Lung condition (including COPD or emphysema)","Mental health condition (including depression or anxiety)","Stroke","Any other long-term health condition(s)","No long-term health condition(s)","Total",
"SA1 (UR)",
"Segment 01",0,4,0,0,0,0,0,0,0,0,0,16,18,
"Segment 02",0,3,0,0,0,0,0,0,6,0,4,23,31,
"Segment 03",0,0,0,0,0,0,0,0,3,0,3,17,28,
"Segment 04",0,0,0,0,0,0,0,0,0,0,0,22,28,
"Segment 05",0,0,0,0,0,0,0,0,0,0,3,22,28,
"Segment 06",0,4,0,0,0,0,0,0,0,0,0,23,32,
"Segment 07",0,0,0,0,0,0,0,0,0,0,0,10,10,
"Segment 08",0,0,0,0,0,0,0,0,3,0,0,23,29,
"Segment 09",0,0,0,0,0,0,0,0,0,0,0,4,9,
"Segment 10",0,3,0,0,0,0,0,0,0,0,0,9,12,
"Segment 11",0,0,0,0,0,0,0,0,0,0,0,11,11,
"Segment 12",0,4,0,0,0,0,0,0,0,0,0,8,16,
"Segment 13",0,0,0,0,0,0,0,0,4,0,0,21,28,
"Segment 14",0,4,0,0,0,0,0,0,3,0,4,20,29,
"Segment 15",0,0,0,0,0,0,0,0,3,0,3,9,12,
"Segment 16",0,0,0,0,0,0,0,0,0,0,0,18,18,
"Segment 17",0,0,0,0,0,0,0,0,0,0,0,12,14,
"Segment 18",0,0,0,0,0,0,0,0,0,0,0,5,5,
"Segment 19",0,0,0,0,0,0,0,0,0,0,0,23,22,
"Segment 20",0,0,0,0,0,0,0,0,4,0,5,15,16,
"Segment 21",0,0,0,0,0,0,0,0,0,0,0,15,15,
"Segment 22",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 23",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 24",0,0,0,0,0,0,0,0,0,0,0,5,10,
"Segment 25",0,0,0,0,0,0,0,0,6,0,0,16,17,
"Segment 26",0,0,0,0,0,0,0,0,0,0,0,6,8,
"Segment 27",0,0,0,0,0,0,0,0,0,0,0,17,17,
"Segment 28",0,0,0,0,0,0,0,0,0,0,0,9,7,
"Segment 29",0,0,0,0,0,0,0,0,7,0,0,10,16,
"Segment 30",0,0,0,0,0,0,0,0,0,0,0,16,15,
"Segment 31",0,3,0,0,0,0,0,0,6,0,5,54,63,
"Segment 32",0,5,0,0,0,0,0,0,0,0,0,4,5,
"Segment 33",0,0,0,0,0,0,0,0,0,0,0,18,16,
"Segment 34",0,0,0,0,0,0,0,0,0,0,0,15,16,
"Segment 35",0,0,0,0,0,0,0,0,0,0,0,7,10,
"Segment 36",0,0,0,0,0,0,0,0,0,0,0,20,20,
"Segment 37",0,10,0,0,0,0,0,0,8,0,5,34,50,
"Segment 38",0,0,0,0,0,0,0,0,0,0,0,12,14,
"Segment 39",0,0,0,0,0,0,0,0,0,0,0,8,9,
"Segment 40",0,0,0,0,0,0,0,0,0,0,0,15,15,
"Segment 41",0,0,0,0,0,0,0,0,0,0,0,6,6,
"Segment 42",0,0,0,0,0,0,0,0,0,0,0,0,4,
"Segment 43",0,0,0,0,0,0,0,0,0,0,0,11,14,
"Segment 44",0,0,0,0,0,0,0,0,0,0,0,37,41,
"Segment 45",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 46",0,5,0,0,0,0,0,0,0,0,0,15,16,
"Segment 47",0,0,0,0,0,0,0,0,0,0,0,12,17,
"Segment 48",0,4,0,0,0,0,0,0,0,0,0,14,13,
"Segment 50",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Total",4,80,0,0,6,0,0,0,65,0,41,688,859,


" 10-19 years,  $2,000-$2,999 ($104,000-$155,999)"
"LTHP Type of Long-term Health Condition","Arthritis","Asthma","Cancer (including remission)","Dementia (including Alzheimer's)","Diabetes (excluding gestational diabetes)","Heart disease (including heart attack or angina)","Kidney disease","Lung condition (including COPD or emphysema)","Mental health condition (including depression or anxiety)","Stroke","Any other long-term health condition(s)","No long-term health condition(s)","Total",
"SA1 (UR)",
"Segment 01",0,0,0,0,0,0,0,0,0,0,0,31,37,
"Segment 02",0,0,0,0,0,0,0,0,5,0,4,26,34,
"Segment 03",0,4,0,0,0,0,0,0,4,0,3,17,29,
"Segment 04",0,0,0,0,0,0,0,0,0,0,0,20,26,
"Segment 05",0,0,0,0,0,0,0,0,0,0,0,11,14,
"Segment 06",0,4,0,0,0,0,0,0,0,0,0,22,24,
"Segment 07",0,0,0,0,0,0,0,0,0,0,0,5,5,
