SA2_CODE_2021,C21_85_over_UOL_SE_Tot,C21_85_over_LPE_NS,C21_85_over_Tot,C21_Tot_SEO,C21_Tot_UOL_SE_Vw_w,C21_Tot_UOL_SE_Nw_Na,C21_Tot_UOL_SE_P_E_n,C21_Tot_UOL_SE_Tot,C21_Tot_LPE_NS,C21_Tot_Tot
604021091,0,12,105,5825,266,19,0,285,507,6619
604021092,3,0,37,3206,103,12,0,112,157,3478
604031093,0,4,33,1352,91,5,0,100,165,1617
604031094,3,4,45,3658,169,11,4,183,344,4188
604031095,0,19,123,3434,175,14,0,190,303,3934
604031096,3,9,46,3474,98,5,0,98,270,3843
604031097,0,16,59,3665,163,7,3,172,430,4267
604031098,0,0,0,0,0,0,0,0,0,0
697979799,0,0,0,11,0,0,0,0,3,19
699999499,0,0,3,978,70,11,3,86,314,1377
701011001,0,0,0,10,8,0,0,8,4,23
701011002,6,0,20,3727,2381,195,20,2595,828,7149
701011003,0,0,0,0,0,0,0,0,0,0
701011004,8,33,75,2570,678,56,13,748,282,3602
701011005,9,6,18,2382,1060,79,12,1156,403,3943
701011006,11,3,19,1774,532,55,12,602,188,2563
701011007,6,5,26,1958,639,45,6,689,163,2819
701011008,7,0,17,2539,1142,97,10,1244,311,4101
701011009,5,0,9,1914,714,56,6,777,169,2858
701021010,9,0,10,1163,622,107,0,737,179,2078
701021011,5,0,13,1671,445,79,8,526,183,2385
701021012,0,0,3,841,590,62,11,662,212,1712
701021013,16,3,36,1638,1437,128,14,1582,214,3430
701021014,0,0,0,0,0,0,0,0,0,0
701021015,0,0,0,0,0,0,0,0,0,3
701021016,7,0,18,1451,1083,106,16,1205,232,2892
701021017,0,0,0,18,0,0,0,3,0,21
701021018,0,0,15,1366,335,40,4,377,92,1841
701021019,17,5,32,2786,1374,258,17,1644,374,4803
701021020,16,10,37,2849,1194,193,16,1409,341,4597
701021021,3,0,10,3404,2081,199,26,2307,298,6006
701021022,4,0,27,2940,867,156,19,1038,362,4341
701021023,12,3,21,1377,876,91,18,984,216,2576
701021024,5,0,12,1228,551,84,13,646,124,2000
701021025,3,5,26,2430,1115,96,13,1222,231,3884
701021026,3,0,18,2200,845,68,11,926,135,3261
701021027,23,12,84,1538,618,74,7,699,273,2511
701021028,4,0,15,979,773,128,11,916,133,2023
701021029,3,0,14,1152,442,79,0,527,155,1836
701021030,3,0,9,1771,434,66,3,502,236,2510
701031031,0,0,22,3373,277,22,4,304,1417,5100
701031032,0,0,42,7309,373,88,3,470,608,8387
701031033,0,0,0,10,0,0,0,0,0,15
701031034,0,0,17,2646,225,20,0,254,294,3197
701031035,0,4,15,3250,224,72,0,291,745,4289
701041036,0,0,12,2282,510,71,5,579,230,3091
701041037,4,0,11,1949,487,66,6,560,243,2747
701041038,6,0,16,3506,685,72,18,775,221,4501
701041039,9,4,23,2119,515,59,7,581,441,3142
701041040,0,0,12,2152,315,50,3,368,537,3053
701041041,6,0,50,3513,588,79,13,675,261,4456
701041042,0,0,3,4219,1666,131,32,1822,410,6451
701041043,3,3,24,4827,1007,103,18,1130,596,6555
701041044,3,0,15,2433,384,52,3,445,299,3175
702011045,9,0,20,3013,862,64,11,935,265,4215
702011046,0,0,21,3796,1212,109,27,1356,265,5418
702011047,0,0,22,2960,1194,123,17,1331,293,4585
702011048,6,0,24,3442,1133,111,16,1255,265,4964
702011049,5,0,14,2637,997,98,14,1112,272,4025
702011050,6,0,3,772,809,99,41,944,239,1961
702011051,25,7,71,1811,488,75,17,583,317,2706
702011052,0,0,4,747,1993,302,78,2374,787,3912
702011053,7,0,7,302,1903,420,71,2398,139,2839
702011054,11,0,11,238,1332,129,54,1511,106,1851
702021055,3,0,3,875,1109,108,14,1226,103,2203
702021056,9,0,11,1630,1037,65,15,1113,340,3080
702031057,4,0,15,2855,588,96,3,685,701,4242
702031058,0,0,3,593,937,127,47,1104,192,1890
702031059,10,0,7,234,1357,396,71,1822,60,2118
702031060,0,0,0,291,1842,67,34,1942,113,2348
702031061,0,0,0,397,3726,816,104,4655,158,5204
702041062,0,0,0,657,1313,280,10,1607,277,2541
702041063,8,0,12,399,4948,1282,192,6423,169,6983
702041064,0,0,0,2164,345,25,7,375,729,3267
702051065,0,0,5,538,1328,231,12,1575,175,2283
702051066,8,0,8,1055,2371,236,33,2642,490,4189
702051067,8,4,46,6314,1770,146,34,1950,1392,9658
702051068,8,0,10,586,1665,112,18,1794,227,2609
797979799,0,0,0,63,7,4,0,11,24,99
799999499,0,0,7,1605,567,70,42,678,1214,3500
801011001,6,3,62,2120,370,36,0,405,78,2605
801011002,26,10,184,4126,3588,376,31,4000,371,8502
801011003,11,6,137,4718,2347,197,16,2567,236,7520
801011004,8,0,30,2374,449,100,7,556,117,3055
801011005,9,4,73,2406,416,44,3,458,97,2965
801011006,5,0,40,5610,1264,194,15,1475,182,7265
801011007,16,0,49,4501,824,82,10,920,105,5531
801011008,23,0,69,3237,1208,208,6,1420,123,4781
801011009,11,5,30,3065,454,49,0,510,94,3671
801011010,0,0,16,1906,175,18,0,190,36,2126
801011011,16,0,27,2637,587,61,0,649,87,3372
801011012,0,0,0,3,0,0,0,0,0,3
801011013,11,5,66,2358,497,58,7,559,99,3008
801011014,12,0,46,2659,481,87,3,574,83,3321
801011015,23,0,123,4330,973,148,11,1132,170,5628
801011016,41,9,130,5450,1720,266,21,2008,220,7672
801011017,6,0,32,3022,517,69,9,595,149,3767
801011018,4,0,4,1176,1273,117,11,1402,162,2739
801011019,14,0,32,5120,1594,158,23,1773,152,7049
801011020,19,0,60,2159,692,81,5,774,166,3104
801011021,14,3,45,1918,654,83,0,730,86,2740
801011022,9,0,35,2728,481,63,5,549,109,3383
801011023,33,32,246,2140,616,113,15,748,173,3054
801011024,6,0,31,2227,630,95,8,726,116,3069
801011025,6,0,26,2209,259,36,4,293,88,2587
801011026,18,0,77,2231,467,34,4,504,60,2795
801011111,0,0,0,8,0,0,0,0,3,12
801011142,0,0,0,0,0,0,0,0,0,0
801011143,0,0,0,302,362,24,4,386,26,714
801011144,0,0,0,13,3,0,0,3,6,25
801031031,0,0,0,15,0,0,0,0,376,395
801031032,0,0,0,24,0,0,0,0,3,25
801031113,0,0,10,625,141,19,0,165,311,1097
801031114,0,0,0,70,33,0,0,33,31,125
801031115,0,0,3,219,23,0,0,24,47,296
801041034,11,0,34,4476,1339,138,14,1485,170,6129
801041035,3,0,13,3774,2984,304,26,3314,248,7339
801041036,3,0,13,4152,1911,195,28,2130,190,6471
801041037,5,0,38,2804,1700,182,16,1894,103,4800
801041038,3,0,11,2932,1251,124,14,1387,119,4435
801041039,14,0,14,3217,3494,479,41,4012,255,7484
801041040,8,0,33,4160,3465,638,33,4135,296,8586
801041043,0,0,6,278,12,0,0,16,5,298
801041044,10,0,19,4444,3074,460,26,3561,242,8244
801041045,0,0,0,0,0,3,0,3,6,7
801041046,20,0,92,7592,2613,383,50,3049,314,10957
801041047,17,0,61,4907,1496,164,13,1676,100,6680
801041048,25,0,52,3652,1468,277,18,1758,166,5579
801041116,0,0,0,0,0,0,0,0,0,0
801041117,0,0,0,0,0,0,0,0,0,0
801041118,0,0,0,324,313,45,4,368,21,712
801041119,0,0,0,7,0,0,0,0,9,19
801041120,0,0,0,2513,2320,254,23,2596,200,5310
801041121,0,0,3,704,1272,146,18,1436,82,2220
801041122,0,0,3,904,1255,166,21,1440,52,2405
801051049,0,0,0,1780,557,13,0,570,494,2848
801051050,58,13,250,4514,594,95,7,696,169,5376
801051051,11,0,46,4376,1567,135,5,1712,297,6383
801051053,4,3,23,2457,1739,105,4,1846,529,4835
801051054,11,0,35,2329,732,115,8,856,105,3292
801051055,21,0,74,3114,888,143,15,1045,139,4296
801051056,19,5,87,2694,401,45,0,447,91,3227
801051057,36,55,212,3856,1363,158,14,1538,302,5703
801051058,13,4,89,4732,937,91,12,1035,144,5917
801051060,16,0,43,3195,1029,95,8,1128,137,4470
801051061,15,0,74,5160,1224,111,19,1355,215,6727
801051123,0,0,0,0,0,0,0,0,0,0
801051124,12,14,115,3670,618,47,5,674,248,4588
801051125,0,0,0,1430,185,6,0,194,356,1974
801051126,0,0,0,0,0,0,0,0,0,0
801051127,3,0,18,1144,266,33,3,301,97,1544
801051128,0,0,0,0,0,0,0,0,0,0
801061062,19,8,141,2449,507,35,5,552,127,3124
801061063,12,5,36,1421,343,12,7,358,47,1827
801061064,22,9,157,4080,980,78,3,1070,183,5328
801061066,0,0,0,0,0,0,0,0,0,0
801061067,33,92,230,4516,1408,110,16,1533,410,6455
801061068,0,0,3,4,0,0,0,0,3,3
801061069,22,9,131,2314,691,41,8,740,91,3146
801061070,5,6,84,2475,499,32,6,542,106,3120
801061129,3,0,12,1384,322,14,0,336,226,1946
801061130,0,0,0,38,3,8,0,12,6,52
801061131,0,0,42,4854,1052,61,13,1130,598,6579
801071071,7,0,29,4199,695,72,10,780,123,5100
801071072,3,0,43,2877,743,96,8,852,115,3839
801071073,15,16,101,4768,693,80,6,786,178,5730
801071074,10,0,24,4362,660,76,12,745,156,5268
801071075,7,0,41,4221,698,65,4,767,120,5108
801071076,7,0,28,2501,424,35,5,460,40,3006
801071077,7,0,27,2244,352,52,0,404,63,2706
801071078,16,29,138,6429,1103,131,15,1242,216,7892
801071079,9,0,32,2582,441,34,3,485,72,3140
801071080,9,18,105,2933,926,76,19,1017,176,4129
801071081,9,3,83,3331,782,99,17,902,101,4329
801071082,28,14,191,12902,1979,250,23,2249,525,15670
801071083,0,0,14,1264,124,9,0,128,7,1405
801071084,43,23,281,4392,992,110,9,1106,149,5644
801071085,0,0,0,0,0,0,0,0,0,0
801071086,4,0,15,1392,229,18,0,252,57,1703
801071087,3,0,24,2436,453,57,5,522,100,3058
801071088,6,0,22,3220,452,41,6,499,76,3798
801071089,0,0,0,33,0,0,0,0,5,43
801071090,27,5,92,6327,1180,144,8,1337,222,7885
801071132,0,0,0,12,0,0,0,0,0,13
801081091,10,3,62,2451,329,24,4,358,62,2867
801081092,8,0,59,2794,464,31,9,508,89,3395
801081093,12,3,82,2573,469,56,3,528,126,3219
801081094,12,0,63,2275,397,51,0,453,98,2816
801081095,16,0,66,2740,429,53,8,486,127,3354
801081096,33,8,134,1718,348,51,4,403,63,2191
801081097,12,7,50,2240,374,54,3,427,110,2785
801081098,28,25,175,3104,688,65,9,767,131,4000
801081133,0,0,0,0,0,0,0,0,0,0
801091099,11,0,54,1910,637,54,10,698,71,2680
801091100,37,4,196,4542,818,71,7,903,119,5569
801091101,31,27,191,2963,622,57,5,680,148,3787
801091102,29,0,140,2474,990,74,11,1078,154,3706
801091103,22,10,207,2599,473,40,7,521,84,3210
801091104,17,0,67,1578,680,61,0,738,63,2379
801091105,17,8,109,2165,880,90,7,980,128,3271
801091106,18,5,75,2281,938,88,5,1032,127,3440
801091107,5,0,20,491,394,16,0,411,23,928
801091108,15,0,68,2113,461,36,0,503,74,2687
801091109,7,0,42,2877,1902,169,33,2103,212,5197
801091110,17,0,43,1869,421,39,6,476,82,2424
801101134,0,0,0,11,0,0,0,0,5,13
801101135,7,0,11,2431,2064,184,31,2281,140,4851
801101136,0,0,0,1436,1133,101,15,1258,67,2759
801101137,0,0,0,0,0,0,0,0,0,0
801101139,4,0,9,2246,1341,80,12,1443,127,3808
801101145,0,0,0,0,0,0,0,0,4,4
801101146,0,0,0,0,7,0,0,7,0,7
801111140,0,0,4,511,21,0,0,21,26,556
801111141,0,0,0,53,0,0,0,0,16,63
897979799,0,0,0,0,0,0,0,0,0,0
899999499,0,0,4,400,76,10,0,83,125,605
901011001,3,0,4,495,539,206,14,763,431,1692
901021002,11,0,11,113,257,128,4,386,93,593
901031003,0,0,0,200,13,0,0,16,91,310
901041004,14,3,50,1146,765,28,14,800,239,2188
997979799,0,0,0,0,0,0,0,0,0,0
999999499,0,0,0,5,3,3,0,5,3,11
