GCCSA_CODE_2021,C11_Budh_0_14,C11_Budh_15_24,C11_Budh_25_34,C11_Budh_35_44,C11_Budh_45_54,C11_Budh_55_64,C11_Budh_65_74,C11_Budh_75_84,C11_Budh_85ov,C11_Budh_Tot,C11_C_Ang_0_14,C11_C_Ang_15_24,C11_C_Ang_25_34,C11_C_Ang_35_44,C11_C_Ang_45_54,C11_C_Ang_55_64,C11_C_Ang_65_74,C11_C_Ang_75_84,C11_C_Ang_85ov,C11_C_Ang_Tot,C11_C_As_Apo_0_14,C11_C_As_Apo_15_24,C11_C_As_Apo_25_34,C11_C_As_Apo_35_44,C11_C_As_Apo_45_54,C11_C_As_Apo_55_64,C11_C_As_Apo_65_74,C11_C_As_Apo_75_84,C11_C_As_Apo_85ov,C11_C_As_Apo_Tot,C11_C_Bap_0_14,C11_C_Bap_15_24,C11_C_Bap_25_34,C11_C_Bap_35_44,C11_C_Bap_45_54,C11_C_Bap_55_64,C11_C_Bap_65_74,C11_C_Bap_75_84,C11_C_Bap_85ov,C11_C_Bap_Tot,C11_C_Breth_0_14,C11_C_Breth_15_24,C11_C_Breth_25_34,C11_C_Breth_35_44,C11_C_Breth_45_54,C11_C_Breth_55_64,C11_C_Breth_65_74,C11_C_Breth_75_84,C11_C_Breth_85ov,C11_C_Breth_Tot,C11_C_Cath_0_14,C11_C_Cath_15_24,C11_C_Cath_25_34,C11_C_Cath_35_44,C11_C_Cath_45_54,C11_C_Cath_55_64,C11_C_Cath_65_74,C11_C_Cath_75_84,C11_C_Cath_85ov,C11_C_Cath_Tot,C11_C_Ch_Chr_0_14,C11_C_Ch_Chr_15_24,C11_C_Ch_Chr_25_34,C11_C_Ch_Chr_35_44,C11_C_Ch_Chr_45_54,C11_C_Ch_Chr_55_64,C11_C_Ch_Chr_65_74,C11_C_Ch_Chr_75_84,C11_C_Ch_Chr_85ov,C11_C_Ch_Chr_Tot,C11_C_E_Orth_0_14,C11_C_E_Orth_15_24,C11_C_E_Orth_25_34,C11_C_E_Orth_35_44,C11_C_E_Orth_45_54,C11_C_E_Orth_55_64,C11_C_E_Orth_65_74,C11_C_E_Orth_75_84,C11_C_E_Orth_85ov,C11_C_E_Orth_Tot,C11_C_Jeh_Wit_0_14,C11_C_Jeh_Wit_15_24,C11_C_Jeh_Wit_25_34,C11_C_Jeh_Wit_35_44,C11_C_Jeh_Wit_45_54,C11_C_Jeh_Wit_55_64,C11_C_Jeh_Wit_65_74,C11_C_Jeh_Wit_75_84,C11_C_Jeh_Wit_85ov,C11_C_Jeh_Wit_Tot,C11_C_La_Da_Sai_0_14,C11_C_La_Da_Sai_15_24,C11_C_La_Da_Sai_25_34,C11_C_La_Da_Sai_35_44,C11_C_La_Da_Sai_45_54,C11_C_La_Da_Sai_55_64,C11_C_La_Da_Sai_65_74,C11_C_La_Da_Sai_75_84,C11_C_La_Da_Sai_85ov,C11_C_La_Da_Sai_Tot,C11_C_Luth_0_14,C11_C_Luth_15_24,C11_C_Luth_25_34,C11_C_Luth_35_44,C11_C_Luth_45_54,C11_C_Luth_55_64,C11_C_Luth_65_74,C11_C_Luth_75_84,C11_C_Luth_85ov,C11_C_Luth_Tot,C11_C_Ori_Orth_0_14,C11_C_Ori_Orth_15_24,C11_C_Ori_Orth_25_34,C11_C_Ori_Orth_35_44,C11_C_Ori_Orth_45_54,C11_C_Ori_Orth_55_64,C11_C_Ori_Orth_65_74,C11_C_Ori_Orth_75_84,C11_C_Ori_Orth_85ov,C11_C_Ori_Orth_Tot,C11_C_Oth_Prot_0_14,C11_C_Oth_Prot_15_24,C11_C_Oth_Prot_25_34,C11_C_Oth_Prot_35_44,C11_C_Oth_Prot_45_54,C11_C_Oth_Prot_55_64,C11_C_Oth_Prot_65_74,C11_C_Oth_Prot_75_84,C11_C_Oth_Prot_85ov,C11_C_Oth_Prot_Tot,C11_C_Pentec_0_14,C11_C_Pentec_15_24,C11_C_Pentec_25_34,C11_C_Pentec_35_44,C11_C_Pentec_45_54,C11_C_Pentec_55_64,C11_C_Pentec_65_74,C11_C_Pentec_75_84,C11_C_Pentec_85ov,C11_C_Pentec_Tot,C11_C_Pres_Ref_0_14,C11_C_Pres_Ref_15_24,C11_C_Pres_Ref_25_34,C11_C_Pres_Ref_35_44,C11_C_Pres_Ref_45_54,C11_C_Pres_Ref_55_64,C11_C_Pres_Ref_65_74,C11_C_Pres_Ref_75_84,C11_C_Pres_Ref_85ov,C11_C_Pres_Ref_Tot,C11_C_Sal_Army_0_14,C11_C_Sal_Army_15_24,C11_C_Sal_Army_25_34,C11_C_Sal_Army_35_44,C11_C_Sal_Army_45_54,C11_C_Sal_Army_55_64,C11_C_Sal_Army_65_74,C11_C_Sal_Army_75_84,C11_C_Sal_Army_85ov,C11_C_Sal_Army_Tot,C11_C_Se_da_Adv_0_14,C11_C_Se_da_Adv_15_24,C11_C_Se_da_Adv_25_34,C11_C_Se_da_Adv_35_44,C11_C_Se_da_Adv_45_54,C11_C_Se_da_Adv_55_64,C11_C_Se_da_Adv_65_74,C11_C_Se_da_Adv_75_84,C11_C_Se_da_Adv_85ov,C11_C_Se_da_Adv_Tot,C11_C_Uni_Ch_0_14,C11_C_Uni_Ch_15_24,C11_C_Uni_Ch_25_34,C11_C_Uni_Ch_35_44,C11_C_Uni_Ch_45_54,C11_C_Uni_Ch_55_64,C11_C_Uni_Ch_65_74,C11_C_Uni_Ch_75_84,C11_C_Uni_Ch_85ov,C11_C_Uni_Ch_Tot,C11_Chr_Ch_nfd_0_14,C11_Chr_Ch_nfd_15_24,C11_Chr_Ch_nfd_25_34,C11_Chr_Ch_nfd_35_44,C11_Chr_Ch_nfd_45_54,C11_Chr_Ch_nfd_55_64,C11_Chr_Ch_nfd_65_74,C11_Chr_Ch_nfd_75_84,C11_Chr_Ch_nfd_85ov,C11_Chr_Ch_nfd_Tot,C11_Chr_Oth_Ch_0_14,C11_Chr_Oth_Ch_15_24,C11_Chr_Oth_Ch_25_34,C11_Chr_Oth_Ch_35_44,C11_Chr_Oth_Ch_45_54,C11_Chr_Oth_Ch_55_64,C11_Chr_Oth_Ch_65_74,C11_Chr_Oth_Ch_75_84,C11_Chr_Oth_Ch_85ov,C11_Chr_Oth_Ch_Tot
39499,12,22,44,29,27,22,14,0,0,173,90,127,194,211,296,632,442,77,15,2082,0,0,0,0,0,0,0,0,0,0,23,10,19,19,30,38,40,5,4,192,0,0,0,0,3,0,0,0,0,7,132,297,372,253,284,415,225,48,10,2038,0,0,0,3,0,4,11,0,0,30,5,7,10,8,8,9,10,3,0,50,4,9,5,6,16,4,0,0,0,46,4,29,4,8,0,5,0,0,0,57,5,13,25,16,21,45,16,3,0,152,0,0,0,0,0,0,0,0,0,4,7,4,9,10,8,10,4,0,0,54,29,17,18,17,20,35,17,7,0,159,21,18,37,38,49,139,93,16,3,410,0,0,5,3,7,23,9,0,0,53,0,0,10,5,3,4,0,4,0,24,24,30,52,55,101,192,91,17,3,561,62,47,74,56,58,56,40,11,0,401,0,0,0,0,7,5,0,0,0,20
39799,0,0,0,0,0,0,0,0,0,0,3,3,11,12,13,21,17,13,3,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,16,15,15,14,14,9,15,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,0,8,7,4,5,6,0,42,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
4GADE,4196,4599,5097,4614,4040,3001,983,452,140,27125,18443,13289,11223,18745,25082,25848,20264,14719,7097,154703,0,0,0,0,0,0,0,0,0,0,3611,2815,2579,2769,3163,3299,2274,1406,716,22638,170,150,140,78,97,91,70,33,15,839,47025,34795,30408,36252,38940,31397,21330,15372,5885,261411,379,273,239,342,567,783,764,596,318,4254,7063,4893,4280,6467,6719,4338,4308,3382,844,42292,628,458,633,581,703,676,476,336,136,4631,609,429,357,312,334,348,203,125,47,2770,6767,4722,4237,4914,5482,5070,3361,2722,1264,38537,265,162,210,191,122,66,30,20,8,1066,375,331,327,380,347,305,186,140,94,2487,3101,2225,2035,1976,2162,1930,1004,500,125,15060,950,860,871,1243,2108,2713,2122,1508,698,13069,387,315,264,362,546,580,491,355,176,3481,312,287,234,233,282,233,204,122,57,1952,10821,8573,6713,9970,13870,16589,12707,8731,4965,92939,6187,4315,4205,3953,3856,3229,1688,748,341,28524,730,528,504,523,490,437,387,201,107,3908
4RSAU,231,164,330,397,316,260,99,18,0,1820,4965,2823,2630,4965,7569,8828,7486,4421,1760,45444,0,0,0,0,0,0,0,0,0,0,705,432,395,501,636,790,606,336,121,4514,87,49,40,37,46,32,26,17,8,350,10704,6298,5767,7473,8538,7621,5685,3087,972,56150,177,119,104,127,228,359,329,258,105,1815,538,273,218,457,444,333,368,263,38,2936,240,180,185,224,254,246,179,122,30,1652,130,77,64,79,79,75,70,28,6,599,6657,3533,3232,4133,4665,4508,3111,2079,901,32822,6,3,11,8,0,0,0,0,0,32,69,50,40,63,81,81,57,29,14,493,891,546,447,492,657,617,402,175,37,4262,491,382,352,606,1254,1590,1351,863,346,7227,164,126,98,154,256,304,271,177,46,1583,96,59,58,78,70,116,78,58,34,643,6069,3464,2850,4969,7575,9337,7785,5056,2267,49369,1784,1018,823,1004,1171,1096,777,307,70,8056,135,75,74,97,77,75,74,23,18,660
49499,11,8,10,8,10,7,6,0,0,54,12,27,39,38,52,71,50,3,8,296,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,0,0,0,24,0,0,0,0,0,0,0,0,0,5,32,59,78,74,61,54,30,5,4,395,0,0,0,0,0,0,0,0,0,3,9,0,6,8,0,3,0,0,0,31,0,0,7,0,0,0,0,0,0,14,0,4,0,0,0,0,4,0,0,7,5,12,12,14,14,3,0,0,3,76,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,10,3,4,3,9,0,5,3,0,0,27,0,0,3,4,7,8,10,0,0,39,3,0,0,0,0,0,6,0,0,14,0,0,5,0,0,0,0,0,0,7,4,0,9,20,25,33,17,3,5,122,14,15,25,17,22,5,4,6,0,108,0,0,0,0,0,3,0,0,0,10
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,5874,6667,8447,7391,6538,5183,1871,729,199,42899,45207,30591,27444,45633,51910,50029,36351,22690,9372,319235,0,0,0,0,6,0,0,0,0,9,6934,4666,4002,4638,4354,3502,2183,1267,456,31996,343,276,216,145,153,133,104,76,32,1478,85677,58690,56155,60917,58705,47228,30131,18725,6484,422717,1149,702,635,838,881,1031,839,460,199,6726,4412,3063,3439,4049,3826,3171,1968,1438,516,25875,1346,847,1107,1073,1205,1171,741,452,156,8094,1312,817,770,650,591,540,299,143,54,5181,1475,983,1061,1401,1399,1257,1015,582,292,9466,444,263,297,283,218,103,65,29,10,1715,836,751,810,869,879,605,388,178,98,5417,4469,3357,2863,2780,2968,2138,1022,437,105,20142,4320,3398,3293,4633,6735,6927,5003,3193,1349,38857,470,365,317,489,560,702,520,398,155,3986,865,583,601,547,473,488,331,236,131,4258,6757,5500,4674,6213,8125,8758,6313,4177,1956,52472,10786,8059,7869,6776,6251,4804,2331,963,322,48164,703,470,471,562,518,381,261,145,56,3574
5RWAU,563,457,818,934,799,619,128,37,6,4360,14304,7302,8395,14832,17947,17332,11765,6479,2336,100700,0,0,0,0,0,0,0,0,0,0,2202,1118,1153,1405,1389,1200,652,323,130,9570,141,123,94,64,56,54,26,23,9,586,23924,12815,14130,16134,15345,11574,6658,3470,1110,105157,772,397,357,469,460,429,306,133,52,3369,183,146,209,217,253,233,119,70,24,1453,570,319,388,465,448,431,290,145,42,3092,447,193,198,211,203,154,81,34,10,1522,612,323,413,573,576,527,349,188,57,3617,8,4,15,10,10,0,0,0,0,49,842,436,430,402,410,279,141,71,28,3039,1216,580,598,587,632,438,223,86,20,4377,1130,518,684,1229,1923,2087,1293,723,200,9785,181,114,132,175,278,303,202,91,34,1516,650,315,299,360,318,297,215,169,38,2662,2595,1534,1702,2511,3822,4082,2938,1817,622,21619,3808,1945,1949,2143,1962,1510,771,310,75,14479,201,113,111,165,159,96,56,28,8,938
59499,13,19,33,19,24,10,3,3,0,126,85,59,128,147,177,306,178,25,8,1103,0,0,0,0,0,0,0,0,0,0,17,4,8,14,19,14,14,0,0,103,0,0,0,0,0,0,0,0,0,0,101,127,276,174,170,198,85,17,3,1140,4,0,5,3,0,0,4,0,0,20,0,3,3,3,0,4,0,0,0,20,0,0,6,5,3,6,6,0,0,36,3,17,5,8,4,0,0,0,0,38,5,3,3,10,14,17,10,0,0,51,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,0,20,13,10,12,6,5,11,6,0,0,68,18,6,15,24,31,74,32,0,5,199,4,3,5,0,6,8,0,0,0,24,0,0,0,0,0,6,6,0,0,12,9,17,34,19,46,86,55,0,0,265,13,20,30,20,32,38,15,3,0,177,0,0,0,0,3,0,0,0,0,10
59799,0,0,5,5,0,0,0,0,0,9,0,0,13,13,22,11,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,41,28,16,9,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,156,351,375,287,283,253,82,15,7,1810,6903,5048,4702,7224,9242,9341,6740,4307,1961,55468,0,0,0,0,0,0,0,0,0,0,289,252,178,245,300,278,234,122,42,1951,63,54,33,39,38,29,25,31,13,323,8381,5627,4789,5663,6518,5378,3570,2172,790,42884,36,36,21,30,64,70,57,31,18,361,333,182,177,275,255,164,209,117,21,1733,103,75,108,83,95,110,76,53,21,721,137,83,94,78,71,82,53,29,7,646,84,51,72,118,150,139,134,165,36,954,54,34,24,23,14,7,0,0,0,161,51,41,37,43,39,51,29,14,12,311,448,309,248,281,263,213,100,47,11,1922,494,319,319,425,554,721,564,428,212,4033,70,67,54,76,108,98,85,66,12,631,67,63,56,51,73,45,32,41,28,457,665,606,447,744,1123,1435,1083,772,342,7215,977,585,555,576,576,412,236,95,52,4058,44,36,32,41,72,67,61,20,15,386
6RTAS,179,286,273,322,321,267,94,18,5,1765,8855,6225,5179,9243,12422,13123,9947,5825,2211,73037,0,0,0,0,0,0,0,0,0,0,936,634,547,791,1030,1145,859,498,185,6632,288,230,131,165,184,157,167,92,61,1479,8421,5611,4624,6198,7180,6338,4446,2269,711,45807,134,91,69,92,145,178,88,73,23,891,83,68,60,83,86,69,68,35,10,562,197,111,147,173,262,248,176,119,26,1453,237,117,128,109,108,109,88,45,16,956,147,97,101,138,179,233,198,110,47,1249,24,24,9,9,11,3,4,0,0,84,80,49,42,78,84,57,41,23,7,477,739,450,270,372,436,316,213,59,17,2862,777,564,453,735,1223,1623,1431,865,374,8040,154,114,101,162,225,249,160,113,37,1318,104,58,80,63,103,104,73,42,30,648,1506,1199,912,1688,2777,3470,2758,1713,735,16764,1991,1057,928,1065,1142,968,531,235,62,7972,77,44,36,51,59,78,55,34,10,456
69499,0,4,6,0,0,5,0,0,0,15,15,27,12,35,33,32,24,7,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,14,0,0,0,0,0,0,0,0,0,0,9,17,28,23,15,15,7,3,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,8,8,0,4,0,5,5,4,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,6,0,6,3,4,0,0,24,0,4,8,3,10,7,0,0,0,33,0,0,0,0,0,6,0,0,0,6
69799,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,7,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
7GDAR,489,392,531,569,465,313,144,49,11,2972,2275,1509,1877,2467,2628,2205,1044,332,96,14419,0,0,0,0,0,0,0,0,0,0,398,239,284,289,291,150,75,35,6,1768,0,3,4,0,0,0,0,0,0,8,5985,4154,4702,4461,3902,2721,1249,507,92,27768,24,9,18,22,16,12,3,0,0,111,889,426,577,591,424,364,221,81,12,3580,87,41,83,68,53,58,21,4,0,431,74,42,44,47,44,28,3,0,0,279,346,183,252,261,232,213,113,36,7,1646,17,8,5,12,6,3,0,0,0,56,82,110,98,82,75,36,20,12,0,501,248,180,149,173,134,95,29,0,0,1016,243,167,214,329,456,452,225,49,11,2149,58,40,32,46,58,40,35,15,6,332,65,44,54,55,41,36,13,3,0,316,977,658,654,841,1010,889,384,141,38,5596,643,407,463,389,298,229,80,19,5,2530,27,18,8,21,25,13,7,3,0,132
7RNTE,82,82,159,132,132,83,9,0,4,684,1995,1252,1302,1452,1519,1228,513,158,38,9446,0,0,0,0,0,0,0,0,0,0,1196,648,653,524,379,279,102,56,16,3855,4,0,4,0,0,0,0,0,0,8,4779,2718,2937,2567,2289,1531,573,205,37,17639,19,7,16,14,7,6,6,0,0,70,23,25,33,24,37,17,17,5,0,179,50,35,31,39,34,27,13,3,0,232,56,45,58,33,23,24,10,0,0,246,1795,1127,966,828,689,499,213,76,31,6218,15,4,18,0,3,0,0,0,0,43,604,341,267,258,185,97,43,17,5,1810,380,181,194,171,183,98,41,12,11,1274,107,68,89,130,191,221,126,25,4,975,23,20,19,13,40,24,17,4,0,150,46,26,12,30,19,19,9,0,0,173,2486,1436,1383,1340,1141,777,326,102,28,9013,759,393,446,369,283,190,60,16,3,2528,17,4,18,22,15,7,9,5,0,97
79499,0,0,14,8,3,7,0,0,0,25,3,13,18,24,47,86,61,5,0,258,0,0,0,0,0,0,0,0,0,0,0,5,4,0,3,12,6,0,0,31,0,0,0,0,0,0,0,0,0,0,28,39,66,43,51,67,34,4,0,329,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,5,5,8,3,4,4,6,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,7,0,3,4,6,9,3,0,0,25,0,0,0,4,8,23,18,0,0,55,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,3,5,0,11,10,14,31,14,0,0,87,0,3,7,4,8,0,0,0,0,32,0,0,0,0,0,0,0,0,0,5
79799,0,0,0,0,0,0,0,0,0,4,0,5,6,4,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,3,5,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,1272,1506,1737,1715,1546,1012,348,139,54,9324,7889,6011,6077,7800,8071,7499,4782,2834,1358,52318,3,0,3,8,3,4,3,0,0,22,769,600,612,660,683,536,314,135,72,4380,12,11,9,4,19,9,6,8,9,85,19198,13991,12891,13615,12522,10020,6253,3476,1224,93190,28,20,26,25,51,82,39,22,16,314,1229,774,869,1160,898,713,652,410,90,6796,106,68,102,102,112,103,56,34,14,694,181,114,135,102,89,51,23,18,3,708,408,345,421,478,531,484,418,280,120,3484,73,44,84,49,45,25,4,5,0,338,198,179,184,144,130,88,42,32,3,1004,866,599,604,542,465,376,117,41,15,3632,868,745,865,1133,1466,1469,957,697,302,8493,156,98,83,115,109,100,85,26,15,786,113,105,133,79,89,50,35,19,11,632,1591,1256,1443,1619,1903,1852,1181,695,352,11887,1658,1180,1204,1062,1085,814,360,131,60,7548,48,47,64,48,92,68,60,29,12,470
89499,0,3,0,0,4,3,0,0,0,13,9,11,14,8,10,9,4,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,13,17,21,24,14,12,4,0,0,110,0,0,0,0,0,0,0,0,0,0,5,0,4,3,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,5,3,0,0,3,0,0,12,0,5,5,3,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,4
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,33,34,30,52,61,113,33,8,0,356,37,25,26,36,44,26,17,0,0,208,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,38,32,16,40,41,22,8,0,0,204,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,5,9,0,0,12,0,0,3,0,0,23,0,0,0,0,0,4,0,0,0,0,3,3,3,3,7,7,3,0,0,22,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,11,0,0,4,6,14,11,4,0,0,38,15,5,8,14,7,3,0,0,0,44,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
