GCCSA_CODE_2021,C11_0_4_Need_asst_M,C11_0_4_Need_asst_F,C11_0_4_Need_asst_P,C11_0_4_No_need_asst_M,C11_0_4_No_need_asst_F,C11_0_4_No_need_asst_P,C11_0_4_Need_asst_ns_M,C11_0_4_Need_asst_ns_F,C11_0_4_Need_asst_ns_P,C11_0_4_Tot_M,C11_0_4_Tot_F,C11_0_4_Tot_P,C11_5_14_Need_asst_M,C11_5_14_Need_asst_F,C11_5_14_Need_asst_P,C11_5_14_No_need_asst_M,C11_5_14_No_need_asst_F,C11_5_14_No_need_asst_P,C11_5_14_Need_asst_ns_M,C11_5_14_Need_asst_ns_F,C11_5_14_Need_asst_ns_P,C11_5_14_Tot_M,C11_5_14_Tot_F,C11_5_14_Tot_P,C11_15_19_Need_asst_M,C11_15_19_Need_asst_F,C11_15_19_Need_asst_P,C11_15_19_No_need_asst_M,C11_15_19_No_need_asst_F,C11_15_19_No_need_asst_P,C11_15_19_Need_asst_ns_M,C11_15_19_Need_asst_ns_F,C11_15_19_Need_asst_ns_P,C11_15_19_Tot_M,C11_15_19_Tot_F,C11_15_19_Tot_P,C11_20_24_Need_asst_M,C11_20_24_Need_asst_F,C11_20_24_Need_asst_P,C11_20_24_No_need_asst_M,C11_20_24_No_need_asst_F,C11_20_24_No_need_asst_P,C11_20_24_Need_asst_ns_M,C11_20_24_Need_asst_ns_F,C11_20_24_Need_asst_ns_P,C11_20_24_Tot_M,C11_20_24_Tot_F,C11_20_24_Tot_P,C11_25_34_Need_asst_M,C11_25_34_Need_asst_F,C11_25_34_Need_asst_P,C11_25_34_No_need_asst_M,C11_25_34_No_need_asst_F,C11_25_34_No_need_asst_P,C11_25_34_Need_asst_ns_M,C11_25_34_Need_asst_ns_F,C11_25_34_Need_asst_ns_P,C11_25_34_Tot_M,C11_25_34_Tot_F,C11_25_34_Tot_P,C11_35_44_Need_asst_M,C11_35_44_Need_asst_F,C11_35_44_Need_asst_P,C11_35_44_No_need_asst_M,C11_35_44_No_need_asst_F,C11_35_44_No_need_asst_P,C11_35_44_Need_asst_ns_M,C11_35_44_Need_asst_ns_F,C11_35_44_Need_asst_ns_P,C11_35_44_Tot_M,C11_35_44_Tot_F,C11_35_44_Tot_P,C11_45_54_Need_asst_M,C11_45_54_Need_asst_F,C11_45_54_Need_asst_P,C11_45_54_No_need_asst_M,C11_45_54_No_need_asst_F,C11_45_54_No_need_asst_P,C11_45_54_Need_asst_ns_M,C11_45_54_Need_asst_ns_F,C11_45_54_Need_asst_ns_P,C11_45_54_Tot_M,C11_45_54_Tot_F,C11_45_54_Tot_P,C11_55_64_Need_asst_M,C11_55_64_Need_asst_F,C11_55_64_Need_asst_P,C11_55_64_No_need_asst_M,C11_55_64_No_need_asst_F,C11_55_64_No_need_asst_P,C11_55_64_Need_asst_ns_M,C11_55_64_Need_asst_ns_F,C11_55_64_Need_asst_ns_P,C11_55_64_Tot_M,C11_55_64_Tot_F,C11_55_64_Tot_P,C11_65_74_Need_asst_M,C11_65_74_Need_asst_F,C11_65_74_Need_asst_P,C11_65_74_No_need_asst_M,C11_65_74_No_need_asst_F,C11_65_74_No_need_asst_P,C11_65_74_Need_asst_ns_M,C11_65_74_Need_asst_ns_F,C11_65_74_Need_asst_ns_P,C11_65_74_Tot_M,C11_65_74_Tot_F,C11_65_74_Tot_P,C11_75_84_Need_asst_M,C11_75_84_Need_asst_F,C11_75_84_Need_asst_P,C11_75_84_No_need_asst_M,C11_75_84_No_need_asst_F,C11_75_84_No_need_asst_P,C11_75_84_Need_asst_ns_M,C11_75_84_Need_asst_ns_F,C11_75_84_Need_asst_ns_P,C11_75_84_Tot_M,C11_75_84_Tot_F,C11_75_84_Tot_P,C11_85over_Need_asst_M,C11_85over_Need_asst_F,C11_85over_Need_asst_P,C11_85over_No_need_asst_M,C11_85over_No_need_asst_F,C11_85over_No_need_asst_P,C11_85over_Need_asst_ns_M,C11_85over_Need_asst_ns_F,C11_85over_Need_asst_ns_P,C11_85over_Tot_M,C11_85over_Tot_F,C11_85over_Tot_P,C11_Tot_Need_asst_M,C11_Tot_Need_asst_F,C11_Tot_Need_asst_P,C11_Tot_No_need_asst_M,C11_Tot_No_need_asst_F,C11_Tot_No_need_asst_P,C11_Tot_Need_asst_ns_M,C11_Tot_Need_asst_ns_F,C11_Tot_Need_asst_ns_P,C11_Tot_Tot_M,C11_Tot_Tot_F,C11_Tot_Tot_P,C16_0_4_Need_asst_M,C16_0_4_Need_asst_F,C16_0_4_Need_asst_P,C16_0_4_No_need_asst_M,C16_0_4_No_need_asst_F,C16_0_4_No_need_asst_P,C16_0_4_Need_asst_ns_M,C16_0_4_Need_asst_ns_F,C16_0_4_Need_asst_ns_P,C16_0_4_Tot_M,C16_0_4_Tot_F,C16_0_4_Tot_P,C16_5_14_Need_asst_M,C16_5_14_Need_asst_F,C16_5_14_Need_asst_P,C16_5_14_No_need_asst_M,C16_5_14_No_need_asst_F,C16_5_14_No_need_asst_P,C16_5_14_Need_asst_ns_M,C16_5_14_Need_asst_ns_F,C16_5_14_Need_asst_ns_P,C16_5_14_Tot_M,C16_5_14_Tot_F,C16_5_14_Tot_P,C16_15_19_Need_asst_M,C16_15_19_Need_asst_F,C16_15_19_Need_asst_P,C16_15_19_No_need_asst_M,C16_15_19_No_need_asst_F,C16_15_19_No_need_asst_P,C16_15_19_Need_asst_ns_M,C16_15_19_Need_asst_ns_F,C16_15_19_Need_asst_ns_P,C16_15_19_Tot_M,C16_15_19_Tot_F,C16_15_19_Tot_P,C16_20_24_Need_asst_M,C16_20_24_Need_asst_F,C16_20_24_Need_asst_P,C16_20_24_No_need_asst_M,C16_20_24_No_need_asst_F,C16_20_24_No_need_asst_P,C16_20_24_Need_asst_ns_M,C16_20_24_Need_asst_ns_F,C16_20_24_Need_asst_ns_P,C16_20_24_Tot_M,C16_20_24_Tot_F,C16_20_24_Tot_P,C16_25_34_Need_asst_M,C16_25_34_Need_asst_F,C16_25_34_Need_asst_P,C16_25_34_No_need_asst_M,C16_25_34_No_need_asst_F,C16_25_34_No_need_asst_P,C16_25_34_Need_asst_ns_M,C16_25_34_Need_asst_ns_F
39499,0,0,0,233,202,434,30,31,62,263,233,499,7,3,11,232,240,472,40,36,81,279,279,563,10,4,10,200,202,404,59,50,104,269,256,523,7,4,7,445,472,915,116,68,189,568,544,1118,21,19,41,967,760,1729,228,100,329,1216,879,2097,33,17,50,721,487,1204,214,88,302,968,592,1556,53,51,104,730,604,1332,203,77,277,986,732,1715,128,88,215,1133,1022,2155,181,96,271,1442,1206,2646,72,46,113,762,466,1225,102,39,142,936,551,1485,26,22,49,149,59,205,29,14,38,204,95,297,10,8,19,15,13,29,0,8,8,25,29,52,371,260,630,5581,4530,10110,1205,599,1803,7157,5389,12544,0,4,4,152,133,286,29,22,50,181,159,341,16,0,19,195,200,397,36,33,71,247,233,487,5,9,12,163,163,326,42,28,69,210,200,408,11,3,12,437,455,890,113,113,235,561,571,1130,23,14,35,940,772,1720,324,220
39799,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,8,4,18,0,0,3,8,4,21,0,0,0,11,4,21,0,0,0,11,4,21,0,0,0,34,16,46,10,0,6,44,16,50,0,0,0,40,13,52,7,3,9,47,16,60,0,0,0,30,21,47,7,5,14,37,26,58,0,0,0,35,26,54,15,4,21,50,30,80,0,0,0,31,25,59,5,10,9,36,35,76,0,0,0,21,23,48,0,8,10,21,31,52,0,4,7,14,24,34,0,0,5,14,28,43,0,0,4,0,0,3,0,3,3,0,3,6,5,7,11,223,155,383,45,29,79,273,191,470,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,4,3,12,0,0,0,3,3,6,0,0,0,3,3,6,0,0,0,7,7,8,0,0
4GADE,641,350,988,34653,33555,68205,2208,2151,4360,37502,36056,73556,3138,1444,4578,67162,65309,132468,3119,2902,6024,73419,69655,143072,1017,621,1640,38241,37210,75443,1785,1452,3239,41043,39283,80323,779,560,1336,41025,40766,81798,2427,1745,4178,44231,43071,87307,1421,1261,2682,76162,77261,153425,4456,3350,7805,82039,81872,163914,2043,2007,4053,77610,80206,157815,3938,3136,7069,83591,85349,168937,3010,3230,6236,77083,81090,158171,3682,2963,6639,83775,87283,171049,4040,3970,8007,64268,69840,134108,2768,2520,5286,71076,76330,147401,3696,4180,7878,39554,44361,83915,1853,1913,3762,45103,50454,95552,5097,8700,13796,21655,25692,47349,1458,1853,3311,28210,36245,64455,4133,10482,14612,5224,7751,12970,689,1391,2080,10046,19624,29662,29009,36806,65811,542626,563046,1105677,28372,25374,53751,600007,625226,1225238,776,404,1183,36398,34570,70970,2059,1936,3996,39233,36910,76146,4466,2012,6483,68695,67836,136532,3491,3292,6783,76652,73140,149800,1476,822,2294,37204,36326,73535,1810,1745,3553,40490,38893,79384,1006,737,1744,42045,41048,83095,2445,2249,4694,45496,44034,89531,1805,1587,3387,80919,83808,164727,5342,4848
4RSAU,151,89,242,10710,10111,20826,714,678,1387,11575,10878,22449,945,449,1398,22176,21677,43850,1203,1099,2302,24324,23225,47553,327,228,560,11033,10146,21178,605,446,1053,11965,10820,22784,271,170,441,8646,7840,16483,675,395,1070,9592,8405,17999,427,320,749,17100,17734,34833,1396,840,2238,18923,18894,37815,708,697,1405,21206,21855,43064,1565,925,2492,23479,23477,46958,1105,1034,2132,24518,24291,48803,1532,962,2496,27155,26287,53435,1802,1445,3244,23289,22994,46279,1310,941,2251,26401,25380,51777,1634,1388,3022,16349,16363,32712,902,787,1686,18885,18538,37419,1641,2322,3969,7956,8423,16379,598,706,1309,10195,11451,21651,1106,2876,3985,1602,2224,3826,227,371,607,2935,5471,8420,10119,11025,21142,164589,163660,328247,10721,8157,18877,185429,182842,368261,186,96,280,9648,9399,19047,790,719,1512,10624,10214,20839,1225,571,1797,21028,20208,41234,1540,1431,2968,23793,22210,46002,461,237,696,9788,9318,19106,684,647,1333,10933,10202,21131,301,215,518,8363,7749,16114,891,662,1559,9555,8626,18189,482,428,907,17198,17482,34686,2173,1482
49499,0,0,0,57,61,124,8,4,10,65,65,134,3,3,4,79,73,152,0,7,11,82,83,164,0,0,0,63,60,124,11,9,14,74,69,145,7,0,7,128,117,243,21,11,37,156,128,283,4,6,8,292,214,503,58,22,75,354,242,589,11,12,26,242,145,383,52,18,72,305,175,476,11,11,20,191,152,343,62,31,95,264,194,460,21,18,41,192,130,322,48,18,63,261,166,428,9,12,20,108,58,167,19,18,39,136,88,225,9,14,20,13,9,19,21,26,48,43,49,84,13,4,16,8,0,13,9,36,47,30,40,71,90,79,165,1366,1025,2390,317,189,508,1773,1293,3067,4,0,3,39,38,80,4,3,7,47,41,89,8,0,11,42,59,101,6,12,15,56,71,125,0,0,0,74,63,140,16,10,26,90,73,170,0,3,6,126,85,215,34,16,47,160,104,262,10,8,18,283,164,451,60,39
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,647,392,1041,54175,51411,105591,4250,3935,8186,59072,55738,114820,3080,1494,4571,102480,98821,201300,6070,5650,11718,111630,105965,217587,1107,657,1765,55784,53914,109701,3398,2893,6290,60289,57464,117747,797,539,1336,59849,59099,118947,5378,3524,8894,66024,63162,129178,1332,1141,2471,115983,116684,232668,11158,7429,18587,128473,125254,253731,1765,1806,3567,113519,118863,232382,9074,6384,15464,124358,127053,251416,2395,2784,5182,105817,111467,217285,7251,5288,12540,115463,119539,235005,3837,3729,7563,85435,90393,175828,5442,4340,9779,94714,98462,193178,4094,4139,8234,50339,53208,103544,3048,2833,5881,57481,60180,117660,4945,8101,13044,24032,28426,52463,2116,2662,4782,31093,39189,70292,3573,9221,12798,5132,7361,12497,984,1972,2959,9689,18554,28249,27580,33999,61583,772552,789653,1562202,58175,46911,105081,858307,870563,1728868,804,453,1259,60201,57486,117688,4033,3733,7770,65038,61672,126714,4403,2156,6558,114285,110216,224498,6421,6134,12556,125109,118506,243613,1561,909,2466,56542,54816,111358,3296,3010,6309,61399,58735,120131,1163,771,1932,61933,59878,121811,5257,4429,9687,68353,65078,133428,1902,1615,3512,137422,140740,278161,13874,11133
5RWAU,174,100,271,16731,15743,32472,1740,1699,3437,18645,17542,36179,895,442,1340,32642,31483,64118,2740,2672,5412,36277,34597,70871,311,165,476,14386,13036,27417,1358,969,2333,16055,14170,30226,235,151,380,13205,12118,25314,2362,1119,3480,15802,13388,29176,339,348,691,30409,29284,59687,5683,2612,8296,36431,32244,68674,547,562,1110,34258,32591,66855,5036,2587,7629,39841,35740,75594,902,914,1811,34431,31362,65791,4254,2196,6449,39587,34472,74053,1442,1257,2702,27704,25226,52928,2691,1550,4243,31837,28033,59876,1383,1141,2520,15457,14351,29804,1125,810,1935,17965,16302,34265,1363,1838,3200,6592,6736,13326,592,609,1201,8547,9183,17725,840,1949,2790,1171,1500,2676,208,274,484,2219,3723,5951,8428,8861,17292,226985,213420,440403,27801,17100,44901,263214,239381,502593,181,114,297,16123,15091,31220,1733,1615,3343,18037,16820,34855,1139,513,1651,32093,31323,63415,3119,2919,6041,36351,34755,71103,414,220,639,13802,12689,26494,1410,1171,2578,15626,14080,29712,301,186,483,11930,10961,22893,1707,1297,3000,13938,12444,26381,502,411,910,30737,30163,60894,5630,3619
59499,0,0,0,113,116,223,18,14,33,131,130,259,0,0,0,154,140,295,27,24,53,181,164,343,0,0,0,85,83,175,37,26,61,122,109,232,4,0,6,269,236,508,62,32,103,335,268,614,10,7,13,706,532,1241,207,91,294,923,630,1544,13,7,20,545,322,865,177,90,261,735,419,1146,21,13,30,489,342,835,174,56,231,684,411,1091,53,23,78,563,533,1096,110,54,167,726,610,1339,15,15,29,323,193,519,44,20,64,382,228,608,5,7,7,44,21,63,19,3,20,68,31,93,9,3,7,0,0,0,0,5,3,9,8,16,125,76,203,3286,2512,5804,869,423,1294,4280,3011,7294,0,0,0,68,55,126,15,22,34,83,77,163,0,4,4,102,94,200,13,22,30,115,120,236,0,0,0,61,49,108,27,22,44,88,71,153,4,0,4,193,182,376,61,62,120,258,244,503,6,3,14,550,384,932,212,150
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,7,0,0,0,28,8,31,6,0,6,34,8,38,0,0,0,119,5,128,22,0,27,141,5,152,0,0,0,81,5,89,17,0,15,98,5,105,0,0,0,61,6,67,3,0,3,64,6,69,0,0,0,28,0,25,10,0,10,38,0,30,0,0,0,3,5,8,0,0,5,3,5,6,0,0,0,0,5,4,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,29,351,60,4,59,379,33,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,18,0,0,4,17,3,23,0,0,0,96,5,100,23,3
6GHOB,87,60,149,6424,6143,12567,437,412,847,6948,6615,13565,489,215,708,12440,11902,24340,601,551,1156,13530,12668,26201,182,107,284,6535,6390,12927,302,266,573,7019,6763,13781,143,91,233,6712,6792,13505,478,337,814,7333,7220,14548,270,226,501,11657,12520,24175,767,559,1325,12694,13305,25998,354,449,800,12405,13624,26028,683,540,1223,13442,14613,28053,603,585,1188,13155,14442,27601,647,556,1202,14405,15583,29993,829,853,1679,11683,12506,24193,609,509,1120,13121,13868,26989,766,767,1529,7082,7838,14924,389,394,781,8237,8999,17232,820,1381,2206,3556,4335,7888,264,373,641,4640,6089,10735,625,1619,2246,770,1229,1997,116,193,305,1511,3041,4551,5163,6362,11518,92424,97713,190141,5296,4702,9999,102883,108777,211657,102,61,158,6167,5917,12088,395,355,751,6664,6333,12998,648,311,956,12558,12191,24747,731,661,1390,13937,13163,27092,242,128,372,6298,6181,12474,344,381,720,6884,6690,13566,193,135,322,6403,6403,12811,493,416,909,7089,6954,14046,364,295,655,12510,13350,25858,1076,891
6RTAS,144,74,217,8344,7914,16258,556,537,1103,9044,8525,17570,695,346,1046,17086,16760,33847,767,766,1532,18548,17872,36429,274,152,429,9114,8522,17640,391,346,735,9779,9020,18803,171,136,302,7015,6958,13973,352,293,644,7538,7387,14914,337,302,644,12907,14306,27213,651,548,1199,13895,15156,29051,591,595,1180,16206,17793,33998,769,669,1434,17566,19057,36615,985,958,1939,18465,19457,37919,869,661,1531,20319,21076,41388,1628,1411,3038,17251,17855,35099,842,672,1518,19721,19938,39661,1361,1203,2563,11808,11851,23662,626,594,1219,13795,13648,27444,1243,1743,2983,5204,5835,11037,436,476,912,6883,8054,14937,780,2020,2801,1029,1439,2470,186,231,423,1995,3690,5692,8209,8939,17148,124440,128681,253116,6452,5793,12247,139101,143413,282508,102,67,164,7202,6938,14143,550,574,1121,7854,7579,15432,905,474,1375,15682,15310,30994,1145,1085,2231,17732,16869,34602,408,220,625,8079,7634,15711,559,545,1111,9046,8399,17447,287,188,471,7249,6855,14105,608,537,1147,8144,7580,15722,418,362,778,12767,13644,26418,1072,1075
69499,0,0,0,20,19,34,0,4,9,20,23,42,0,0,0,24,28,49,4,3,8,28,31,57,3,0,5,32,47,81,7,9,13,42,56,96,0,0,5,50,38,79,10,5,16,60,43,105,0,4,3,97,61,159,33,7,39,130,72,207,4,0,8,75,50,127,22,3,26,101,53,164,3,3,11,62,62,123,18,0,15,83,65,153,6,7,10,66,55,127,15,8,23,87,70,157,6,3,7,33,28,55,3,0,9,42,31,73,4,0,3,4,8,15,0,4,4,8,12,20,0,0,0,0,0,0,0,0,0,0,0,0,33,28,54,472,391,862,113,48,160,618,467,1075,0,0,0,21,18,41,0,0,0,21,18,39,0,0,0,11,20,33,0,9,8,11,29,35,4,0,4,29,27,55,3,0,4,36,27,62,0,0,4,43,19,63,17,9,27,60,28,91,0,0,0,84,56,136,37,12
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,5,4,10,0,0,0,5,4,10,0,0,0,19,7,24,0,0,0,19,7,21,0,0,0,15,6,14,5,3,10,20,9,21,0,0,0,17,0,24,0,0,0,17,0,24,0,0,0,12,5,17,0,0,0,12,5,20,0,0,0,3,3,8,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,70,30,103,10,3,11,84,33,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,7,0,0,0,6,5,7,0,0,0,15,3,19,0,0
7GDAR,54,19,74,3976,3767,7739,593,495,1087,4623,4281,8906,220,109,333,7123,7142,14262,986,892,1876,8329,8143,16476,70,37,104,3615,3245,6856,650,413,1065,4335,3695,8023,54,28,82,4403,3703,8102,842,438,1278,5299,4169,9459,83,86,170,8905,9105,18010,1812,1067,2878,10800,10258,21055,126,139,261,8403,8440,16840,1446,1005,2448,9975,9584,19544,192,158,348,7418,7284,14703,1135,817,1954,8745,8259,17003,265,237,499,5629,4984,10607,830,551,1378,6724,5772,12486,264,213,478,2382,1966,4347,322,221,539,2968,2400,5364,222,269,496,583,523,1099,144,95,237,949,887,1835,73,161,235,64,69,133,29,26,58,166,256,426,1617,1456,3080,52491,50213,102704,8786,6012,14804,62894,57681,120586,62,44,98,4512,4440,8951,565,535,1100,5139,5019,10155,325,133,462,7748,7473,15219,862,838,1694,8935,8444,17373,109,63,167,3494,3141,6630,435,357,797,4038,3561,7600,68,37,101,4338,3788,8122,799,530,1330,5205,4355,9552,134,102,235,11567,11189,22758,2348,1521
7RNTE,24,18,38,3744,3553,7291,419,403,815,4187,3974,8155,128,59,184,7189,6736,13919,709,648,1356,8026,7443,15466,44,36,84,3108,2932,6036,345,290,635,3497,3258,6757,50,29,76,3103,3253,6352,456,338,791,3609,3620,7220,83,78,159,6466,6828,13294,980,662,1644,7529,7568,15100,119,131,247,5679,5967,11650,830,630,1466,6628,6728,13363,188,191,382,4921,4886,9807,636,466,1100,5745,5543,11286,260,294,556,3464,3107,6568,414,277,691,4138,3678,7821,202,262,465,1244,964,2205,170,135,306,1616,1361,2973,119,179,299,279,281,565,53,66,117,451,526,982,35,90,124,38,58,96,14,27,43,87,175,267,1248,1374,2620,39230,38555,77785,5035,3940,8974,45513,43869,89372,29,18,52,3195,2985,6183,604,566,1169,3828,3569,7397,134,65,201,6422,5962,12385,924,836,1765,7480,6863,14344,56,41,100,2810,2518,5325,553,469,1023,3419,3028,6439,36,31,73,2781,2760,5548,728,559,1287,3545,3350,6903,108,71,185,6126,6661,12787,1469,1251
79499,0,0,0,28,29,55,0,4,9,28,33,59,0,0,0,29,40,72,6,3,9,35,43,84,0,0,0,7,17,29,3,0,6,10,17,32,0,0,0,54,62,124,13,8,20,67,70,143,0,0,0,158,149,305,40,21,55,198,170,365,8,0,9,116,77,185,29,12,40,153,89,231,3,3,9,107,110,216,27,21,48,137,134,274,24,14,35,185,158,345,32,28,62,241,200,441,16,3,16,118,74,188,6,5,20,140,82,223,0,0,0,9,7,16,0,0,0,9,7,24,0,0,0,0,0,0,0,0,0,0,0,4,50,29,78,811,719,1530,157,108,260,1018,856,1870,0,0,0,34,28,61,6,9,20,40,37,79,0,0,0,43,58,102,9,13,23,52,71,125,0,0,0,16,14,32,0,0,4,16,14,31,0,0,4,61,49,114,33,36,74,94,85,188,6,0,7,128,152,278,90,85
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,4,0,4,0,0,0,12,0,15,3,0,3,15,0,16,0,0,0,27,8,34,6,0,6,33,8,38,0,0,0,17,0,14,0,0,0,17,0,17,0,0,0,17,0,14,0,0,0,17,0,13,0,0,0,3,4,9,0,0,0,3,4,11,0,0,0,0,3,5,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,16,94,6,0,11,88,16,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,22,6,23,3,0
8ACTE,128,64,198,11629,10857,22486,613,517,1127,12370,11438,23814,742,372,1110,20231,19616,39843,834,681,1518,21807,20669,42470,247,135,384,11491,10975,22463,589,501,1091,12327,11611,23937,147,133,283,14296,14076,28374,1150,857,2009,15593,15066,30662,335,327,659,26795,27527,54320,1786,1322,3112,28916,29176,58092,405,455,860,24384,25326,49707,1291,957,2251,26080,26738,52819,528,681,1214,21650,23209,44857,1063,800,1859,23241,24690,47930,636,727,1369,17418,18579,35995,754,611,1359,18808,19917,38722,665,772,1438,9289,10045,19338,453,419,869,10407,11236,21644,819,1357,2173,4094,4744,8842,279,366,645,5192,6467,11663,635,1608,2243,880,1261,2148,136,299,436,1651,3168,4825,5298,6634,11933,162158,166205,328369,8957,7330,16289,176413,180169,356591,168,110,279,13006,12172,25177,714,613,1330,13888,12895,26785,1102,520,1622,22521,21631,44152,989,898,1890,24612,23049,47659,365,281,649,11407,11291,22695,568,555,1122,12340,12127,24472,258,214,471,14527,14371,28901,1045,932,1978,15830,15517,31354,429,478,912,29589,31108,60696,2347,2055
89499,0,0,0,15,17,28,0,0,0,15,17,28,0,0,0,16,17,30,0,0,3,16,17,28,0,0,0,27,25,57,0,3,6,27,28,59,0,0,0,38,38,74,4,4,10,42,42,83,0,0,0,74,75,142,8,0,8,82,75,153,0,6,6,55,42,96,9,5,11,64,53,113,5,0,3,24,32,59,11,3,14,40,35,76,0,7,7,24,21,44,9,0,9,33,28,63,0,0,0,9,5,14,0,0,0,9,5,18,0,0,0,0,0,0,0,0,0,0,0,4,0,4,7,0,0,0,0,0,0,0,4,3,11,15,29,276,272,547,44,18,61,331,305,631,0,0,0,6,3,11,0,0,0,6,3,11,0,0,0,10,15,23,0,0,0,10,15,24,0,4,4,8,18,25,3,0,7,11,22,33,0,0,0,32,34,66,0,4,8,32,38,78,0,0,5,53,36,89,9,4
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,0,68,55,122,8,12,20,76,67,140,0,0,0,170,166,333,8,16,18,178,182,358,0,0,0,69,49,121,41,6,44,110,55,165,5,0,3,61,59,121,140,6,141,206,65,266,3,0,4,151,130,279,430,9,438,584,139,721,0,6,0,144,154,302,126,15,138,270,175,444,0,4,7,203,175,377,32,7,37,235,186,418,6,5,10,196,118,307,8,7,19,210,130,337,9,3,13,57,36,97,8,0,9,74,39,119,3,6,12,11,10,18,0,0,0,14,16,35,5,0,4,0,0,0,0,0,0,5,0,4,37,33,63,1121,950,2074,801,68,868,1959,1051,3002,5,0,5,130,114,241,7,9,16,142,123,262,7,0,9,251,245,493,22,23,45,280,268,546,5,0,9,91,94,177,13,11,26,109,105,208,0,0,0,74,55,136,56,7,61,130,62,196,0,4,5,186,204,389,139,33
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,3,0,7,0,0,0,0,7,8,0,0,0,0,7,8,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,3,8,0,0,0,0,3,8,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,24,0,0,0,5,16,30,0,0,0,3,0,3,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,5,0,0,0,4,0,4,0,0,3,4,0,8,0,0,0,0,0,0,0,0
