GCCSA_CODE_2021,UOL_Pe_ex_Da_C11_P,UOL_Pe_ex_Da_C16_M,UOL_Pe_ex_Da_C16_F,UOL_Pe_ex_Da_C16_P,UOL_Pe_ex_Da_C21_M,UOL_Pe_ex_Da_C21_F,UOL_Pe_ex_Da_C21_P,UOL_Portuguese_C11_M,UOL_Portuguese_C11_F,UOL_Portuguese_C11_P,UOL_Portuguese_C16_M,UOL_Portuguese_C16_F,UOL_Portuguese_C16_P,UOL_Portuguese_C21_M,UOL_Portuguese_C21_F,UOL_Portuguese_C21_P,UOL_Punjabi_C11_M,UOL_Punjabi_C11_F,UOL_Punjabi_C11_P,UOL_Punjabi_C16_M,UOL_Punjabi_C16_F,UOL_Punjabi_C16_P,UOL_Punjabi_C21_M,UOL_Punjabi_C21_F,UOL_Punjabi_C21_P,UOL_Russian_C11_M,UOL_Russian_C11_F,UOL_Russian_C11_P,UOL_Russian_C16_M,UOL_Russian_C16_F,UOL_Russian_C16_P,UOL_Russian_C21_M,UOL_Russian_C21_F,UOL_Russian_C21_P,UOL_Serbian_C11_M,UOL_Serbian_C11_F,UOL_Serbian_C11_P,UOL_Serbian_C16_M,UOL_Serbian_C16_F,UOL_Serbian_C16_P,UOL_Serbian_C21_M,UOL_Serbian_C21_F,UOL_Serbian_C21_P,UOL_Sinhalese_C11_M,UOL_Sinhalese_C11_F,UOL_Sinhalese_C11_P,UOL_Sinhalese_C16_M,UOL_Sinhalese_C16_F,UOL_Sinhalese_C16_P,UOL_Sinhalese_C21_M,UOL_Sinhalese_C21_F,UOL_Sinhalese_C21_P,UOL_Spanish_C11_M,UOL_Spanish_C11_F,UOL_Spanish_C11_P,UOL_Spanish_C16_M,UOL_Spanish_C16_F,UOL_Spanish_C16_P,UOL_Spanish_C21_M,UOL_Spanish_C21_F,UOL_Spanish_C21_P,UOL_Tagalog_C11_M,UOL_Tagalog_C11_F,UOL_Tagalog_C11_P,UOL_Tagalog_C16_M,UOL_Tagalog_C16_F,UOL_Tagalog_C16_P,UOL_Tagalog_C21_M,UOL_Tagalog_C21_F,UOL_Tagalog_C21_P,UOL_Tamil_C11_M,UOL_Tamil_C11_F,UOL_Tamil_C11_P,UOL_Tamil_C16_M,UOL_Tamil_C16_F,UOL_Tamil_C16_P,UOL_Tamil_C21_M,UOL_Tamil_C21_F,UOL_Tamil_C21_P,UOL_Thai_C11_M,UOL_Thai_C11_F,UOL_Thai_C11_P,UOL_Thai_C16_M,UOL_Thai_C16_F,UOL_Thai_C16_P,UOL_Thai_C21_M,UOL_Thai_C21_F,UOL_Thai_C21_P,UOL_Turkish_C11_M,UOL_Turkish_C11_F,UOL_Turkish_C11_P,UOL_Turkish_C16_M,UOL_Turkish_C16_F,UOL_Turkish_C16_P,UOL_Turkish_C21_M,UOL_Turkish_C21_F,UOL_Turkish_C21_P,UOL_Urdu_C11_M,UOL_Urdu_C11_F,UOL_Urdu_C11_P,UOL_Urdu_C16_M,UOL_Urdu_C16_F,UOL_Urdu_C16_P,UOL_Urdu_C21_M,UOL_Urdu_C21_F,UOL_Urdu_C21_P,UOL_Viet_C11_M,UOL_Viet_C11_F,UOL_Viet_C11_P,UOL_Viet_C16_M,UOL_Viet_C16_F,UOL_Viet_C16_P,UOL_Viet_C21_M,UOL_Viet_C21_F,UOL_Viet_C21_P,UOL_Other_C11_M,UOL_Other_C11_F,UOL_Other_C11_P,UOL_Other_C16_M,UOL_Other_C16_F,UOL_Other_C16_P,UOL_Other_C21_M,UOL_Other_C21_F,UOL_Other_C21_P,Lang_used_home_NS_C11_M,Lang_used_home_NS_C11_F,Lang_used_home_NS_C11_P,Lang_used_home_NS_C16_M,Lang_used_home_NS_C16_F,Lang_used_home_NS_C16_P,Lang_used_home_NS_C21_M,Lang_used_home_NS_C21_F,Lang_used_home_NS_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
39499,9,4,4,8,3,0,10,5,6,9,14,10,24,11,14,25,3,0,6,3,5,15,5,7,12,10,4,15,11,4,12,6,7,10,0,4,8,0,0,0,5,0,3,0,0,3,0,0,7,0,0,0,33,26,58,26,31,63,63,82,150,8,11,12,3,11,16,6,6,12,3,9,8,0,8,8,0,0,0,5,15,14,6,7,15,0,14,18,7,4,4,0,0,0,5,0,5,3,0,3,6,0,5,12,3,17,8,13,24,9,21,29,10,20,23,173,147,318,181,168,351,176,144,322,1183,581,1759,1542,978,2518,2109,1411,3517,7150,5391,12544,6939,5576,12515,7861,6807,14670
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,4,0,4,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,16,0,0,0,0,0,0,47,33,77,6,16,20,109,24,128,278,195,470,69,83,152,149,28,183
4GADE,2823,2424,2193,4609,2721,2611,5337,486,524,1005,718,785,1500,1230,1322,2556,2328,1525,3853,4601,3895,8498,10117,8629,18743,1319,1701,3016,1418,1780,3196,1506,1925,3428,2059,2112,4174,2017,2058,4078,2059,2145,4202,819,773,1594,1251,1240,2493,1997,1977,3976,2240,2389,4626,2573,2831,5404,3291,3611,6904,1289,2022,3314,1828,2745,4571,2182,3292,5470,838,780,1617,1357,1183,2538,1677,1501,3178,397,830,1224,539,1182,1715,631,1433,2060,251,252,504,294,271,568,344,374,719,682,563,1248,1520,1286,2804,2679,2149,4824,7488,8179,15670,8770,9796,18565,9851,11505,21362,21940,23170,45108,26181,27216,53393,29796,30536,60325,24954,22291,47248,32021,31435,63454,27511,25835,53350,600009,625222,1225238,633894,661822,1295712,680323,706967,1387290
4RSAU,71,80,45,127,35,36,69,20,20,47,21,26,42,62,59,121,313,249,563,418,373,792,672,579,1253,45,58,98,39,57,93,55,73,132,57,47,106,61,37,97,64,38,100,66,64,131,82,70,153,133,118,250,122,139,264,120,137,254,159,188,347,197,308,504,366,543,906,391,576,964,37,42,82,94,66,159,95,72,165,32,106,140,71,164,235,104,266,368,86,81,164,65,59,126,83,64,144,40,43,84,67,64,133,134,85,219,133,139,269,219,219,434,208,280,486,2052,1969,4022,2311,2045,4352,2785,2584,5364,9330,6879,16203,14625,12342,26971,15125,11995,27122,185424,182837,368261,190370,187702,378070,196384,194455,390843
49499,9,9,5,7,4,4,6,0,0,6,0,0,4,0,0,0,5,3,3,9,4,16,0,3,7,0,5,5,0,3,7,0,3,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,10,20,4,5,9,6,11,18,0,0,0,3,8,12,0,0,0,0,0,4,0,5,3,0,0,0,0,0,4,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,7,9,0,0,0,19,9,30,13,8,19,6,4,8,45,32,78,46,23,75,39,42,84,310,189,500,374,204,578,491,306,806,1777,1291,3067,1738,1127,2862,1873,1506,3377
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,4,0,4,6,0,8,12,0,12
5GPER,4180,3357,3134,6491,3726,3657,7381,2134,2399,4532,3146,3489,6630,3533,4160,7691,2889,1788,4681,6615,5172,11782,10623,9326,19947,736,1170,1903,1133,1843,2974,1377,2171,3550,2512,2410,4919,2413,2483,4893,2686,2778,5460,1420,1337,2757,2319,2299,4620,3010,2970,5978,3629,4003,7629,4601,5059,9664,5450,6361,11809,3038,3503,6535,5680,6656,12335,6415,8085,14499,2045,1836,3881,3430,3142,6572,4256,4179,8439,1190,2633,3832,1630,3716,5350,1871,4596,6468,796,661,1462,875,790,1664,995,947,1942,1315,866,2187,2978,2117,5099,4680,3379,8054,7573,8221,15797,9089,10309,19396,9913,11784,21699,33731,35497,69232,44989,46803,91789,49007,53956,102964,53169,41800,94970,65519,58559,124074,60575,47844,108420,858304,870565,1728868,963540,980320,1943861,1045169,1071480,2116647
5RWAU,110,129,77,206,106,85,187,216,191,406,208,215,422,236,281,515,87,50,134,247,188,435,364,293,661,82,102,183,96,133,237,118,156,283,75,60,136,76,65,145,61,65,127,89,76,169,176,145,314,200,156,358,315,248,564,398,338,729,532,567,1101,846,874,1722,1468,1457,2921,1320,1468,2783,107,84,197,182,138,316,158,133,296,210,523,733,264,783,1042,296,996,1297,25,11,34,40,16,59,42,25,65,95,80,176,143,122,270,218,166,385,366,335,705,422,416,833,458,593,1050,5213,4823,10034,5858,5551,11409,6474,6288,12768,26225,15647,41873,29752,22582,52344,32121,23959,56081,263211,239384,502593,270941,253227,524170,272586,262218,534804
59499,3,0,0,0,7,0,8,10,12,20,11,3,12,9,0,10,0,5,3,5,0,5,4,4,6,6,0,4,0,4,4,4,5,10,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,4,0,4,20,10,30,17,9,26,22,29,44,14,12,22,7,3,9,9,3,14,6,0,7,0,0,0,3,6,4,5,10,12,5,0,3,0,0,3,0,0,0,0,0,0,0,0,0,5,4,7,0,0,5,0,0,0,13,4,18,9,0,8,10,7,15,125,81,199,86,71,156,62,64,133,855,405,1259,971,584,1553,2210,1280,3488,4282,3010,7294,3535,2417,5950,4639,3416,8055
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,12,0,14,15,0,15,20,0,22,60,4,65,65,4,69,192,25,221,377,34,415,405,27,431,455,58,514
6GHOB,145,163,153,312,131,126,255,21,20,45,33,38,73,174,193,372,92,63,159,211,185,388,1050,757,1808,39,72,113,54,86,143,86,123,205,45,41,88,41,54,89,52,57,104,33,48,81,48,52,98,364,334,694,282,313,591,291,309,596,482,527,1007,73,154,228,84,212,297,165,271,437,54,41,98,109,89,196,164,139,301,70,129,202,89,201,290,93,242,340,28,24,53,25,24,48,29,32,60,39,40,78,121,92,209,598,322,920,98,103,205,124,160,287,473,599,1071,1714,1894,3607,1812,2018,3827,2194,2305,4497,4608,4073,8680,6614,6375,12981,5869,5495,11363,102882,108775,211657,107929,114421,222356,120521,126562,247086
6RTAS,47,135,147,279,110,115,222,26,19,46,19,15,33,53,54,100,37,28,65,54,39,98,454,294,751,62,83,142,85,93,175,82,91,170,19,15,36,21,17,36,19,24,39,40,42,79,63,54,119,215,205,421,113,130,241,161,169,333,265,296,558,34,191,227,59,261,320,105,274,382,58,62,116,54,58,115,90,74,165,55,107,161,58,143,200,78,207,283,17,12,32,20,15,33,22,19,38,13,7,20,53,26,78,430,145,575,35,43,77,65,96,155,164,229,393,1380,1459,2839,1409,1470,2881,1978,2006,3984,5417,4841,10258,9521,9584,19099,8956,8359,17316,139097,143409,282508,140980,145647,286626,152471,156617,309087
69499,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,5,0,7,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,8,12,0,7,12,16,15,28,102,36,138,115,59,168,202,122,325,612,460,1075,518,393,911,758,616,1377
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,9,0,6,5,0,5,3,0,3,84,34,115,52,19,75,13,0,19
7GDAR,24,70,54,120,48,31,82,242,234,478,236,246,480,230,299,527,136,78,211,274,200,472,564,500,1068,17,29,42,43,72,112,49,71,123,29,17,46,33,25,55,20,20,38,91,91,183,188,227,413,418,397,819,138,124,255,192,179,371,237,286,516,665,805,1473,1182,1392,2572,1097,1451,2549,120,131,253,260,218,477,256,241,488,173,408,579,234,498,733,249,622,878,15,25,39,29,21,47,26,13,45,119,61,182,230,149,375,478,294,767,359,377,741,479,535,1015,574,744,1319,1542,1544,3084,2229,2217,4442,2380,2741,5123,8332,5636,13966,9505,6672,16171,7678,5967,13650,62898,57684,120586,71889,64941,136831,70739,69161,139902
7RNTE,7,14,14,27,12,10,25,21,27,49,26,22,51,31,38,69,46,20,58,100,91,195,272,223,489,13,11,23,8,12,24,13,21,29,5,0,5,0,0,0,4,0,6,28,24,47,65,51,118,98,70,167,51,46,96,50,54,113,101,105,213,112,177,286,167,244,415,219,281,501,15,6,29,21,14,35,29,19,48,43,83,123,34,96,133,53,96,153,5,4,9,5,0,4,6,6,16,20,12,40,31,30,68,61,48,105,72,57,135,105,91,198,124,128,250,693,690,1381,898,896,1792,1080,1079,2158,4606,3415,8018,6425,5368,11794,5101,3891,8992,45508,43871,89372,45291,44156,89446,44877,44220,89103
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,8,8,9,0,7,5,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,32,24,54,30,37,65,52,58,110,156,95,248,369,295,668,708,636,1343,1020,852,1870,1334,1155,2485,1826,1675,3500
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,5,0,5,8,0,15,6,5,11,22,0,24,91,16,105,58,12,73,83,15,99
8ACTE,656,494,439,935,641,601,1240,219,256,474,314,340,652,430,488,916,547,428,974,1172,1044,2213,2686,2328,5014,315,402,719,378,512,894,409,522,927,559,586,1137,537,563,1094,591,618,1211,653,665,1318,838,882,1718,1075,1104,2178,1327,1586,2916,1502,1769,3269,1957,2157,4116,411,632,1046,676,1009,1684,938,1343,2275,709,705,1410,973,909,1885,1217,1202,2417,301,494,795,368,712,1073,432,859,1291,124,116,245,143,136,283,202,186,391,737,564,1303,1286,1087,2370,1992,1641,3638,1779,2004,3781,1922,2292,4211,2187,2835,5029,5996,6462,12465,7878,8276,16156,10018,10376,20395,8053,6400,14451,11129,10506,21637,9808,9046,18854,176418,180171,356591,195430,201426,396853,224022,229869,453890
